day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/23,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/24,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/25,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/26,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/27,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/28,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/29,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/30,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/31,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/01,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/02,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/03,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/04,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/05,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/06,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/07,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/08,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/09,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/10,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/11,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/12,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/13,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/14,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/15,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/16,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/17,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/18,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/19,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/20,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/21,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/22,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/23,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/24,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/25,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/26,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/27,NL,Netherlands,Europe,52.5,5.75,1,0,0
2020/02/28,NL,Netherlands,Europe,52.5,5.75,1,0,0
2020/02/29,NL,Netherlands,Europe,52.5,5.75,6,0,0
2020/03/01,NL,Netherlands,Europe,52.5,5.75,10,0,0
2020/03/02,NL,Netherlands,Europe,52.5,5.75,18,0,0
2020/03/03,NL,Netherlands,Europe,52.5,5.75,24,0,0
2020/03/04,NL,Netherlands,Europe,52.5,5.75,38,0,0
2020/03/05,NL,Netherlands,Europe,52.5,5.75,82,0,0
2020/03/06,NL,Netherlands,Europe,52.5,5.75,128,0,1
2020/03/07,NL,Netherlands,Europe,52.5,5.75,188,0,1
2020/03/08,NL,Netherlands,Europe,52.5,5.75,265,0,3
2020/03/09,NL,Netherlands,Europe,52.5,5.75,321,0,3
2020/03/10,NL,Netherlands,Europe,52.5,5.75,382,0,4
2020/03/11,NL,Netherlands,Europe,52.5,5.75,503,0,5
2020/03/12,NL,Netherlands,Europe,52.5,5.75,503,0,5
2020/03/13,NL,Netherlands,Europe,52.5,5.75,804,0,10
2020/03/14,NL,Netherlands,Europe,52.5,5.75,959,2,12
2020/03/15,NL,Netherlands,Europe,52.5,5.75,1135,2,20
2020/03/16,NL,Netherlands,Europe,52.5,5.75,1413,2,24
2020/03/17,NL,Netherlands,Europe,52.5,5.75,1705,2,43
2020/03/18,NL,Netherlands,Europe,52.5,5.75,2051,2,58
2020/03/19,NL,Netherlands,Europe,52.5,5.75,2460,2,76
2020/03/20,NL,Netherlands,Europe,52.5,5.75,2994,2,106
2020/03/21,NL,Netherlands,Europe,52.5,5.75,3631,2,136
2020/03/22,NL,Netherlands,Europe,52.5,5.75,4204,2,179
2020/03/23,NL,Netherlands,Europe,52.5,5.75,4749,2,213
2020/03/24,NL,Netherlands,Europe,52.5,5.75,5560,2,276
2020/03/25,NL,Netherlands,Europe,52.5,5.75,6412,3,356
2020/03/26,NL,Netherlands,Europe,52.5,5.75,7431,3,434
2020/03/27,NL,Netherlands,Europe,52.5,5.75,8603,3,546
2020/03/28,NL,Netherlands,Europe,52.5,5.75,9762,3,639
2020/03/29,NL,Netherlands,Europe,52.5,5.75,10866,250,771
2020/03/30,NL,Netherlands,Europe,52.5,5.75,11750,250,864
2020/03/31,NL,Netherlands,Europe,52.5,5.75,12595,250,1039
2020/04/01,NL,Netherlands,Europe,52.5,5.75,13614,250,1173
2020/04/02,NL,Netherlands,Europe,52.5,5.75,14697,250,1339
2020/04/03,NL,Netherlands,Europe,52.5,5.75,15723,250,1487
2020/04/04,NL,Netherlands,Europe,52.5,5.75,16627,250,1651
2020/04/05,NL,Netherlands,Europe,52.5,5.75,17851,250,1766
2020/04/06,NL,Netherlands,Europe,52.5,5.75,18803,250,1867
2020/04/07,NL,Netherlands,Europe,52.5,5.75,19580,250,2101
2020/04/08,NL,Netherlands,Europe,52.5,5.75,20549,250,2248
2020/04/09,NL,Netherlands,Europe,52.5,5.75,21762,250,2396
2020/04/10,NL,Netherlands,Europe,52.5,5.75,23097,250,2511
2020/04/11,NL,Netherlands,Europe,52.5,5.75,24413,250,2643
2020/04/12,NL,Netherlands,Europe,52.5,5.75,25587,250,2737
2020/04/13,NL,Netherlands,Europe,52.5,5.75,26551,250,2823
2020/04/14,NL,Netherlands,Europe,52.5,5.75,27419,250,2945
2020/04/15,NL,Netherlands,Europe,52.5,5.75,28153,250,3134
2020/04/16,NL,Netherlands,Europe,52.5,5.75,29214,250,3315
2020/04/17,NL,Netherlands,Europe,52.5,5.75,30449,250,3459
2020/04/18,NL,Netherlands,Europe,52.5,5.75,31589,250,3601
2020/04/19,NL,Netherlands,Europe,52.5,5.75,32655,250,3684
2020/04/20,NL,Netherlands,Europe,52.5,5.75,33405,250,3751
2020/04/21,NL,Netherlands,Europe,52.5,5.75,34134,0,3916
2020/04/22,NL,Netherlands,Europe,52.5,5.75,34842,0,4054
2020/04/23,NL,Netherlands,Europe,52.5,5.75,35729,0,4177
2020/04/24,NL,Netherlands,Europe,52.5,5.75,36535,0,4289
2020/04/25,NL,Netherlands,Europe,52.5,5.75,37190,0,4409
2020/04/26,NL,Netherlands,Europe,52.5,5.75,37845,0,4475
2020/04/27,NL,Netherlands,Europe,52.5,5.75,38245,0,4518
2020/04/28,NL,Netherlands,Europe,52.5,5.75,38416,0,4566
2020/04/29,NL,Netherlands,Europe,52.5,5.75,38802,0,4711
2020/04/30,NL,Netherlands,Europe,52.5,5.75,39316,0,4795
2020/05/01,NL,Netherlands,Europe,52.5,5.75,39791,0,4893
2020/05/02,NL,Netherlands,Europe,52.5,5.75,40236,0,4987
2020/05/03,NL,Netherlands,Europe,52.5,5.75,40571,0,5056
2020/05/04,NL,Netherlands,Europe,52.5,5.75,40770,0,5082
2020/05/05,NL,Netherlands,Europe,52.5,5.75,41087,0,5168
2020/05/06,NL,Netherlands,Europe,52.5,5.75,41319,0,5204
2020/05/07,NL,Netherlands,Europe,52.5,5.75,41774,0,5288
2020/05/08,NL,Netherlands,Europe,52.5,5.75,42093,0,5359
2020/05/09,NL,Netherlands,Europe,52.5,5.75,42382,0,5422
2020/05/10,NL,Netherlands,Europe,52.5,5.75,42627,0,5440
2020/05/11,NL,Netherlands,Europe,52.5,5.75,42788,0,5456
2020/05/12,NL,Netherlands,Europe,52.5,5.75,42984,0,5510
2020/05/13,NL,Netherlands,Europe,52.5,5.75,43211,0,5562
2020/05/14,NL,Netherlands,Europe,52.5,5.75,43481,0,5590
2020/05/15,NL,Netherlands,Europe,52.5,5.75,43681,0,5643
2020/05/16,NL,Netherlands,Europe,52.5,5.75,43870,0,5670
2020/05/17,NL,Netherlands,Europe,52.5,5.75,43995,0,5680
2020/05/18,NL,Netherlands,Europe,52.5,5.75,44141,0,5694
2020/05/19,NL,Netherlands,Europe,52.5,5.75,44249,0,5715
2020/05/20,NL,Netherlands,Europe,52.5,5.75,44447,0,5748
2020/05/21,NL,Netherlands,Europe,52.5,5.75,44700,0,5775
