day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,NO,Norway,Europe,62,10,0,0,0
2020/01/23,NO,Norway,Europe,62,10,0,0,0
2020/01/24,NO,Norway,Europe,62,10,0,0,0
2020/01/25,NO,Norway,Europe,62,10,0,0,0
2020/01/26,NO,Norway,Europe,62,10,0,0,0
2020/01/27,NO,Norway,Europe,62,10,0,0,0
2020/01/28,NO,Norway,Europe,62,10,0,0,0
2020/01/29,NO,Norway,Europe,62,10,0,0,0
2020/01/30,NO,Norway,Europe,62,10,0,0,0
2020/01/31,NO,Norway,Europe,62,10,0,0,0
2020/02/01,NO,Norway,Europe,62,10,0,0,0
2020/02/02,NO,Norway,Europe,62,10,0,0,0
2020/02/03,NO,Norway,Europe,62,10,0,0,0
2020/02/04,NO,Norway,Europe,62,10,0,0,0
2020/02/05,NO,Norway,Europe,62,10,0,0,0
2020/02/06,NO,Norway,Europe,62,10,0,0,0
2020/02/07,NO,Norway,Europe,62,10,0,0,0
2020/02/08,NO,Norway,Europe,62,10,0,0,0
2020/02/09,NO,Norway,Europe,62,10,0,0,0
2020/02/10,NO,Norway,Europe,62,10,0,0,0
2020/02/11,NO,Norway,Europe,62,10,0,0,0
2020/02/12,NO,Norway,Europe,62,10,0,0,0
2020/02/13,NO,Norway,Europe,62,10,0,0,0
2020/02/14,NO,Norway,Europe,62,10,0,0,0
2020/02/15,NO,Norway,Europe,62,10,0,0,0
2020/02/16,NO,Norway,Europe,62,10,0,0,0
2020/02/17,NO,Norway,Europe,62,10,0,0,0
2020/02/18,NO,Norway,Europe,62,10,0,0,0
2020/02/19,NO,Norway,Europe,62,10,0,0,0
2020/02/20,NO,Norway,Europe,62,10,0,0,0
2020/02/21,NO,Norway,Europe,62,10,0,0,0
2020/02/22,NO,Norway,Europe,62,10,0,0,0
2020/02/23,NO,Norway,Europe,62,10,0,0,0
2020/02/24,NO,Norway,Europe,62,10,0,0,0
2020/02/25,NO,Norway,Europe,62,10,0,0,0
2020/02/26,NO,Norway,Europe,62,10,1,0,0
2020/02/27,NO,Norway,Europe,62,10,1,0,0
2020/02/28,NO,Norway,Europe,62,10,6,0,0
2020/02/29,NO,Norway,Europe,62,10,15,0,0
2020/03/01,NO,Norway,Europe,62,10,19,0,0
2020/03/02,NO,Norway,Europe,62,10,25,0,0
2020/03/03,NO,Norway,Europe,62,10,32,0,0
2020/03/04,NO,Norway,Europe,62,10,56,0,0
2020/03/05,NO,Norway,Europe,62,10,87,0,0
2020/03/06,NO,Norway,Europe,62,10,108,0,0
2020/03/07,NO,Norway,Europe,62,10,147,0,0
2020/03/08,NO,Norway,Europe,62,10,176,0,0
2020/03/09,NO,Norway,Europe,62,10,205,1,0
2020/03/10,NO,Norway,Europe,62,10,400,1,0
2020/03/11,NO,Norway,Europe,62,10,598,1,0
2020/03/12,NO,Norway,Europe,62,10,702,1,0
2020/03/13,NO,Norway,Europe,62,10,996,1,0
2020/03/14,NO,Norway,Europe,62,10,1090,1,3
2020/03/15,NO,Norway,Europe,62,10,1221,1,3
2020/03/16,NO,Norway,Europe,62,10,1333,1,3
2020/03/17,NO,Norway,Europe,62,10,1463,1,3
2020/03/18,NO,Norway,Europe,62,10,1550,1,6
2020/03/19,NO,Norway,Europe,62,10,1746,1,7
2020/03/20,NO,Norway,Europe,62,10,1914,1,7
2020/03/21,NO,Norway,Europe,62,10,2118,1,7
2020/03/22,NO,Norway,Europe,62,10,2263,1,7
2020/03/23,NO,Norway,Europe,62,10,2621,6,10
2020/03/24,NO,Norway,Europe,62,10,2863,6,12
2020/03/25,NO,Norway,Europe,62,10,3084,6,14
2020/03/26,NO,Norway,Europe,62,10,3369,6,14
2020/03/27,NO,Norway,Europe,62,10,3755,6,19
2020/03/28,NO,Norway,Europe,62,10,4015,7,23
