day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,OM,Oman,Asia,21,57,0,0,0
2020/01/23,OM,Oman,Asia,21,57,0,0,0
2020/01/24,OM,Oman,Asia,21,57,0,0,0
2020/01/25,OM,Oman,Asia,21,57,0,0,0
2020/01/26,OM,Oman,Asia,21,57,0,0,0
2020/01/27,OM,Oman,Asia,21,57,0,0,0
2020/01/28,OM,Oman,Asia,21,57,0,0,0
2020/01/29,OM,Oman,Asia,21,57,0,0,0
2020/01/30,OM,Oman,Asia,21,57,0,0,0
2020/01/31,OM,Oman,Asia,21,57,0,0,0
2020/02/01,OM,Oman,Asia,21,57,0,0,0
2020/02/02,OM,Oman,Asia,21,57,0,0,0
2020/02/03,OM,Oman,Asia,21,57,0,0,0
2020/02/04,OM,Oman,Asia,21,57,0,0,0
2020/02/05,OM,Oman,Asia,21,57,0,0,0
2020/02/06,OM,Oman,Asia,21,57,0,0,0
2020/02/07,OM,Oman,Asia,21,57,0,0,0
2020/02/08,OM,Oman,Asia,21,57,0,0,0
2020/02/09,OM,Oman,Asia,21,57,0,0,0
2020/02/10,OM,Oman,Asia,21,57,0,0,0
2020/02/11,OM,Oman,Asia,21,57,0,0,0
2020/02/12,OM,Oman,Asia,21,57,0,0,0
2020/02/13,OM,Oman,Asia,21,57,0,0,0
2020/02/14,OM,Oman,Asia,21,57,0,0,0
2020/02/15,OM,Oman,Asia,21,57,0,0,0
2020/02/16,OM,Oman,Asia,21,57,0,0,0
2020/02/17,OM,Oman,Asia,21,57,0,0,0
2020/02/18,OM,Oman,Asia,21,57,0,0,0
2020/02/19,OM,Oman,Asia,21,57,0,0,0
2020/02/20,OM,Oman,Asia,21,57,0,0,0
2020/02/21,OM,Oman,Asia,21,57,0,0,0
2020/02/22,OM,Oman,Asia,21,57,0,0,0
2020/02/23,OM,Oman,Asia,21,57,0,0,0
2020/02/24,OM,Oman,Asia,21,57,2,0,0
2020/02/25,OM,Oman,Asia,21,57,2,0,0
2020/02/26,OM,Oman,Asia,21,57,4,0,0
2020/02/27,OM,Oman,Asia,21,57,4,0,0
2020/02/28,OM,Oman,Asia,21,57,4,0,0
2020/02/29,OM,Oman,Asia,21,57,6,1,0
2020/03/01,OM,Oman,Asia,21,57,6,1,0
2020/03/02,OM,Oman,Asia,21,57,6,1,0
2020/03/03,OM,Oman,Asia,21,57,12,2,0
2020/03/04,OM,Oman,Asia,21,57,15,2,0
2020/03/05,OM,Oman,Asia,21,57,16,2,0
2020/03/06,OM,Oman,Asia,21,57,16,2,0
2020/03/07,OM,Oman,Asia,21,57,16,2,0
2020/03/08,OM,Oman,Asia,21,57,16,2,0
2020/03/09,OM,Oman,Asia,21,57,16,2,0
2020/03/10,OM,Oman,Asia,21,57,18,9,0
2020/03/11,OM,Oman,Asia,21,57,18,9,0
2020/03/12,OM,Oman,Asia,21,57,18,9,0
