day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/23,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/24,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/25,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/26,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/27,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/28,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/29,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/30,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/01/31,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/01,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/02,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/03,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/04,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/05,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/06,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/07,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/08,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/09,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/10,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/11,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/12,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/13,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/14,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/15,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/16,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/17,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/18,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/19,PF,French Polynesia,Oceania,-15,-140,0,0,0
2020/02/20,PF,French Polynesia,Oceania,-15,-140,0,0,0
