day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PH,Philippines,Asia,13,122,0,0,0
2020/01/23,PH,Philippines,Asia,13,122,0,0,0
2020/01/24,PH,Philippines,Asia,13,122,0,0,0
2020/01/25,PH,Philippines,Asia,13,122,0,0,0
2020/01/26,PH,Philippines,Asia,13,122,0,0,0
2020/01/27,PH,Philippines,Asia,13,122,0,0,0
2020/01/28,PH,Philippines,Asia,13,122,0,0,0
2020/01/29,PH,Philippines,Asia,13,122,0,0,0
2020/01/30,PH,Philippines,Asia,13,122,1,0,0
2020/01/31,PH,Philippines,Asia,13,122,1,0,0
2020/02/01,PH,Philippines,Asia,13,122,1,0,0
2020/02/02,PH,Philippines,Asia,13,122,2,0,1
2020/02/03,PH,Philippines,Asia,13,122,2,0,1
2020/02/04,PH,Philippines,Asia,13,122,2,0,1
2020/02/05,PH,Philippines,Asia,13,122,2,0,1
2020/02/06,PH,Philippines,Asia,13,122,2,0,1
2020/02/07,PH,Philippines,Asia,13,122,3,0,1
2020/02/08,PH,Philippines,Asia,13,122,3,0,1
2020/02/09,PH,Philippines,Asia,13,122,3,0,1
2020/02/10,PH,Philippines,Asia,13,122,3,0,1
2020/02/11,PH,Philippines,Asia,13,122,3,0,1
2020/02/12,PH,Philippines,Asia,13,122,3,1,1
2020/02/13,PH,Philippines,Asia,13,122,3,1,1
2020/02/14,PH,Philippines,Asia,13,122,3,1,1
2020/02/15,PH,Philippines,Asia,13,122,3,1,1
2020/02/16,PH,Philippines,Asia,13,122,3,1,1
2020/02/17,PH,Philippines,Asia,13,122,3,1,1
2020/02/18,PH,Philippines,Asia,13,122,3,1,1
2020/02/19,PH,Philippines,Asia,13,122,3,1,1
2020/02/20,PH,Philippines,Asia,13,122,3,1,1
2020/02/21,PH,Philippines,Asia,13,122,3,1,1
2020/02/22,PH,Philippines,Asia,13,122,3,1,1
2020/02/23,PH,Philippines,Asia,13,122,3,1,1
2020/02/24,PH,Philippines,Asia,13,122,3,1,1
2020/02/25,PH,Philippines,Asia,13,122,3,1,1
2020/02/26,PH,Philippines,Asia,13,122,3,1,1
2020/02/27,PH,Philippines,Asia,13,122,3,1,1
2020/02/28,PH,Philippines,Asia,13,122,3,1,1
2020/02/29,PH,Philippines,Asia,13,122,3,1,1
2020/03/01,PH,Philippines,Asia,13,122,3,1,1
2020/03/02,PH,Philippines,Asia,13,122,3,1,1
2020/03/03,PH,Philippines,Asia,13,122,3,1,1
2020/03/04,PH,Philippines,Asia,13,122,3,1,1
2020/03/05,PH,Philippines,Asia,13,122,3,1,1
2020/03/06,PH,Philippines,Asia,13,122,5,1,1
2020/03/07,PH,Philippines,Asia,13,122,6,1,1
2020/03/08,PH,Philippines,Asia,13,122,10,1,1
2020/03/09,PH,Philippines,Asia,13,122,20,1,1
2020/03/10,PH,Philippines,Asia,13,122,33,2,1
2020/03/11,PH,Philippines,Asia,13,122,49,2,1
2020/03/12,PH,Philippines,Asia,13,122,52,2,2
2020/03/13,PH,Philippines,Asia,13,122,64,2,5
2020/03/14,PH,Philippines,Asia,13,122,111,2,8
2020/03/15,PH,Philippines,Asia,13,122,140,2,11
2020/03/16,PH,Philippines,Asia,13,122,142,2,12
2020/03/17,PH,Philippines,Asia,13,122,187,5,12
2020/03/18,PH,Philippines,Asia,13,122,202,5,19
2020/03/19,PH,Philippines,Asia,13,122,217,8,19
2020/03/20,PH,Philippines,Asia,13,122,230,8,19
2020/03/21,PH,Philippines,Asia,13,122,307,13,19
2020/03/22,PH,Philippines,Asia,13,122,380,15,25
2020/03/23,PH,Philippines,Asia,13,122,462,18,33
2020/03/24,PH,Philippines,Asia,13,122,552,20,35
2020/03/25,PH,Philippines,Asia,13,122,636,26,38
2020/03/26,PH,Philippines,Asia,13,122,707,28,45
2020/03/27,PH,Philippines,Asia,13,122,803,31,54
2020/03/28,PH,Philippines,Asia,13,122,1075,35,68
2020/03/29,PH,Philippines,Asia,13,122,1418,42,71
2020/03/30,PH,Philippines,Asia,13,122,1546,42,78
2020/03/31,PH,Philippines,Asia,13,122,2084,49,88
2020/04/01,PH,Philippines,Asia,13,122,2311,50,96
2020/04/02,PH,Philippines,Asia,13,122,2633,51,107
2020/04/03,PH,Philippines,Asia,13,122,3018,52,136
2020/04/04,PH,Philippines,Asia,13,122,3094,57,144
2020/04/05,PH,Philippines,Asia,13,122,3246,64,152
2020/04/06,PH,Philippines,Asia,13,122,3660,73,163
2020/04/07,PH,Philippines,Asia,13,122,3764,84,177
2020/04/08,PH,Philippines,Asia,13,122,3870,96,182
2020/04/09,PH,Philippines,Asia,13,122,4076,124,203
2020/04/10,PH,Philippines,Asia,13,122,4195,140,221
2020/04/11,PH,Philippines,Asia,13,122,4428,157,247
2020/04/12,PH,Philippines,Asia,13,122,4648,197,297
2020/04/13,PH,Philippines,Asia,13,122,4932,242,315
2020/04/14,PH,Philippines,Asia,13,122,5223,295,335
2020/04/15,PH,Philippines,Asia,13,122,5453,353,349
2020/04/16,PH,Philippines,Asia,13,122,5660,435,362
2020/04/17,PH,Philippines,Asia,13,122,5878,487,387
2020/04/18,PH,Philippines,Asia,13,122,6087,516,397
2020/04/19,PH,Philippines,Asia,13,122,6259,572,409
2020/04/20,PH,Philippines,Asia,13,122,6459,613,428
2020/04/21,PH,Philippines,Asia,13,122,6599,654,437
2020/04/22,PH,Philippines,Asia,13,122,6710,693,446
2020/04/23,PH,Philippines,Asia,13,122,6981,722,462
