day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/23,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/24,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/25,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/26,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/27,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/28,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/29,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/30,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/01/31,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/01,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/02,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/03,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/04,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/05,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/06,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/07,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/08,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/09,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/10,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/11,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/12,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/13,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/14,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/15,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
2020/02/16,PM,Saint Pierre and Miquelon,Americas,46.83333333,-56.33333333,0,0,0
