day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/23,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/24,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/25,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/26,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/27,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/28,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/29,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/30,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/01/31,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/01,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/02,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/03,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/04,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/05,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/06,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/07,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/08,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/09,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/10,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/11,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/12,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/13,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/14,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/15,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/16,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/17,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/18,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/19,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/20,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/21,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/22,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/23,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/24,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/25,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/26,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/27,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/28,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/02/29,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/01,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/02,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/03,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/04,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/05,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/06,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/07,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/08,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/09,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/10,PS,Palestine,Asia,31.9,35.2,0,0,0
2020/03/11,PS,Palestine,Asia,31.9,35.2,0,0,0
