day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/23,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/24,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/25,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/26,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/27,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/28,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/29,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/30,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/31,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/01,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/02,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/03,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/04,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/05,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/06,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/07,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/08,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/09,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/10,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/11,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/12,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/13,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/14,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/15,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/16,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/17,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/18,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/19,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/20,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/21,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/22,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/23,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/24,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/25,PY,Paraguay,Americas,-23,-58,0,0,0
