day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/23,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/24,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/25,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/26,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/27,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/28,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/29,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/30,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/01/31,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/01,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/02,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/03,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/04,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/05,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/06,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/07,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/08,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/09,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/10,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/11,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/12,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/13,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/14,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/15,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/16,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/17,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/18,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/19,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/20,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/21,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/22,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/23,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/24,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/25,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/26,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/27,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/28,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/02/29,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/01,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/02,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/03,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/04,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/05,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/06,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/07,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/08,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/09,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/10,RE,Réunion,Africa,-21.15,55.5,0,0,0
2020/03/11,RE,Réunion,Africa,-21.15,55.5,1,0,0
2020/03/12,RE,Réunion,Africa,-21.15,55.5,1,0,0
2020/03/13,RE,Réunion,Africa,-21.15,55.5,5,0,0
2020/03/14,RE,Réunion,Africa,-21.15,55.5,6,0,0
2020/03/15,RE,Réunion,Africa,-21.15,55.5,7,0,0
2020/03/16,RE,Réunion,Africa,-21.15,55.5,9,0,0
2020/03/17,RE,Réunion,Africa,-21.15,55.5,9,0,0
2020/03/18,RE,Réunion,Africa,-21.15,55.5,12,0,0
2020/03/19,RE,Réunion,Africa,-21.15,55.5,14,0,0
2020/03/20,RE,Réunion,Africa,-21.15,55.5,28,0,0
2020/03/21,RE,Réunion,Africa,-21.15,55.5,45,0,0
2020/03/22,RE,Réunion,Africa,-21.15,55.5,47,0,0
2020/03/23,RE,Réunion,Africa,-21.15,55.5,71,1,0
2020/03/24,RE,Réunion,Africa,-21.15,55.5,94,1,0
2020/03/25,RE,Réunion,Africa,-21.15,55.5,111,1,0
2020/03/26,RE,Réunion,Africa,-21.15,55.5,135,1,0
2020/03/27,RE,Réunion,Africa,-21.15,55.5,145,1,0
2020/03/28,RE,Réunion,Africa,-21.15,55.5,183,1,0
2020/03/29,RE,Réunion,Africa,-21.15,55.5,183,1,0
2020/03/30,RE,Réunion,Africa,-21.15,55.5,224,1,0
2020/03/31,RE,Réunion,Africa,-21.15,55.5,247,1,0
2020/04/01,RE,Réunion,Africa,-21.15,55.5,281,40,0
2020/04/02,RE,Réunion,Africa,-21.15,55.5,308,40,0
2020/04/03,RE,Réunion,Africa,-21.15,55.5,321,40,0
