day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,RS,Serbia,Europe,44,21,0,0,0
2020/01/23,RS,Serbia,Europe,44,21,0,0,0
2020/01/24,RS,Serbia,Europe,44,21,0,0,0
2020/01/25,RS,Serbia,Europe,44,21,0,0,0
2020/01/26,RS,Serbia,Europe,44,21,0,0,0
2020/01/27,RS,Serbia,Europe,44,21,0,0,0
2020/01/28,RS,Serbia,Europe,44,21,0,0,0
2020/01/29,RS,Serbia,Europe,44,21,0,0,0
2020/01/30,RS,Serbia,Europe,44,21,0,0,0
2020/01/31,RS,Serbia,Europe,44,21,0,0,0
2020/02/01,RS,Serbia,Europe,44,21,0,0,0
2020/02/02,RS,Serbia,Europe,44,21,0,0,0
2020/02/03,RS,Serbia,Europe,44,21,0,0,0
2020/02/04,RS,Serbia,Europe,44,21,0,0,0
2020/02/05,RS,Serbia,Europe,44,21,0,0,0
2020/02/06,RS,Serbia,Europe,44,21,0,0,0
2020/02/07,RS,Serbia,Europe,44,21,0,0,0
2020/02/08,RS,Serbia,Europe,44,21,0,0,0
2020/02/09,RS,Serbia,Europe,44,21,0,0,0
2020/02/10,RS,Serbia,Europe,44,21,0,0,0
2020/02/11,RS,Serbia,Europe,44,21,0,0,0
2020/02/12,RS,Serbia,Europe,44,21,0,0,0
2020/02/13,RS,Serbia,Europe,44,21,0,0,0
2020/02/14,RS,Serbia,Europe,44,21,0,0,0
2020/02/15,RS,Serbia,Europe,44,21,0,0,0
2020/02/16,RS,Serbia,Europe,44,21,0,0,0
2020/02/17,RS,Serbia,Europe,44,21,0,0,0
2020/02/18,RS,Serbia,Europe,44,21,0,0,0
2020/02/19,RS,Serbia,Europe,44,21,0,0,0
2020/02/20,RS,Serbia,Europe,44,21,0,0,0
2020/02/21,RS,Serbia,Europe,44,21,0,0,0
2020/02/22,RS,Serbia,Europe,44,21,0,0,0
2020/02/23,RS,Serbia,Europe,44,21,0,0,0
2020/02/24,RS,Serbia,Europe,44,21,0,0,0
2020/02/25,RS,Serbia,Europe,44,21,0,0,0
2020/02/26,RS,Serbia,Europe,44,21,0,0,0
2020/02/27,RS,Serbia,Europe,44,21,0,0,0
2020/02/28,RS,Serbia,Europe,44,21,0,0,0
2020/02/29,RS,Serbia,Europe,44,21,0,0,0
2020/03/01,RS,Serbia,Europe,44,21,0,0,0
2020/03/02,RS,Serbia,Europe,44,21,0,0,0
2020/03/03,RS,Serbia,Europe,44,21,0,0,0
2020/03/04,RS,Serbia,Europe,44,21,0,0,0
2020/03/05,RS,Serbia,Europe,44,21,0,0,0
2020/03/06,RS,Serbia,Europe,44,21,1,0,0
2020/03/07,RS,Serbia,Europe,44,21,1,0,0
2020/03/08,RS,Serbia,Europe,44,21,1,0,0
2020/03/09,RS,Serbia,Europe,44,21,1,0,0
2020/03/10,RS,Serbia,Europe,44,21,5,0,0
2020/03/11,RS,Serbia,Europe,44,21,12,0,0
2020/03/12,RS,Serbia,Europe,44,21,19,0,0
2020/03/13,RS,Serbia,Europe,44,21,35,0,0
2020/03/14,RS,Serbia,Europe,44,21,46,0,0
