day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SE,Sweden,Europe,62,15,0,0,0
2020/01/23,SE,Sweden,Europe,62,15,0,0,0
2020/01/24,SE,Sweden,Europe,62,15,0,0,0
2020/01/25,SE,Sweden,Europe,62,15,0,0,0
2020/01/26,SE,Sweden,Europe,62,15,0,0,0
2020/01/27,SE,Sweden,Europe,62,15,0,0,0
2020/01/28,SE,Sweden,Europe,62,15,0,0,0
2020/01/29,SE,Sweden,Europe,62,15,0,0,0
2020/01/30,SE,Sweden,Europe,62,15,0,0,0
2020/01/31,SE,Sweden,Europe,62,15,1,0,0
2020/02/01,SE,Sweden,Europe,62,15,1,0,0
2020/02/02,SE,Sweden,Europe,62,15,1,0,0
2020/02/03,SE,Sweden,Europe,62,15,1,0,0
2020/02/04,SE,Sweden,Europe,62,15,1,0,0
2020/02/05,SE,Sweden,Europe,62,15,1,0,0
2020/02/06,SE,Sweden,Europe,62,15,1,0,0
2020/02/07,SE,Sweden,Europe,62,15,1,0,0
2020/02/08,SE,Sweden,Europe,62,15,1,0,0
2020/02/09,SE,Sweden,Europe,62,15,1,0,0
2020/02/10,SE,Sweden,Europe,62,15,1,0,0
2020/02/11,SE,Sweden,Europe,62,15,1,0,0
2020/02/12,SE,Sweden,Europe,62,15,1,0,0
2020/02/13,SE,Sweden,Europe,62,15,1,0,0
2020/02/14,SE,Sweden,Europe,62,15,1,0,0
2020/02/15,SE,Sweden,Europe,62,15,1,0,0
2020/02/16,SE,Sweden,Europe,62,15,1,0,0
2020/02/17,SE,Sweden,Europe,62,15,1,0,0
2020/02/18,SE,Sweden,Europe,62,15,1,0,0
2020/02/19,SE,Sweden,Europe,62,15,1,0,0
2020/02/20,SE,Sweden,Europe,62,15,1,0,0
2020/02/21,SE,Sweden,Europe,62,15,1,0,0
2020/02/22,SE,Sweden,Europe,62,15,1,0,0
2020/02/23,SE,Sweden,Europe,62,15,1,0,0
2020/02/24,SE,Sweden,Europe,62,15,1,0,0
2020/02/25,SE,Sweden,Europe,62,15,1,0,0
2020/02/26,SE,Sweden,Europe,62,15,2,0,0
2020/02/27,SE,Sweden,Europe,62,15,7,0,0
2020/02/28,SE,Sweden,Europe,62,15,7,0,0
2020/02/29,SE,Sweden,Europe,62,15,12,0,0
2020/03/01,SE,Sweden,Europe,62,15,14,0,0
2020/03/02,SE,Sweden,Europe,62,15,15,0,0
2020/03/03,SE,Sweden,Europe,62,15,21,0,0
2020/03/04,SE,Sweden,Europe,62,15,35,0,0
2020/03/05,SE,Sweden,Europe,62,15,94,0,0
2020/03/06,SE,Sweden,Europe,62,15,101,0,0
2020/03/07,SE,Sweden,Europe,62,15,161,0,0
2020/03/08,SE,Sweden,Europe,62,15,203,0,0
2020/03/09,SE,Sweden,Europe,62,15,248,1,0
2020/03/10,SE,Sweden,Europe,62,15,355,1,0
2020/03/11,SE,Sweden,Europe,62,15,500,1,1
2020/03/12,SE,Sweden,Europe,62,15,599,1,1
2020/03/13,SE,Sweden,Europe,62,15,814,1,1
2020/03/14,SE,Sweden,Europe,62,15,961,1,2
2020/03/15,SE,Sweden,Europe,62,15,1022,1,3
2020/03/16,SE,Sweden,Europe,62,15,1103,1,6
2020/03/17,SE,Sweden,Europe,62,15,1190,1,7
2020/03/18,SE,Sweden,Europe,62,15,1279,1,10
2020/03/19,SE,Sweden,Europe,62,15,1439,16,11
2020/03/20,SE,Sweden,Europe,62,15,1639,16,16
2020/03/21,SE,Sweden,Europe,62,15,1763,16,20
2020/03/22,SE,Sweden,Europe,62,15,1931,16,21
2020/03/23,SE,Sweden,Europe,62,15,2046,16,25
2020/03/24,SE,Sweden,Europe,62,15,2286,16,36
2020/03/25,SE,Sweden,Europe,62,15,2526,16,62
2020/03/26,SE,Sweden,Europe,62,15,2840,16,77
2020/03/27,SE,Sweden,Europe,62,15,3069,16,105
2020/03/28,SE,Sweden,Europe,62,15,3447,16,105
2020/03/29,SE,Sweden,Europe,62,15,3700,16,110
2020/03/30,SE,Sweden,Europe,62,15,4028,16,146
2020/03/31,SE,Sweden,Europe,62,15,4435,16,180
2020/04/01,SE,Sweden,Europe,62,15,4947,103,239
2020/04/02,SE,Sweden,Europe,62,15,5568,103,308
2020/04/03,SE,Sweden,Europe,62,15,6131,205,358
2020/04/04,SE,Sweden,Europe,62,15,6443,205,373
