day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SO,Somalia,Africa,10,49,0,0,0
2020/01/23,SO,Somalia,Africa,10,49,0,0,0
2020/01/24,SO,Somalia,Africa,10,49,0,0,0
2020/01/25,SO,Somalia,Africa,10,49,0,0,0
2020/01/26,SO,Somalia,Africa,10,49,0,0,0
2020/01/27,SO,Somalia,Africa,10,49,0,0,0
2020/01/28,SO,Somalia,Africa,10,49,0,0,0
2020/01/29,SO,Somalia,Africa,10,49,0,0,0
2020/01/30,SO,Somalia,Africa,10,49,0,0,0
2020/01/31,SO,Somalia,Africa,10,49,0,0,0
2020/02/01,SO,Somalia,Africa,10,49,0,0,0
2020/02/02,SO,Somalia,Africa,10,49,0,0,0
2020/02/03,SO,Somalia,Africa,10,49,0,0,0
2020/02/04,SO,Somalia,Africa,10,49,0,0,0
2020/02/05,SO,Somalia,Africa,10,49,0,0,0
2020/02/06,SO,Somalia,Africa,10,49,0,0,0
2020/02/07,SO,Somalia,Africa,10,49,0,0,0
2020/02/08,SO,Somalia,Africa,10,49,0,0,0
2020/02/09,SO,Somalia,Africa,10,49,0,0,0
2020/02/10,SO,Somalia,Africa,10,49,0,0,0
2020/02/11,SO,Somalia,Africa,10,49,0,0,0
2020/02/12,SO,Somalia,Africa,10,49,0,0,0
2020/02/13,SO,Somalia,Africa,10,49,0,0,0
2020/02/14,SO,Somalia,Africa,10,49,0,0,0
2020/02/15,SO,Somalia,Africa,10,49,0,0,0
2020/02/16,SO,Somalia,Africa,10,49,0,0,0
2020/02/17,SO,Somalia,Africa,10,49,0,0,0
2020/02/18,SO,Somalia,Africa,10,49,0,0,0
2020/02/19,SO,Somalia,Africa,10,49,0,0,0
2020/02/20,SO,Somalia,Africa,10,49,0,0,0
2020/02/21,SO,Somalia,Africa,10,49,0,0,0
2020/02/22,SO,Somalia,Africa,10,49,0,0,0
2020/02/23,SO,Somalia,Africa,10,49,0,0,0
2020/02/24,SO,Somalia,Africa,10,49,0,0,0
2020/02/25,SO,Somalia,Africa,10,49,0,0,0
2020/02/26,SO,Somalia,Africa,10,49,0,0,0
2020/02/27,SO,Somalia,Africa,10,49,0,0,0
2020/02/28,SO,Somalia,Africa,10,49,0,0,0
2020/02/29,SO,Somalia,Africa,10,49,0,0,0
2020/03/01,SO,Somalia,Africa,10,49,0,0,0
2020/03/02,SO,Somalia,Africa,10,49,0,0,0
2020/03/03,SO,Somalia,Africa,10,49,0,0,0
2020/03/04,SO,Somalia,Africa,10,49,0,0,0
2020/03/05,SO,Somalia,Africa,10,49,0,0,0
2020/03/06,SO,Somalia,Africa,10,49,0,0,0
2020/03/07,SO,Somalia,Africa,10,49,0,0,0
2020/03/08,SO,Somalia,Africa,10,49,0,0,0
2020/03/09,SO,Somalia,Africa,10,49,0,0,0
2020/03/10,SO,Somalia,Africa,10,49,0,0,0
2020/03/11,SO,Somalia,Africa,10,49,0,0,0
2020/03/12,SO,Somalia,Africa,10,49,0,0,0
2020/03/13,SO,Somalia,Africa,10,49,0,0,0
2020/03/14,SO,Somalia,Africa,10,49,0,0,0
2020/03/15,SO,Somalia,Africa,10,49,0,0,0
2020/03/16,SO,Somalia,Africa,10,49,1,0,0
2020/03/17,SO,Somalia,Africa,10,49,1,0,0
2020/03/18,SO,Somalia,Africa,10,49,1,0,0
2020/03/19,SO,Somalia,Africa,10,49,1,0,0
2020/03/20,SO,Somalia,Africa,10,49,1,0,0
2020/03/21,SO,Somalia,Africa,10,49,1,0,0
2020/03/22,SO,Somalia,Africa,10,49,1,0,0
2020/03/23,SO,Somalia,Africa,10,49,1,0,0
