day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,SR,Suriname,Americas,4,-56,0,0,0
2020/01/23,SR,Suriname,Americas,4,-56,0,0,0
2020/01/24,SR,Suriname,Americas,4,-56,0,0,0
2020/01/25,SR,Suriname,Americas,4,-56,0,0,0
2020/01/26,SR,Suriname,Americas,4,-56,0,0,0
2020/01/27,SR,Suriname,Americas,4,-56,0,0,0
2020/01/28,SR,Suriname,Americas,4,-56,0,0,0
2020/01/29,SR,Suriname,Americas,4,-56,0,0,0
2020/01/30,SR,Suriname,Americas,4,-56,0,0,0
2020/01/31,SR,Suriname,Americas,4,-56,0,0,0
2020/02/01,SR,Suriname,Americas,4,-56,0,0,0
2020/02/02,SR,Suriname,Americas,4,-56,0,0,0
2020/02/03,SR,Suriname,Americas,4,-56,0,0,0
2020/02/04,SR,Suriname,Americas,4,-56,0,0,0
2020/02/05,SR,Suriname,Americas,4,-56,0,0,0
2020/02/06,SR,Suriname,Americas,4,-56,0,0,0
2020/02/07,SR,Suriname,Americas,4,-56,0,0,0
2020/02/08,SR,Suriname,Americas,4,-56,0,0,0
2020/02/09,SR,Suriname,Americas,4,-56,0,0,0
2020/02/10,SR,Suriname,Americas,4,-56,0,0,0
2020/02/11,SR,Suriname,Americas,4,-56,0,0,0
2020/02/12,SR,Suriname,Americas,4,-56,0,0,0
2020/02/13,SR,Suriname,Americas,4,-56,0,0,0
2020/02/14,SR,Suriname,Americas,4,-56,0,0,0
2020/02/15,SR,Suriname,Americas,4,-56,0,0,0
2020/02/16,SR,Suriname,Americas,4,-56,0,0,0
2020/02/17,SR,Suriname,Americas,4,-56,0,0,0
2020/02/18,SR,Suriname,Americas,4,-56,0,0,0
2020/02/19,SR,Suriname,Americas,4,-56,0,0,0
2020/02/20,SR,Suriname,Americas,4,-56,0,0,0
2020/02/21,SR,Suriname,Americas,4,-56,0,0,0
2020/02/22,SR,Suriname,Americas,4,-56,0,0,0
2020/02/23,SR,Suriname,Americas,4,-56,0,0,0
2020/02/24,SR,Suriname,Americas,4,-56,0,0,0
2020/02/25,SR,Suriname,Americas,4,-56,0,0,0
2020/02/26,SR,Suriname,Americas,4,-56,0,0,0
2020/02/27,SR,Suriname,Americas,4,-56,0,0,0
2020/02/28,SR,Suriname,Americas,4,-56,0,0,0
2020/02/29,SR,Suriname,Americas,4,-56,0,0,0
2020/03/01,SR,Suriname,Americas,4,-56,0,0,0
2020/03/02,SR,Suriname,Americas,4,-56,0,0,0
2020/03/03,SR,Suriname,Americas,4,-56,0,0,0
2020/03/04,SR,Suriname,Americas,4,-56,0,0,0
2020/03/05,SR,Suriname,Americas,4,-56,0,0,0
2020/03/06,SR,Suriname,Americas,4,-56,0,0,0
2020/03/07,SR,Suriname,Americas,4,-56,0,0,0
2020/03/08,SR,Suriname,Americas,4,-56,0,0,0
2020/03/09,SR,Suriname,Americas,4,-56,0,0,0
2020/03/10,SR,Suriname,Americas,4,-56,0,0,0
2020/03/11,SR,Suriname,Americas,4,-56,0,0,0
2020/03/12,SR,Suriname,Americas,4,-56,0,0,0
2020/03/13,SR,Suriname,Americas,4,-56,0,0,0
2020/03/14,SR,Suriname,Americas,4,-56,1,0,0
2020/03/15,SR,Suriname,Americas,4,-56,1,0,0
2020/03/16,SR,Suriname,Americas,4,-56,1,0,0
2020/03/17,SR,Suriname,Americas,4,-56,1,0,0
2020/03/18,SR,Suriname,Americas,4,-56,1,0,0
2020/03/19,SR,Suriname,Americas,4,-56,1,0,0
2020/03/20,SR,Suriname,Americas,4,-56,4,0,0
2020/03/21,SR,Suriname,Americas,4,-56,4,0,0
2020/03/22,SR,Suriname,Americas,4,-56,5,0,0
2020/03/23,SR,Suriname,Americas,4,-56,5,0,0
2020/03/24,SR,Suriname,Americas,4,-56,7,0,0
2020/03/25,SR,Suriname,Americas,4,-56,8,0,0
2020/03/26,SR,Suriname,Americas,4,-56,8,0,0
2020/03/27,SR,Suriname,Americas,4,-56,8,0,0
2020/03/28,SR,Suriname,Americas,4,-56,8,0,0
2020/03/29,SR,Suriname,Americas,4,-56,8,0,0
2020/03/30,SR,Suriname,Americas,4,-56,8,0,0
2020/03/31,SR,Suriname,Americas,4,-56,9,0,0
2020/04/01,SR,Suriname,Americas,4,-56,10,0,0
2020/04/02,SR,Suriname,Americas,4,-56,10,0,0
