day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/23,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/24,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/25,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/26,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/27,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/28,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/29,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/30,TG,Togo,Africa,8,1.16666666,0,0,0
2020/01/31,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/01,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/02,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/03,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/04,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/05,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/06,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/07,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/08,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/09,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/10,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/11,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/12,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/13,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/14,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/15,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/16,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/17,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/18,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/19,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/20,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/21,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/22,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/23,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/24,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/25,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/26,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/27,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/28,TG,Togo,Africa,8,1.16666666,0,0,0
2020/02/29,TG,Togo,Africa,8,1.16666666,0,0,0
2020/03/01,TG,Togo,Africa,8,1.16666666,0,0,0
2020/03/02,TG,Togo,Africa,8,1.16666666,0,0,0
2020/03/03,TG,Togo,Africa,8,1.16666666,0,0,0
2020/03/04,TG,Togo,Africa,8,1.16666666,0,0,0
2020/03/05,TG,Togo,Africa,8,1.16666666,0,0,0
2020/03/06,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/07,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/08,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/09,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/10,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/11,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/12,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/13,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/14,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/15,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/16,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/17,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/18,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/19,TG,Togo,Africa,8,1.16666666,1,0,0
2020/03/20,TG,Togo,Africa,8,1.16666666,9,0,0
2020/03/21,TG,Togo,Africa,8,1.16666666,16,0,0
2020/03/22,TG,Togo,Africa,8,1.16666666,16,0,0
2020/03/23,TG,Togo,Africa,8,1.16666666,18,0,0
2020/03/24,TG,Togo,Africa,8,1.16666666,20,1,0
2020/03/25,TG,Togo,Africa,8,1.16666666,23,1,0
2020/03/26,TG,Togo,Africa,8,1.16666666,23,1,0
2020/03/27,TG,Togo,Africa,8,1.16666666,25,1,1
2020/03/28,TG,Togo,Africa,8,1.16666666,25,1,1
2020/03/29,TG,Togo,Africa,8,1.16666666,25,1,1
2020/03/30,TG,Togo,Africa,8,1.16666666,30,1,1
2020/03/31,TG,Togo,Africa,8,1.16666666,34,10,1
2020/04/01,TG,Togo,Africa,8,1.16666666,36,10,2
