day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/23,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/24,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/25,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/26,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/27,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/28,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/29,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/30,TJ,Tajikistan,Asia,39,71,0,0,0
2020/01/31,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/01,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/02,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/03,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/04,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/05,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/06,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/07,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/08,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/09,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/10,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/11,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/12,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/13,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/14,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/15,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/16,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/17,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/18,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/19,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/20,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/21,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/22,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/23,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/24,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/25,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/26,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/27,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/28,TJ,Tajikistan,Asia,39,71,0,0,0
2020/02/29,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/01,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/02,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/03,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/04,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/05,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/06,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/07,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/08,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/09,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/10,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/11,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/12,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/13,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/14,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/15,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/16,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/17,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/18,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/19,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/20,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/21,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/22,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/23,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/24,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/25,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/26,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/27,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/28,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/29,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/30,TJ,Tajikistan,Asia,39,71,0,0,0
2020/03/31,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/01,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/02,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/03,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/04,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/05,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/06,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/07,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/08,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/09,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/10,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/11,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/12,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/13,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/14,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/15,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/16,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/17,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/18,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/19,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/20,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/21,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/22,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/23,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/24,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/25,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/26,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/27,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/28,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/29,TJ,Tajikistan,Asia,39,71,0,0,0
2020/04/30,TJ,Tajikistan,Asia,39,71,0,0,0
2020/05/01,TJ,Tajikistan,Asia,39,71,0,0,0
2020/05/02,TJ,Tajikistan,Asia,39,71,0,0,0
2020/05/03,TJ,Tajikistan,Asia,39,71,0,0,0
2020/05/04,TJ,Tajikistan,Asia,39,71,230,0,3
2020/05/05,TJ,Tajikistan,Asia,39,71,293,0,5
2020/05/06,TJ,Tajikistan,Asia,39,71,379,0,8
2020/05/07,TJ,Tajikistan,Asia,39,71,461,0,12
2020/05/08,TJ,Tajikistan,Asia,39,71,522,0,12
2020/05/09,TJ,Tajikistan,Asia,39,71,612,0,20
2020/05/10,TJ,Tajikistan,Asia,39,71,612,0,20
2020/05/11,TJ,Tajikistan,Asia,39,71,661,0,21
2020/05/12,TJ,Tajikistan,Asia,39,71,729,0,21
2020/05/13,TJ,Tajikistan,Asia,39,71,801,0,23
