day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/23,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/24,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/25,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/26,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/27,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/28,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/29,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/30,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/01/31,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/01,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/02,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/03,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/04,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/05,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/06,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/07,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/08,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/09,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/10,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/11,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/12,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/13,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/14,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/15,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/16,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/17,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
2020/02/18,TL,Timor-Leste,Asia,-8.83333333,125.91666666,0,0,0
