day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TW,Taiwan,Asia,23.5,121,1,0,0
2020/01/23,TW,Taiwan,Asia,23.5,121,1,0,0
2020/01/24,TW,Taiwan,Asia,23.5,121,3,0,0
2020/01/25,TW,Taiwan,Asia,23.5,121,3,0,0
2020/01/26,TW,Taiwan,Asia,23.5,121,4,0,0
2020/01/27,TW,Taiwan,Asia,23.5,121,5,0,0
2020/01/28,TW,Taiwan,Asia,23.5,121,8,0,0
2020/01/29,TW,Taiwan,Asia,23.5,121,8,0,0
2020/01/30,TW,Taiwan,Asia,23.5,121,9,0,0
2020/01/31,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/01,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/02,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/03,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/04,TW,Taiwan,Asia,23.5,121,11,0,0
2020/02/05,TW,Taiwan,Asia,23.5,121,11,0,0
2020/02/06,TW,Taiwan,Asia,23.5,121,16,1,0
2020/02/07,TW,Taiwan,Asia,23.5,121,16,1,0
2020/02/08,TW,Taiwan,Asia,23.5,121,17,1,0
2020/02/09,TW,Taiwan,Asia,23.5,121,18,1,0
2020/02/10,TW,Taiwan,Asia,23.5,121,18,1,0
2020/02/11,TW,Taiwan,Asia,23.5,121,18,1,0
2020/02/12,TW,Taiwan,Asia,23.5,121,18,1,0
2020/02/13,TW,Taiwan,Asia,23.5,121,18,1,0
2020/02/14,TW,Taiwan,Asia,23.5,121,18,2,0
2020/02/15,TW,Taiwan,Asia,23.5,121,18,2,0
2020/02/16,TW,Taiwan,Asia,23.5,121,20,2,1
2020/02/17,TW,Taiwan,Asia,23.5,121,22,2,1
2020/02/18,TW,Taiwan,Asia,23.5,121,22,2,1
2020/02/19,TW,Taiwan,Asia,23.5,121,23,2,1
2020/02/20,TW,Taiwan,Asia,23.5,121,24,2,1
2020/02/21,TW,Taiwan,Asia,23.5,121,26,2,1
2020/02/22,TW,Taiwan,Asia,23.5,121,26,2,1
2020/02/23,TW,Taiwan,Asia,23.5,121,28,2,1
2020/02/24,TW,Taiwan,Asia,23.5,121,30,5,1
2020/02/25,TW,Taiwan,Asia,23.5,121,31,5,1
2020/02/26,TW,Taiwan,Asia,23.5,121,32,5,1
2020/02/27,TW,Taiwan,Asia,23.5,121,32,5,1
2020/02/28,TW,Taiwan,Asia,23.5,121,34,6,1
2020/02/29,TW,Taiwan,Asia,23.5,121,39,9,1
2020/03/01,TW,Taiwan,Asia,23.5,121,40,9,1
2020/03/02,TW,Taiwan,Asia,23.5,121,41,12,1
2020/03/03,TW,Taiwan,Asia,23.5,121,42,12,1
2020/03/04,TW,Taiwan,Asia,23.5,121,42,12,1
2020/03/05,TW,Taiwan,Asia,23.5,121,44,12,1
2020/03/06,TW,Taiwan,Asia,23.5,121,45,12,1
2020/03/07,TW,Taiwan,Asia,23.5,121,45,12,1
2020/03/08,TW,Taiwan,Asia,23.5,121,45,13,1
2020/03/09,TW,Taiwan,Asia,23.5,121,45,15,1
2020/03/10,TW,Taiwan,Asia,23.5,121,47,17,1
2020/03/11,TW,Taiwan,Asia,23.5,121,48,17,1
2020/03/12,TW,Taiwan,Asia,23.5,121,49,20,1
2020/03/13,TW,Taiwan,Asia,23.5,121,50,20,1
2020/03/14,TW,Taiwan,Asia,23.5,121,53,20,1
2020/03/15,TW,Taiwan,Asia,23.5,121,59,20,1
2020/03/16,TW,Taiwan,Asia,23.5,121,67,20,1
2020/03/17,TW,Taiwan,Asia,23.5,121,77,22,1
2020/03/18,TW,Taiwan,Asia,23.5,121,100,22,1
2020/03/19,TW,Taiwan,Asia,23.5,121,108,26,1
2020/03/20,TW,Taiwan,Asia,23.5,121,135,26,2
2020/03/21,TW,Taiwan,Asia,23.5,121,153,28,2
2020/03/22,TW,Taiwan,Asia,23.5,121,169,28,2
2020/03/23,TW,Taiwan,Asia,23.5,121,195,28,2
2020/03/24,TW,Taiwan,Asia,23.5,121,216,29,2
2020/03/25,TW,Taiwan,Asia,23.5,121,235,29,2
2020/03/26,TW,Taiwan,Asia,23.5,121,252,29,2
2020/03/27,TW,Taiwan,Asia,23.5,121,267,30,2
2020/03/28,TW,Taiwan,Asia,23.5,121,283,30,2
2020/03/29,TW,Taiwan,Asia,23.5,121,298,39,3
2020/03/30,TW,Taiwan,Asia,23.5,121,306,39,5
2020/03/31,TW,Taiwan,Asia,23.5,121,322,39,5
2020/04/01,TW,Taiwan,Asia,23.5,121,329,45,5
2020/04/02,TW,Taiwan,Asia,23.5,121,339,50,5
