day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/23,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/24,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/25,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/26,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/27,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/28,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/29,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/30,TZ,Tanzania,Africa,-6,35,0,0,0
2020/01/31,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/01,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/02,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/03,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/04,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/05,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/06,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/07,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/08,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/09,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/10,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/11,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/12,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/13,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/14,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/15,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/16,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/17,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/18,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/19,TZ,Tanzania,Africa,-6,35,0,0,0
2020/02/20,TZ,Tanzania,Africa,-6,35,0,0,0
