day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,UA,Ukraine,Europe,49,32,0,0,0
2020/01/23,UA,Ukraine,Europe,49,32,0,0,0
2020/01/24,UA,Ukraine,Europe,49,32,0,0,0
2020/01/25,UA,Ukraine,Europe,49,32,0,0,0
2020/01/26,UA,Ukraine,Europe,49,32,0,0,0
2020/01/27,UA,Ukraine,Europe,49,32,0,0,0
2020/01/28,UA,Ukraine,Europe,49,32,0,0,0
2020/01/29,UA,Ukraine,Europe,49,32,0,0,0
2020/01/30,UA,Ukraine,Europe,49,32,0,0,0
2020/01/31,UA,Ukraine,Europe,49,32,0,0,0
2020/02/01,UA,Ukraine,Europe,49,32,0,0,0
2020/02/02,UA,Ukraine,Europe,49,32,0,0,0
2020/02/03,UA,Ukraine,Europe,49,32,0,0,0
2020/02/04,UA,Ukraine,Europe,49,32,0,0,0
2020/02/05,UA,Ukraine,Europe,49,32,0,0,0
2020/02/06,UA,Ukraine,Europe,49,32,0,0,0
2020/02/07,UA,Ukraine,Europe,49,32,0,0,0
2020/02/08,UA,Ukraine,Europe,49,32,0,0,0
2020/02/09,UA,Ukraine,Europe,49,32,0,0,0
2020/02/10,UA,Ukraine,Europe,49,32,0,0,0
2020/02/11,UA,Ukraine,Europe,49,32,0,0,0
2020/02/12,UA,Ukraine,Europe,49,32,0,0,0
2020/02/13,UA,Ukraine,Europe,49,32,0,0,0
2020/02/14,UA,Ukraine,Europe,49,32,0,0,0
2020/02/15,UA,Ukraine,Europe,49,32,0,0,0
2020/02/16,UA,Ukraine,Europe,49,32,0,0,0
2020/02/17,UA,Ukraine,Europe,49,32,0,0,0
2020/02/18,UA,Ukraine,Europe,49,32,0,0,0
2020/02/19,UA,Ukraine,Europe,49,32,0,0,0
2020/02/20,UA,Ukraine,Europe,49,32,0,0,0
2020/02/21,UA,Ukraine,Europe,49,32,0,0,0
2020/02/22,UA,Ukraine,Europe,49,32,0,0,0
2020/02/23,UA,Ukraine,Europe,49,32,0,0,0
2020/02/24,UA,Ukraine,Europe,49,32,0,0,0
2020/02/25,UA,Ukraine,Europe,49,32,0,0,0
2020/02/26,UA,Ukraine,Europe,49,32,0,0,0
2020/02/27,UA,Ukraine,Europe,49,32,0,0,0
2020/02/28,UA,Ukraine,Europe,49,32,0,0,0
2020/02/29,UA,Ukraine,Europe,49,32,0,0,0
2020/03/01,UA,Ukraine,Europe,49,32,0,0,0
2020/03/02,UA,Ukraine,Europe,49,32,0,0,0
2020/03/03,UA,Ukraine,Europe,49,32,1,0,0
2020/03/04,UA,Ukraine,Europe,49,32,1,0,0
2020/03/05,UA,Ukraine,Europe,49,32,1,0,0
2020/03/06,UA,Ukraine,Europe,49,32,1,0,0
2020/03/07,UA,Ukraine,Europe,49,32,1,0,0
2020/03/08,UA,Ukraine,Europe,49,32,1,0,0
2020/03/09,UA,Ukraine,Europe,49,32,1,0,0
2020/03/10,UA,Ukraine,Europe,49,32,1,0,0
2020/03/11,UA,Ukraine,Europe,49,32,1,0,0
2020/03/12,UA,Ukraine,Europe,49,32,1,0,0
2020/03/13,UA,Ukraine,Europe,49,32,3,0,1
2020/03/14,UA,Ukraine,Europe,49,32,3,0,1
2020/03/15,UA,Ukraine,Europe,49,32,3,0,1
2020/03/16,UA,Ukraine,Europe,49,32,7,0,1
2020/03/17,UA,Ukraine,Europe,49,32,14,0,2
2020/03/18,UA,Ukraine,Europe,49,32,14,0,2
2020/03/19,UA,Ukraine,Europe,49,32,16,0,2
2020/03/20,UA,Ukraine,Europe,49,32,29,0,3
2020/03/21,UA,Ukraine,Europe,49,32,47,1,3
2020/03/22,UA,Ukraine,Europe,49,32,73,1,3
2020/03/23,UA,Ukraine,Europe,49,32,73,1,3
2020/03/24,UA,Ukraine,Europe,49,32,97,1,3
2020/03/25,UA,Ukraine,Europe,49,32,145,1,5
2020/03/26,UA,Ukraine,Europe,49,32,196,1,5
2020/03/27,UA,Ukraine,Europe,49,32,310,5,5
2020/03/28,UA,Ukraine,Europe,49,32,356,5,9
2020/03/29,UA,Ukraine,Europe,49,32,475,6,10
2020/03/30,UA,Ukraine,Europe,49,32,548,8,13
2020/03/31,UA,Ukraine,Europe,49,32,645,10,17
2020/04/01,UA,Ukraine,Europe,49,32,794,13,20
2020/04/02,UA,Ukraine,Europe,49,32,897,19,22
