day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/23,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/24,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/25,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/26,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/27,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/28,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/29,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/30,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/01/31,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/01,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/02,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/03,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/04,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/05,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/06,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/07,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/08,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/09,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/10,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/11,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/12,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/13,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/14,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/15,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/16,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/17,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/18,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/19,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/20,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/21,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/22,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/23,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/24,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/25,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/26,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/27,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/28,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/02/29,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/03/01,UZ,Uzbekistan,Asia,41,64,0,0,0
2020/03/02,UZ,Uzbekistan,Asia,41,64,0,0,0
