day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/23,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/24,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/25,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/26,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/27,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/28,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/29,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/30,VE,Venezuela,Americas,8,-66,0,0,0
2020/01/31,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/01,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/02,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/03,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/04,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/05,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/06,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/07,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/08,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/09,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/10,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/11,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/12,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/13,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/14,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/15,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/16,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/17,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/18,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/19,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/20,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/21,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/22,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/23,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/24,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/25,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/26,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/27,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/28,VE,Venezuela,Americas,8,-66,0,0,0
2020/02/29,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/01,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/02,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/03,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/04,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/05,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/06,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/07,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/08,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/09,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/10,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/11,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/12,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/13,VE,Venezuela,Americas,8,-66,0,0,0
2020/03/14,VE,Venezuela,Americas,8,-66,2,0,0
2020/03/15,VE,Venezuela,Americas,8,-66,10,0,0
2020/03/16,VE,Venezuela,Americas,8,-66,17,0,0
2020/03/17,VE,Venezuela,Americas,8,-66,33,0,0
2020/03/18,VE,Venezuela,Americas,8,-66,36,0,0
2020/03/19,VE,Venezuela,Americas,8,-66,42,0,0
2020/03/20,VE,Venezuela,Americas,8,-66,42,0,0
2020/03/21,VE,Venezuela,Americas,8,-66,70,0,0
2020/03/22,VE,Venezuela,Americas,8,-66,70,15,0
2020/03/23,VE,Venezuela,Americas,8,-66,77,15,0
2020/03/24,VE,Venezuela,Americas,8,-66,84,15,0
2020/03/25,VE,Venezuela,Americas,8,-66,91,15,0
2020/03/26,VE,Venezuela,Americas,8,-66,107,15,0
2020/03/27,VE,Venezuela,Americas,8,-66,107,31,1
2020/03/28,VE,Venezuela,Americas,8,-66,119,39,2
2020/03/29,VE,Venezuela,Americas,8,-66,119,39,3
2020/03/30,VE,Venezuela,Americas,8,-66,135,39,3
2020/03/31,VE,Venezuela,Americas,8,-66,135,39,3
2020/04/01,VE,Venezuela,Americas,8,-66,144,43,3
2020/04/02,VE,Venezuela,Americas,8,-66,146,43,5
2020/04/03,VE,Venezuela,Americas,8,-66,153,52,7
2020/04/04,VE,Venezuela,Americas,8,-66,155,52,7
2020/04/05,VE,Venezuela,Americas,8,-66,159,52,7
2020/04/06,VE,Venezuela,Americas,8,-66,165,65,7
2020/04/07,VE,Venezuela,Americas,8,-66,166,65,7
2020/04/08,VE,Venezuela,Americas,8,-66,167,65,9
2020/04/09,VE,Venezuela,Americas,8,-66,171,84,9
2020/04/10,VE,Venezuela,Americas,8,-66,175,84,9
2020/04/11,VE,Venezuela,Americas,8,-66,175,93,9
2020/04/12,VE,Venezuela,Americas,8,-66,181,93,9
2020/04/13,VE,Venezuela,Americas,8,-66,189,110,9
2020/04/14,VE,Venezuela,Americas,8,-66,189,110,9
2020/04/15,VE,Venezuela,Americas,8,-66,197,111,9
2020/04/16,VE,Venezuela,Americas,8,-66,204,111,9
2020/04/17,VE,Venezuela,Americas,8,-66,204,111,9
2020/04/18,VE,Venezuela,Americas,8,-66,227,117,9
2020/04/19,VE,Venezuela,Americas,8,-66,256,117,9
2020/04/20,VE,Venezuela,Americas,8,-66,256,117,9
2020/04/21,VE,Venezuela,Americas,8,-66,285,117,10
2020/04/22,VE,Venezuela,Americas,8,-66,288,122,10
2020/04/23,VE,Venezuela,Americas,8,-66,298,122,10
2020/04/24,VE,Venezuela,Americas,8,-66,318,132,10
2020/04/25,VE,Venezuela,Americas,8,-66,323,132,10
2020/04/26,VE,Venezuela,Americas,8,-66,325,137,10
2020/04/27,VE,Venezuela,Americas,8,-66,325,137,10
2020/04/28,VE,Venezuela,Americas,8,-66,329,142,10
2020/04/29,VE,Venezuela,Americas,8,-66,329,142,10
2020/04/30,VE,Venezuela,Americas,8,-66,333,142,10
2020/05/01,VE,Venezuela,Americas,8,-66,335,142,10
2020/05/02,VE,Venezuela,Americas,8,-66,345,148,10
2020/05/03,VE,Venezuela,Americas,8,-66,345,148,10
2020/05/04,VE,Venezuela,Americas,8,-66,357,158,10
2020/05/05,VE,Venezuela,Americas,8,-66,361,158,10
2020/05/06,VE,Venezuela,Americas,8,-66,367,164,10
2020/05/07,VE,Venezuela,Americas,8,-66,381,185,10
2020/05/08,VE,Venezuela,Americas,8,-66,388,190,10
2020/05/09,VE,Venezuela,Americas,8,-66,388,190,10
2020/05/10,VE,Venezuela,Americas,8,-66,402,190,10
2020/05/11,VE,Venezuela,Americas,8,-66,414,193,10
2020/05/12,VE,Venezuela,Americas,8,-66,423,220,10
2020/05/13,VE,Venezuela,Americas,8,-66,423,220,10
2020/05/14,VE,Venezuela,Americas,8,-66,440,220,10
2020/05/15,VE,Venezuela,Americas,8,-66,459,229,10
2020/05/16,VE,Venezuela,Americas,8,-66,459,229,10
2020/05/17,VE,Venezuela,Americas,8,-66,541,241,10
2020/05/18,VE,Venezuela,Americas,8,-66,541,241,10
2020/05/19,VE,Venezuela,Americas,8,-66,618,253,10
2020/05/20,VE,Venezuela,Americas,8,-66,824,262,10
