day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/23,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/24,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/25,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/26,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/27,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/28,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/29,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/30,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/01/31,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/01,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/02,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/03,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/04,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/05,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/06,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/07,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/08,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/09,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/10,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/11,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/12,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/13,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/14,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/15,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/16,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/17,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/18,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/19,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/20,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/21,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/22,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/23,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/24,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/25,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/26,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/27,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/28,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/02/29,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/01,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/02,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/03,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/04,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/05,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/06,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/07,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/08,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/09,X2,Channel Islands,Europe,49.372284,-2.364351,0,0,0
2020/03/10,X2,Channel Islands,Europe,49.372284,-2.364351,1,0,0
2020/03/11,X2,Channel Islands,Europe,49.372284,-2.364351,2,0,0
2020/03/12,X2,Channel Islands,Europe,49.372284,-2.364351,2,0,0
2020/03/13,X2,Channel Islands,Europe,49.372284,-2.364351,2,0,0
2020/03/14,X2,Channel Islands,Europe,49.372284,-2.364351,2,0,0
2020/03/15,X2,Channel Islands,Europe,49.372284,-2.364351,3,0,0
2020/03/16,X2,Channel Islands,Europe,49.372284,-2.364351,6,0,0
2020/03/17,X2,Channel Islands,Europe,49.372284,-2.364351,6,0,0
2020/03/18,X2,Channel Islands,Europe,49.372284,-2.364351,6,0,0
2020/03/19,X2,Channel Islands,Europe,49.372284,-2.364351,11,0,0
2020/03/20,X2,Channel Islands,Europe,49.372284,-2.364351,14,0,0
2020/03/21,X2,Channel Islands,Europe,49.372284,-2.364351,32,0,0
2020/03/22,X2,Channel Islands,Europe,49.372284,-2.364351,32,0,0
2020/03/23,X2,Channel Islands,Europe,49.372284,-2.364351,36,0,0
2020/03/24,X2,Channel Islands,Europe,49.372284,-2.364351,36,0,0
2020/03/25,X2,Channel Islands,Europe,49.372284,-2.364351,46,0,0
2020/03/26,X2,Channel Islands,Europe,49.372284,-2.364351,66,0,1
2020/03/27,X2,Channel Islands,Europe,49.372284,-2.364351,88,0,1
2020/03/28,X2,Channel Islands,Europe,49.372284,-2.364351,97,0,1
