day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/23,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/24,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/25,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/26,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/27,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/28,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/29,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/30,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/01/31,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/01,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/02,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/03,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/04,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/05,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/06,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/07,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/08,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/09,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/10,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/11,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/12,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/13,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/14,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/15,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/16,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/17,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/18,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/19,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/20,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/21,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/22,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/23,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/24,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/25,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/26,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/27,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/28,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/02/29,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/01,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/02,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/03,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/04,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/05,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/06,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/07,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/08,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/09,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/10,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/11,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/12,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/13,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/14,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/15,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/16,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/17,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/18,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/19,ZW,Zimbabwe,Africa,-20,30,0,0,0
2020/03/20,ZW,Zimbabwe,Africa,-20,30,1,0,0
2020/03/21,ZW,Zimbabwe,Africa,-20,30,3,0,0
2020/03/22,ZW,Zimbabwe,Africa,-20,30,3,0,0
2020/03/23,ZW,Zimbabwe,Africa,-20,30,3,0,1
2020/03/24,ZW,Zimbabwe,Africa,-20,30,3,0,1
2020/03/25,ZW,Zimbabwe,Africa,-20,30,3,0,1
2020/03/26,ZW,Zimbabwe,Africa,-20,30,3,0,1
2020/03/27,ZW,Zimbabwe,Africa,-20,30,5,0,1
2020/03/28,ZW,Zimbabwe,Africa,-20,30,7,0,1
2020/03/29,ZW,Zimbabwe,Africa,-20,30,7,0,1
