day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/23,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/24,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/25,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/26,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/27,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/28,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/29,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/30,AR,Argentina,Americas,-34,-64,0,0,0
2020/01/31,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/01,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/02,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/03,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/04,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/05,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/06,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/07,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/08,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/09,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/10,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/11,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/12,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/13,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/14,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/15,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/16,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/17,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/18,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/19,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/20,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/21,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/22,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/23,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/24,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/25,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/26,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/27,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/28,AR,Argentina,Americas,-34,-64,0,0,0
2020/02/29,AR,Argentina,Americas,-34,-64,0,0,0
2020/03/01,AR,Argentina,Americas,-34,-64,0,0,0
2020/03/02,AR,Argentina,Americas,-34,-64,0,0,0
2020/03/03,AR,Argentina,Americas,-34,-64,1,0,0
2020/03/04,AR,Argentina,Americas,-34,-64,1,0,0
2020/03/05,AR,Argentina,Americas,-34,-64,1,0,0
2020/03/06,AR,Argentina,Americas,-34,-64,2,0,0
2020/03/07,AR,Argentina,Americas,-34,-64,8,0,0
2020/03/08,AR,Argentina,Americas,-34,-64,12,1,0
2020/03/09,AR,Argentina,Americas,-34,-64,12,1,0
2020/03/10,AR,Argentina,Americas,-34,-64,17,1,0
2020/03/11,AR,Argentina,Americas,-34,-64,19,1,0
2020/03/12,AR,Argentina,Americas,-34,-64,19,1,0
2020/03/13,AR,Argentina,Americas,-34,-64,31,2,0
2020/03/14,AR,Argentina,Americas,-34,-64,34,2,1
2020/03/15,AR,Argentina,Americas,-34,-64,45,2,1
2020/03/16,AR,Argentina,Americas,-34,-64,56,2,1
2020/03/17,AR,Argentina,Americas,-34,-64,68,2,3
2020/03/18,AR,Argentina,Americas,-34,-64,79,2,3
2020/03/19,AR,Argentina,Americas,-34,-64,97,3,3
2020/03/20,AR,Argentina,Americas,-34,-64,128,3,3
2020/03/21,AR,Argentina,Americas,-34,-64,158,4,3
2020/03/22,AR,Argentina,Americas,-34,-64,225,4,3
2020/03/23,AR,Argentina,Americas,-34,-64,301,4,51
