day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/23,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/24,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/25,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/26,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/27,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/28,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/29,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/30,AW,Aruba,12.5,-69.96666666,0,0,0
2020/01/31,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/01,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/02,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/03,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/04,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/05,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/06,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/07,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/08,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/09,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/10,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/11,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/12,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/13,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/14,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/15,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/16,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/17,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/18,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/19,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/20,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/21,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/22,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/23,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/24,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/25,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/26,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/27,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/28,AW,Aruba,12.5,-69.96666666,0,0,0
2020/02/29,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/01,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/02,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/03,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/04,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/05,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/06,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/07,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/08,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/09,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/10,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/11,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/12,AW,Aruba,12.5,-69.96666666,0,0,0
2020/03/13,AW,Aruba,12.5,-69.96666666,2,0,0
2020/03/14,AW,Aruba,12.5,-69.96666666,2,0,0
2020/03/15,AW,Aruba,12.5,-69.96666666,2,0,0
2020/03/16,AW,Aruba,12.5,-69.96666666,2,0,0
2020/03/17,AW,Aruba,12.5,-69.96666666,3,0,0
2020/03/18,AW,Aruba,12.5,-69.96666666,4,0,0
2020/03/19,AW,Aruba,12.5,-69.96666666,4,0,0
2020/03/20,AW,Aruba,12.5,-69.96666666,5,0,0
2020/03/21,AW,Aruba,12.5,-69.96666666,5,0,0
2020/03/22,AW,Aruba,12.5,-69.96666666,8,0,0
2020/03/23,AW,Aruba,12.5,-69.96666666,9,0,1
