day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,BD,Bangladesh,24,90,0,0,0
2020/01/23,BD,Bangladesh,24,90,0,0,0
2020/01/24,BD,Bangladesh,24,90,0,0,0
2020/01/25,BD,Bangladesh,24,90,0,0,0
2020/01/26,BD,Bangladesh,24,90,0,0,0
2020/01/27,BD,Bangladesh,24,90,0,0,0
2020/01/28,BD,Bangladesh,24,90,0,0,0
2020/01/29,BD,Bangladesh,24,90,0,0,0
2020/01/30,BD,Bangladesh,24,90,0,0,0
2020/01/31,BD,Bangladesh,24,90,0,0,0
2020/02/01,BD,Bangladesh,24,90,0,0,0
2020/02/02,BD,Bangladesh,24,90,0,0,0
2020/02/03,BD,Bangladesh,24,90,0,0,0
2020/02/04,BD,Bangladesh,24,90,0,0,0
2020/02/05,BD,Bangladesh,24,90,0,0,0
2020/02/06,BD,Bangladesh,24,90,0,0,0
2020/02/07,BD,Bangladesh,24,90,0,0,0
2020/02/08,BD,Bangladesh,24,90,0,0,0
2020/02/09,BD,Bangladesh,24,90,0,0,0
2020/02/10,BD,Bangladesh,24,90,0,0,0
2020/02/11,BD,Bangladesh,24,90,0,0,0
2020/02/12,BD,Bangladesh,24,90,0,0,0
2020/02/13,BD,Bangladesh,24,90,0,0,0
2020/02/14,BD,Bangladesh,24,90,0,0,0
2020/02/15,BD,Bangladesh,24,90,0,0,0
2020/02/16,BD,Bangladesh,24,90,0,0,0
2020/02/17,BD,Bangladesh,24,90,0,0,0
2020/02/18,BD,Bangladesh,24,90,0,0,0
2020/02/19,BD,Bangladesh,24,90,0,0,0
2020/02/20,BD,Bangladesh,24,90,0,0,0
2020/02/21,BD,Bangladesh,24,90,0,0,0
2020/02/22,BD,Bangladesh,24,90,0,0,0
2020/02/23,BD,Bangladesh,24,90,0,0,0
2020/02/24,BD,Bangladesh,24,90,0,0,0
2020/02/25,BD,Bangladesh,24,90,0,0,0
2020/02/26,BD,Bangladesh,24,90,0,0,0
2020/02/27,BD,Bangladesh,24,90,0,0,0
2020/02/28,BD,Bangladesh,24,90,0,0,0
2020/02/29,BD,Bangladesh,24,90,0,0,0
2020/03/01,BD,Bangladesh,24,90,0,0,0
2020/03/02,BD,Bangladesh,24,90,0,0,0
2020/03/03,BD,Bangladesh,24,90,0,0,0
2020/03/04,BD,Bangladesh,24,90,0,0,0
2020/03/05,BD,Bangladesh,24,90,0,0,0
2020/03/06,BD,Bangladesh,24,90,0,0,0
2020/03/07,BD,Bangladesh,24,90,0,0,0
2020/03/08,BD,Bangladesh,24,90,3,0,0
2020/03/09,BD,Bangladesh,24,90,3,0,0
2020/03/10,BD,Bangladesh,24,90,3,0,0
2020/03/11,BD,Bangladesh,24,90,3,0,0
2020/03/12,BD,Bangladesh,24,90,3,0,0
2020/03/13,BD,Bangladesh,24,90,3,0,0
2020/03/14,BD,Bangladesh,24,90,3,0,0
2020/03/15,BD,Bangladesh,24,90,5,0,0
2020/03/16,BD,Bangladesh,24,90,8,0,2
2020/03/17,BD,Bangladesh,24,90,10,0,3
2020/03/18,BD,Bangladesh,24,90,14,1,3
2020/03/19,BD,Bangladesh,24,90,17,1,3
2020/03/20,BD,Bangladesh,24,90,20,1,3
2020/03/21,BD,Bangladesh,24,90,25,2,3
2020/03/22,BD,Bangladesh,24,90,27,2,3
2020/03/23,BD,Bangladesh,24,90,33,3,5
