day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,BG,Bulgaria,43,25,0,0,0
2020/01/23,BG,Bulgaria,43,25,0,0,0
2020/01/24,BG,Bulgaria,43,25,0,0,0
2020/01/25,BG,Bulgaria,43,25,0,0,0
2020/01/26,BG,Bulgaria,43,25,0,0,0
2020/01/27,BG,Bulgaria,43,25,0,0,0
2020/01/28,BG,Bulgaria,43,25,0,0,0
2020/01/29,BG,Bulgaria,43,25,0,0,0
2020/01/30,BG,Bulgaria,43,25,0,0,0
2020/01/31,BG,Bulgaria,43,25,0,0,0
2020/02/01,BG,Bulgaria,43,25,0,0,0
2020/02/02,BG,Bulgaria,43,25,0,0,0
2020/02/03,BG,Bulgaria,43,25,0,0,0
2020/02/04,BG,Bulgaria,43,25,0,0,0
2020/02/05,BG,Bulgaria,43,25,0,0,0
2020/02/06,BG,Bulgaria,43,25,0,0,0
2020/02/07,BG,Bulgaria,43,25,0,0,0
2020/02/08,BG,Bulgaria,43,25,0,0,0
2020/02/09,BG,Bulgaria,43,25,0,0,0
2020/02/10,BG,Bulgaria,43,25,0,0,0
2020/02/11,BG,Bulgaria,43,25,0,0,0
2020/02/12,BG,Bulgaria,43,25,0,0,0
2020/02/13,BG,Bulgaria,43,25,0,0,0
2020/02/14,BG,Bulgaria,43,25,0,0,0
2020/02/15,BG,Bulgaria,43,25,0,0,0
2020/02/16,BG,Bulgaria,43,25,0,0,0
2020/02/17,BG,Bulgaria,43,25,0,0,0
2020/02/18,BG,Bulgaria,43,25,0,0,0
2020/02/19,BG,Bulgaria,43,25,0,0,0
2020/02/20,BG,Bulgaria,43,25,0,0,0
2020/02/21,BG,Bulgaria,43,25,0,0,0
2020/02/22,BG,Bulgaria,43,25,0,0,0
2020/02/23,BG,Bulgaria,43,25,0,0,0
2020/02/24,BG,Bulgaria,43,25,0,0,0
2020/02/25,BG,Bulgaria,43,25,0,0,0
2020/02/26,BG,Bulgaria,43,25,0,0,0
2020/02/27,BG,Bulgaria,43,25,0,0,0
2020/02/28,BG,Bulgaria,43,25,0,0,0
2020/02/29,BG,Bulgaria,43,25,0,0,0
2020/03/01,BG,Bulgaria,43,25,0,0,0
2020/03/02,BG,Bulgaria,43,25,0,0,0
2020/03/03,BG,Bulgaria,43,25,0,0,0
2020/03/04,BG,Bulgaria,43,25,0,0,0
2020/03/05,BG,Bulgaria,43,25,0,0,0
2020/03/06,BG,Bulgaria,43,25,0,0,0
2020/03/07,BG,Bulgaria,43,25,0,0,0
2020/03/08,BG,Bulgaria,43,25,4,0,0
2020/03/09,BG,Bulgaria,43,25,4,0,0
2020/03/10,BG,Bulgaria,43,25,4,0,0
2020/03/11,BG,Bulgaria,43,25,7,1,0
2020/03/12,BG,Bulgaria,43,25,7,1,0
2020/03/13,BG,Bulgaria,43,25,23,1,0
2020/03/14,BG,Bulgaria,43,25,41,2,0
2020/03/15,BG,Bulgaria,43,25,51,2,0
2020/03/16,BG,Bulgaria,43,25,52,2,0
2020/03/17,BG,Bulgaria,43,25,67,2,0
2020/03/18,BG,Bulgaria,43,25,92,2,0
2020/03/19,BG,Bulgaria,43,25,94,3,0
2020/03/20,BG,Bulgaria,43,25,127,3,0
2020/03/21,BG,Bulgaria,43,25,163,3,3
2020/03/22,BG,Bulgaria,43,25,187,3,3
2020/03/23,BG,Bulgaria,43,25,201,3,3
