day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,BY,Belarus,Europe,53,28,0,0,0
2020/01/23,BY,Belarus,Europe,53,28,0,0,0
2020/01/24,BY,Belarus,Europe,53,28,0,0,0
2020/01/25,BY,Belarus,Europe,53,28,0,0,0
2020/01/26,BY,Belarus,Europe,53,28,0,0,0
2020/01/27,BY,Belarus,Europe,53,28,0,0,0
2020/01/28,BY,Belarus,Europe,53,28,0,0,0
2020/01/29,BY,Belarus,Europe,53,28,0,0,0
2020/01/30,BY,Belarus,Europe,53,28,0,0,0
2020/01/31,BY,Belarus,Europe,53,28,0,0,0
2020/02/01,BY,Belarus,Europe,53,28,0,0,0
2020/02/02,BY,Belarus,Europe,53,28,0,0,0
2020/02/03,BY,Belarus,Europe,53,28,0,0,0
2020/02/04,BY,Belarus,Europe,53,28,0,0,0
2020/02/05,BY,Belarus,Europe,53,28,0,0,0
2020/02/06,BY,Belarus,Europe,53,28,0,0,0
2020/02/07,BY,Belarus,Europe,53,28,0,0,0
2020/02/08,BY,Belarus,Europe,53,28,0,0,0
2020/02/09,BY,Belarus,Europe,53,28,0,0,0
2020/02/10,BY,Belarus,Europe,53,28,0,0,0
2020/02/11,BY,Belarus,Europe,53,28,0,0,0
2020/02/12,BY,Belarus,Europe,53,28,0,0,0
2020/02/13,BY,Belarus,Europe,53,28,0,0,0
2020/02/14,BY,Belarus,Europe,53,28,0,0,0
2020/02/15,BY,Belarus,Europe,53,28,0,0,0
2020/02/16,BY,Belarus,Europe,53,28,0,0,0
2020/02/17,BY,Belarus,Europe,53,28,0,0,0
2020/02/18,BY,Belarus,Europe,53,28,0,0,0
2020/02/19,BY,Belarus,Europe,53,28,0,0,0
2020/02/20,BY,Belarus,Europe,53,28,0,0,0
2020/02/21,BY,Belarus,Europe,53,28,0,0,0
2020/02/22,BY,Belarus,Europe,53,28,0,0,0
2020/02/23,BY,Belarus,Europe,53,28,0,0,0
2020/02/24,BY,Belarus,Europe,53,28,0,0,0
2020/02/25,BY,Belarus,Europe,53,28,0,0,0
2020/02/26,BY,Belarus,Europe,53,28,0,0,0
2020/02/27,BY,Belarus,Europe,53,28,0,0,0
2020/02/28,BY,Belarus,Europe,53,28,1,0,0
2020/02/29,BY,Belarus,Europe,53,28,1,0,0
2020/03/01,BY,Belarus,Europe,53,28,1,0,0
2020/03/02,BY,Belarus,Europe,53,28,1,0,0
2020/03/03,BY,Belarus,Europe,53,28,1,0,0
2020/03/04,BY,Belarus,Europe,53,28,6,0,0
2020/03/05,BY,Belarus,Europe,53,28,6,0,0
2020/03/06,BY,Belarus,Europe,53,28,6,0,0
2020/03/07,BY,Belarus,Europe,53,28,6,0,0
2020/03/08,BY,Belarus,Europe,53,28,6,0,0
2020/03/09,BY,Belarus,Europe,53,28,6,0,1
2020/03/10,BY,Belarus,Europe,53,28,9,0,3
2020/03/11,BY,Belarus,Europe,53,28,9,0,3
2020/03/12,BY,Belarus,Europe,53,28,12,0,3
2020/03/13,BY,Belarus,Europe,53,28,27,0,3
2020/03/14,BY,Belarus,Europe,53,28,27,0,3
2020/03/15,BY,Belarus,Europe,53,28,27,0,3
2020/03/16,BY,Belarus,Europe,53,28,36,0,3
2020/03/17,BY,Belarus,Europe,53,28,36,0,3
2020/03/18,BY,Belarus,Europe,53,28,51,0,5
2020/03/19,BY,Belarus,Europe,53,28,51,0,5
2020/03/20,BY,Belarus,Europe,53,28,69,0,5
2020/03/21,BY,Belarus,Europe,53,28,76,0,15
2020/03/22,BY,Belarus,Europe,53,28,76,0,15
2020/03/23,BY,Belarus,Europe,53,28,81,0,22
