day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/23,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/24,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/25,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/26,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/27,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/28,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/29,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/30,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/01/31,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/01,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/02,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/03,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/04,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/05,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/06,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/07,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/08,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/09,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/10,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/11,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/12,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/13,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/14,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/15,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/16,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/17,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/18,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/19,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/20,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/21,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/22,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/23,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/24,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/25,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/26,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/27,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/28,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/02/29,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/01,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/02,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/03,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/04,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/05,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/06,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/07,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/08,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/09,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/10,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/11,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/12,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/13,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/14,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/15,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/16,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/17,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/18,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/19,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/20,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/21,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/22,BZ,Belize,Americas,17.25,-88.75,0,0,0
2020/03/23,BZ,Belize,Americas,17.25,-88.75,1,0,0
