day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,CA,Canada,60,-95,0,0,0
2020/01/23,CA,Canada,60,-95,0,0,0
2020/01/24,CA,Canada,60,-95,0,0,0
2020/01/25,CA,Canada,60,-95,0,0,0
2020/01/26,CA,Canada,60,-95,1,0,0
2020/01/27,CA,Canada,60,-95,1,0,0
2020/01/28,CA,Canada,60,-95,2,0,0
2020/01/29,CA,Canada,60,-95,2,0,0
2020/01/30,CA,Canada,60,-95,2,0,0
2020/01/31,CA,Canada,60,-95,4,0,0
2020/02/01,CA,Canada,60,-95,4,0,0
2020/02/02,CA,Canada,60,-95,4,0,0
2020/02/03,CA,Canada,60,-95,4,0,0
2020/02/04,CA,Canada,60,-95,4,0,0
2020/02/05,CA,Canada,60,-95,5,0,0
2020/02/06,CA,Canada,60,-95,5,0,0
2020/02/07,CA,Canada,60,-95,7,0,0
2020/02/08,CA,Canada,60,-95,7,0,0
2020/02/09,CA,Canada,60,-95,7,0,0
2020/02/10,CA,Canada,60,-95,7,0,0
2020/02/11,CA,Canada,60,-95,7,0,0
2020/02/12,CA,Canada,60,-95,7,0,1
2020/02/13,CA,Canada,60,-95,7,0,1
2020/02/14,CA,Canada,60,-95,7,0,1
2020/02/15,CA,Canada,60,-95,7,0,1
2020/02/16,CA,Canada,60,-95,7,0,1
2020/02/17,CA,Canada,60,-95,8,0,1
2020/02/18,CA,Canada,60,-95,8,0,1
2020/02/19,CA,Canada,60,-95,8,0,1
2020/02/20,CA,Canada,60,-95,8,0,1
2020/02/21,CA,Canada,60,-95,9,0,3
2020/02/22,CA,Canada,60,-95,9,0,3
2020/02/23,CA,Canada,60,-95,9,0,3
2020/02/24,CA,Canada,60,-95,10,0,3
2020/02/25,CA,Canada,60,-95,11,0,3
2020/02/26,CA,Canada,60,-95,11,0,3
2020/02/27,CA,Canada,60,-95,13,0,6
2020/02/28,CA,Canada,60,-95,14,0,6
2020/02/29,CA,Canada,60,-95,20,0,6
2020/03/01,CA,Canada,60,-95,24,0,6
2020/03/02,CA,Canada,60,-95,27,0,6
2020/03/03,CA,Canada,60,-95,30,0,6
2020/03/04,CA,Canada,60,-95,33,0,6
2020/03/05,CA,Canada,60,-95,37,0,6
2020/03/06,CA,Canada,60,-95,49,0,6
2020/03/07,CA,Canada,60,-95,54,0,8
2020/03/08,CA,Canada,60,-95,64,0,8
2020/03/09,CA,Canada,60,-95,77,1,8
2020/03/10,CA,Canada,60,-95,79,1,8
2020/03/11,CA,Canada,60,-95,108,1,8
2020/03/12,CA,Canada,60,-95,117,1,8
2020/03/13,CA,Canada,60,-95,193,1,8
2020/03/14,CA,Canada,60,-95,198,1,8
2020/03/15,CA,Canada,60,-95,252,1,8
2020/03/16,CA,Canada,60,-95,415,4,9
2020/03/17,CA,Canada,60,-95,478,5,9
2020/03/18,CA,Canada,60,-95,657,8,9
2020/03/19,CA,Canada,60,-95,800,9,9
2020/03/20,CA,Canada,60,-95,943,12,9
2020/03/21,CA,Canada,60,-95,1278,19,10
2020/03/22,CA,Canada,60,-95,1465,20,10
2020/03/23,CA,Canada,60,-95,2091,24,320
