day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,CD,DR Congo,0,25,0,0,0
2020/01/23,CD,DR Congo,0,25,0,0,0
2020/01/24,CD,DR Congo,0,25,0,0,0
2020/01/25,CD,DR Congo,0,25,0,0,0
2020/01/26,CD,DR Congo,0,25,0,0,0
2020/01/27,CD,DR Congo,0,25,0,0,0
2020/01/28,CD,DR Congo,0,25,0,0,0
2020/01/29,CD,DR Congo,0,25,0,0,0
2020/01/30,CD,DR Congo,0,25,0,0,0
2020/01/31,CD,DR Congo,0,25,0,0,0
2020/02/01,CD,DR Congo,0,25,0,0,0
2020/02/02,CD,DR Congo,0,25,0,0,0
2020/02/03,CD,DR Congo,0,25,0,0,0
2020/02/04,CD,DR Congo,0,25,0,0,0
2020/02/05,CD,DR Congo,0,25,0,0,0
2020/02/06,CD,DR Congo,0,25,0,0,0
2020/02/07,CD,DR Congo,0,25,0,0,0
2020/02/08,CD,DR Congo,0,25,0,0,0
2020/02/09,CD,DR Congo,0,25,0,0,0
2020/02/10,CD,DR Congo,0,25,0,0,0
2020/02/11,CD,DR Congo,0,25,0,0,0
2020/02/12,CD,DR Congo,0,25,0,0,0
2020/02/13,CD,DR Congo,0,25,0,0,0
2020/02/14,CD,DR Congo,0,25,0,0,0
2020/02/15,CD,DR Congo,0,25,0,0,0
2020/02/16,CD,DR Congo,0,25,0,0,0
2020/02/17,CD,DR Congo,0,25,0,0,0
2020/02/18,CD,DR Congo,0,25,0,0,0
2020/02/19,CD,DR Congo,0,25,0,0,0
2020/02/20,CD,DR Congo,0,25,0,0,0
2020/02/21,CD,DR Congo,0,25,0,0,0
2020/02/22,CD,DR Congo,0,25,0,0,0
2020/02/23,CD,DR Congo,0,25,0,0,0
2020/02/24,CD,DR Congo,0,25,0,0,0
2020/02/25,CD,DR Congo,0,25,0,0,0
2020/02/26,CD,DR Congo,0,25,0,0,0
2020/02/27,CD,DR Congo,0,25,0,0,0
2020/02/28,CD,DR Congo,0,25,0,0,0
2020/02/29,CD,DR Congo,0,25,0,0,0
2020/03/01,CD,DR Congo,0,25,0,0,0
2020/03/02,CD,DR Congo,0,25,0,0,0
2020/03/03,CD,DR Congo,0,25,0,0,0
2020/03/04,CD,DR Congo,0,25,0,0,0
2020/03/05,CD,DR Congo,0,25,0,0,0
2020/03/06,CD,DR Congo,0,25,0,0,0
2020/03/07,CD,DR Congo,0,25,0,0,0
2020/03/08,CD,DR Congo,0,25,0,0,0
2020/03/09,CD,DR Congo,0,25,0,0,0
2020/03/10,CD,DR Congo,0,25,0,0,0
2020/03/11,CD,DR Congo,0,25,1,0,0
2020/03/12,CD,DR Congo,0,25,1,0,0
2020/03/13,CD,DR Congo,0,25,2,0,0
2020/03/14,CD,DR Congo,0,25,2,0,0
2020/03/15,CD,DR Congo,0,25,2,0,0
2020/03/16,CD,DR Congo,0,25,2,0,0
2020/03/17,CD,DR Congo,0,25,3,0,0
2020/03/18,CD,DR Congo,0,25,4,0,0
2020/03/19,CD,DR Congo,0,25,14,0,0
2020/03/20,CD,DR Congo,0,25,18,0,0
2020/03/21,CD,DR Congo,0,25,23,1,0
2020/03/22,CD,DR Congo,0,25,30,1,0
2020/03/23,CD,DR Congo,0,25,36,1,0
