day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,CL,Chile,-30,-71,0,0,0
2020/01/23,CL,Chile,-30,-71,0,0,0
2020/01/24,CL,Chile,-30,-71,0,0,0
2020/01/25,CL,Chile,-30,-71,0,0,0
2020/01/26,CL,Chile,-30,-71,0,0,0
2020/01/27,CL,Chile,-30,-71,0,0,0
2020/01/28,CL,Chile,-30,-71,0,0,0
2020/01/29,CL,Chile,-30,-71,0,0,0
2020/01/30,CL,Chile,-30,-71,0,0,0
2020/01/31,CL,Chile,-30,-71,0,0,0
2020/02/01,CL,Chile,-30,-71,0,0,0
2020/02/02,CL,Chile,-30,-71,0,0,0
2020/02/03,CL,Chile,-30,-71,0,0,0
2020/02/04,CL,Chile,-30,-71,0,0,0
2020/02/05,CL,Chile,-30,-71,0,0,0
2020/02/06,CL,Chile,-30,-71,0,0,0
2020/02/07,CL,Chile,-30,-71,0,0,0
2020/02/08,CL,Chile,-30,-71,0,0,0
2020/02/09,CL,Chile,-30,-71,0,0,0
2020/02/10,CL,Chile,-30,-71,0,0,0
2020/02/11,CL,Chile,-30,-71,0,0,0
2020/02/12,CL,Chile,-30,-71,0,0,0
2020/02/13,CL,Chile,-30,-71,0,0,0
2020/02/14,CL,Chile,-30,-71,0,0,0
2020/02/15,CL,Chile,-30,-71,0,0,0
2020/02/16,CL,Chile,-30,-71,0,0,0
2020/02/17,CL,Chile,-30,-71,0,0,0
2020/02/18,CL,Chile,-30,-71,0,0,0
2020/02/19,CL,Chile,-30,-71,0,0,0
2020/02/20,CL,Chile,-30,-71,0,0,0
2020/02/21,CL,Chile,-30,-71,0,0,0
2020/02/22,CL,Chile,-30,-71,0,0,0
2020/02/23,CL,Chile,-30,-71,0,0,0
2020/02/24,CL,Chile,-30,-71,0,0,0
2020/02/25,CL,Chile,-30,-71,0,0,0
2020/02/26,CL,Chile,-30,-71,0,0,0
2020/02/27,CL,Chile,-30,-71,0,0,0
2020/02/28,CL,Chile,-30,-71,0,0,0
2020/02/29,CL,Chile,-30,-71,0,0,0
2020/03/01,CL,Chile,-30,-71,0,0,0
2020/03/02,CL,Chile,-30,-71,0,0,0
2020/03/03,CL,Chile,-30,-71,1,0,0
2020/03/04,CL,Chile,-30,-71,1,0,0
2020/03/05,CL,Chile,-30,-71,4,0,0
2020/03/06,CL,Chile,-30,-71,4,0,0
2020/03/07,CL,Chile,-30,-71,4,0,0
2020/03/08,CL,Chile,-30,-71,8,0,0
2020/03/09,CL,Chile,-30,-71,8,0,0
2020/03/10,CL,Chile,-30,-71,13,0,0
2020/03/11,CL,Chile,-30,-71,23,0,0
2020/03/12,CL,Chile,-30,-71,23,0,0
2020/03/13,CL,Chile,-30,-71,43,0,0
2020/03/14,CL,Chile,-30,-71,61,0,0
2020/03/15,CL,Chile,-30,-71,74,0,0
2020/03/16,CL,Chile,-30,-71,155,0,0
2020/03/17,CL,Chile,-30,-71,201,0,0
2020/03/18,CL,Chile,-30,-71,238,0,0
2020/03/19,CL,Chile,-30,-71,238,0,0
2020/03/20,CL,Chile,-30,-71,434,0,6
2020/03/21,CL,Chile,-30,-71,537,0,6
2020/03/22,CL,Chile,-30,-71,632,1,8
2020/03/23,CL,Chile,-30,-71,746,2,11
