day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,CM,Cameroon,Africa,6,12,0,0,0
2020/01/23,CM,Cameroon,Africa,6,12,0,0,0
2020/01/24,CM,Cameroon,Africa,6,12,0,0,0
2020/01/25,CM,Cameroon,Africa,6,12,0,0,0
2020/01/26,CM,Cameroon,Africa,6,12,0,0,0
2020/01/27,CM,Cameroon,Africa,6,12,0,0,0
2020/01/28,CM,Cameroon,Africa,6,12,0,0,0
2020/01/29,CM,Cameroon,Africa,6,12,0,0,0
2020/01/30,CM,Cameroon,Africa,6,12,0,0,0
2020/01/31,CM,Cameroon,Africa,6,12,0,0,0
2020/02/01,CM,Cameroon,Africa,6,12,0,0,0
2020/02/02,CM,Cameroon,Africa,6,12,0,0,0
2020/02/03,CM,Cameroon,Africa,6,12,0,0,0
2020/02/04,CM,Cameroon,Africa,6,12,0,0,0
2020/02/05,CM,Cameroon,Africa,6,12,0,0,0
2020/02/06,CM,Cameroon,Africa,6,12,0,0,0
2020/02/07,CM,Cameroon,Africa,6,12,0,0,0
2020/02/08,CM,Cameroon,Africa,6,12,0,0,0
2020/02/09,CM,Cameroon,Africa,6,12,0,0,0
2020/02/10,CM,Cameroon,Africa,6,12,0,0,0
2020/02/11,CM,Cameroon,Africa,6,12,0,0,0
2020/02/12,CM,Cameroon,Africa,6,12,0,0,0
2020/02/13,CM,Cameroon,Africa,6,12,0,0,0
2020/02/14,CM,Cameroon,Africa,6,12,0,0,0
2020/02/15,CM,Cameroon,Africa,6,12,0,0,0
2020/02/16,CM,Cameroon,Africa,6,12,0,0,0
2020/02/17,CM,Cameroon,Africa,6,12,0,0,0
2020/02/18,CM,Cameroon,Africa,6,12,0,0,0
2020/02/19,CM,Cameroon,Africa,6,12,0,0,0
2020/02/20,CM,Cameroon,Africa,6,12,0,0,0
2020/02/21,CM,Cameroon,Africa,6,12,0,0,0
2020/02/22,CM,Cameroon,Africa,6,12,0,0,0
2020/02/23,CM,Cameroon,Africa,6,12,0,0,0
2020/02/24,CM,Cameroon,Africa,6,12,0,0,0
2020/02/25,CM,Cameroon,Africa,6,12,0,0,0
2020/02/26,CM,Cameroon,Africa,6,12,0,0,0
2020/02/27,CM,Cameroon,Africa,6,12,0,0,0
2020/02/28,CM,Cameroon,Africa,6,12,0,0,0
2020/02/29,CM,Cameroon,Africa,6,12,0,0,0
2020/03/01,CM,Cameroon,Africa,6,12,0,0,0
2020/03/02,CM,Cameroon,Africa,6,12,0,0,0
2020/03/03,CM,Cameroon,Africa,6,12,0,0,0
2020/03/04,CM,Cameroon,Africa,6,12,0,0,0
2020/03/05,CM,Cameroon,Africa,6,12,0,0,0
2020/03/06,CM,Cameroon,Africa,6,12,1,0,0
2020/03/07,CM,Cameroon,Africa,6,12,1,0,0
2020/03/08,CM,Cameroon,Africa,6,12,2,0,0
2020/03/09,CM,Cameroon,Africa,6,12,2,0,0
2020/03/10,CM,Cameroon,Africa,6,12,2,0,0
2020/03/11,CM,Cameroon,Africa,6,12,2,0,0
2020/03/12,CM,Cameroon,Africa,6,12,2,0,0
2020/03/13,CM,Cameroon,Africa,6,12,2,0,0
2020/03/14,CM,Cameroon,Africa,6,12,2,0,0
2020/03/15,CM,Cameroon,Africa,6,12,2,0,0
2020/03/16,CM,Cameroon,Africa,6,12,4,0,0
2020/03/17,CM,Cameroon,Africa,6,12,10,0,0
2020/03/18,CM,Cameroon,Africa,6,12,10,0,0
2020/03/19,CM,Cameroon,Africa,6,12,13,0,0
2020/03/20,CM,Cameroon,Africa,6,12,20,0,0
2020/03/21,CM,Cameroon,Africa,6,12,27,0,0
2020/03/22,CM,Cameroon,Africa,6,12,40,0,0
2020/03/23,CM,Cameroon,Africa,6,12,56,2,0
