day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,CN,China,35,105,547,17,28
2020/01/23,CN,China,35,105,639,18,30
2020/01/24,CN,China,35,105,916,26,36
2020/01/25,CN,China,35,105,1399,42,39
2020/01/26,CN,China,35,105,2062,56,49
2020/01/27,CN,China,35,105,2863,82,58
2020/01/28,CN,China,35,105,5494,131,101
2020/01/29,CN,China,35,105,6070,133,120
2020/01/30,CN,China,35,105,8124,171,135
2020/01/31,CN,China,35,105,9783,213,214
2020/02/01,CN,China,35,105,11871,259,275
2020/02/02,CN,China,35,105,16607,361,463
2020/02/03,CN,China,35,105,19693,425,614
2020/02/04,CN,China,35,105,23680,490,843
2020/02/05,CN,China,35,105,27409,562,1115
2020/02/06,CN,China,35,105,30553,632,1476
2020/02/07,CN,China,35,105,34075,717,1998
2020/02/08,CN,China,35,105,36778,804,2595
2020/02/09,CN,China,35,105,39790,904,3218
2020/02/10,CN,China,35,105,42306,1011,3917
2020/02/11,CN,China,35,105,44327,1111,4635
2020/02/12,CN,China,35,105,44699,1116,5079
2020/02/13,CN,China,35,105,59832,1368,6213
2020/02/14,CN,China,35,105,66292,1520,7973
2020/02/15,CN,China,35,105,68347,1662,9294
2020/02/16,CN,China,35,105,70446,1765,10748
2020/02/17,CN,China,35,105,72364,1863,12455
2020/02/18,CN,China,35,105,74139,2002,14199
2020/02/19,CN,China,35,105,74546,2114,15952
2020/02/20,CN,China,35,105,74999,2236,18002
2020/02/21,CN,China,35,105,75472,2236,18693
2020/02/22,CN,China,35,105,76922,2441,22687
2020/02/23,CN,China,35,105,76938,2443,23170
2020/02/24,CN,China,35,105,77152,2593,24990
2020/02/25,CN,China,35,105,77660,2663,27650
2020/02/26,CN,China,35,105,78065,2715,30053
2020/02/27,CN,China,35,105,78498,2744,32898
2020/02/28,CN,China,35,105,78824,2788,36291
2020/02/29,CN,China,35,105,79251,2835,39279
2020/03/01,CN,China,35,105,79826,2870,42118
2020/03/02,CN,China,35,105,80026,2912,44810
2020/03/03,CN,China,35,105,80151,2945,47404
2020/03/04,CN,China,35,105,80271,2981,49955
2020/03/05,CN,China,35,105,80422,3013,52240
2020/03/06,CN,China,35,105,80573,3042,53888
2020/03/07,CN,China,35,105,80652,3070,55478
2020/03/08,CN,China,35,105,80699,3097,57320
2020/03/09,CN,China,35,105,80735,3120,58735
2020/03/10,CN,China,35,105,80757,3136,60106
2020/03/11,CN,China,35,105,80785,3158,61569
2020/03/12,CN,China,35,105,80793,3169,62824
2020/03/13,CN,China,35,105,80801,3176,64109
2020/03/14,CN,China,35,105,80827,3189,65572
2020/03/15,CN,China,35,105,80848,3199,66926
2020/03/16,CN,China,35,105,80867,3213,67816
2020/03/17,CN,China,35,105,80884,3226,68700
2020/03/18,CN,China,35,105,80906,3237,69653
2020/03/19,CN,China,35,105,80931,3245,70430
2020/03/20,CN,China,35,105,80977,3249,71158
2020/03/21,CN,China,35,105,81014,3255,71749
2020/03/22,CN,China,35,105,81060,3261,72252
2020/03/23,CN,China,35,105,81093,3270,72703
