day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,DE,Germany,Europe,51,9,0,0,0
2020/01/23,DE,Germany,Europe,51,9,0,0,0
2020/01/24,DE,Germany,Europe,51,9,0,0,0
2020/01/25,DE,Germany,Europe,51,9,0,0,0
2020/01/26,DE,Germany,Europe,51,9,0,0,0
2020/01/27,DE,Germany,Europe,51,9,1,0,0
2020/01/28,DE,Germany,Europe,51,9,4,0,0
2020/01/29,DE,Germany,Europe,51,9,4,0,0
2020/01/30,DE,Germany,Europe,51,9,4,0,0
2020/01/31,DE,Germany,Europe,51,9,5,0,0
2020/02/01,DE,Germany,Europe,51,9,8,0,0
2020/02/02,DE,Germany,Europe,51,9,10,0,0
2020/02/03,DE,Germany,Europe,51,9,12,0,0
2020/02/04,DE,Germany,Europe,51,9,12,0,0
2020/02/05,DE,Germany,Europe,51,9,12,0,0
2020/02/06,DE,Germany,Europe,51,9,12,0,0
2020/02/07,DE,Germany,Europe,51,9,13,0,0
2020/02/08,DE,Germany,Europe,51,9,13,0,0
2020/02/09,DE,Germany,Europe,51,9,14,0,0
2020/02/10,DE,Germany,Europe,51,9,14,0,0
2020/02/11,DE,Germany,Europe,51,9,16,0,0
2020/02/12,DE,Germany,Europe,51,9,16,0,0
2020/02/13,DE,Germany,Europe,51,9,16,0,1
2020/02/14,DE,Germany,Europe,51,9,16,0,1
2020/02/15,DE,Germany,Europe,51,9,16,0,1
2020/02/16,DE,Germany,Europe,51,9,16,0,1
2020/02/17,DE,Germany,Europe,51,9,16,0,1
2020/02/18,DE,Germany,Europe,51,9,16,0,12
2020/02/19,DE,Germany,Europe,51,9,16,0,12
2020/02/20,DE,Germany,Europe,51,9,16,0,12
2020/02/21,DE,Germany,Europe,51,9,16,0,14
2020/02/22,DE,Germany,Europe,51,9,16,0,14
2020/02/23,DE,Germany,Europe,51,9,16,0,14
2020/02/24,DE,Germany,Europe,51,9,16,0,14
2020/02/25,DE,Germany,Europe,51,9,17,0,14
2020/02/26,DE,Germany,Europe,51,9,27,0,15
2020/02/27,DE,Germany,Europe,51,9,46,0,16
2020/02/28,DE,Germany,Europe,51,9,48,0,16
2020/02/29,DE,Germany,Europe,51,9,79,0,16
2020/03/01,DE,Germany,Europe,51,9,130,0,16
2020/03/02,DE,Germany,Europe,51,9,159,0,16
2020/03/03,DE,Germany,Europe,51,9,196,0,16
2020/03/04,DE,Germany,Europe,51,9,262,0,16
2020/03/05,DE,Germany,Europe,51,9,482,0,16
2020/03/06,DE,Germany,Europe,51,9,670,0,17
2020/03/07,DE,Germany,Europe,51,9,799,0,18
2020/03/08,DE,Germany,Europe,51,9,1040,0,18
2020/03/09,DE,Germany,Europe,51,9,1176,2,18
2020/03/10,DE,Germany,Europe,51,9,1457,2,18
2020/03/11,DE,Germany,Europe,51,9,1908,3,25
2020/03/12,DE,Germany,Europe,51,9,2078,3,25
2020/03/13,DE,Germany,Europe,51,9,3675,7,46
2020/03/14,DE,Germany,Europe,51,9,4585,9,46
2020/03/15,DE,Germany,Europe,51,9,5795,11,46
2020/03/16,DE,Germany,Europe,51,9,7272,17,67
2020/03/17,DE,Germany,Europe,51,9,9257,24,67
2020/03/18,DE,Germany,Europe,51,9,12327,28,105
2020/03/19,DE,Germany,Europe,51,9,15320,44,113
2020/03/20,DE,Germany,Europe,51,9,19848,67,180
2020/03/21,DE,Germany,Europe,51,9,22213,84,233
2020/03/22,DE,Germany,Europe,51,9,24873,94,266
2020/03/23,DE,Germany,Europe,51,9,29056,123,453
