day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,EG,Egypt,27,30,0,0,0
2020/01/23,EG,Egypt,27,30,0,0,0
2020/01/24,EG,Egypt,27,30,0,0,0
2020/01/25,EG,Egypt,27,30,0,0,0
2020/01/26,EG,Egypt,27,30,0,0,0
2020/01/27,EG,Egypt,27,30,0,0,0
2020/01/28,EG,Egypt,27,30,0,0,0
2020/01/29,EG,Egypt,27,30,0,0,0
2020/01/30,EG,Egypt,27,30,0,0,0
2020/01/31,EG,Egypt,27,30,0,0,0
2020/02/01,EG,Egypt,27,30,0,0,0
2020/02/02,EG,Egypt,27,30,0,0,0
2020/02/03,EG,Egypt,27,30,0,0,0
2020/02/04,EG,Egypt,27,30,0,0,0
2020/02/05,EG,Egypt,27,30,0,0,0
2020/02/06,EG,Egypt,27,30,0,0,0
2020/02/07,EG,Egypt,27,30,0,0,0
2020/02/08,EG,Egypt,27,30,0,0,0
2020/02/09,EG,Egypt,27,30,0,0,0
2020/02/10,EG,Egypt,27,30,0,0,0
2020/02/11,EG,Egypt,27,30,0,0,0
2020/02/12,EG,Egypt,27,30,0,0,0
2020/02/13,EG,Egypt,27,30,0,0,0
2020/02/14,EG,Egypt,27,30,1,0,0
2020/02/15,EG,Egypt,27,30,1,0,0
2020/02/16,EG,Egypt,27,30,1,0,0
2020/02/17,EG,Egypt,27,30,1,0,0
2020/02/18,EG,Egypt,27,30,1,0,0
2020/02/19,EG,Egypt,27,30,1,0,0
2020/02/20,EG,Egypt,27,30,1,0,0
2020/02/21,EG,Egypt,27,30,1,0,0
2020/02/22,EG,Egypt,27,30,1,0,0
2020/02/23,EG,Egypt,27,30,1,0,0
2020/02/24,EG,Egypt,27,30,1,0,0
2020/02/25,EG,Egypt,27,30,1,0,0
2020/02/26,EG,Egypt,27,30,1,0,0
2020/02/27,EG,Egypt,27,30,1,0,0
2020/02/28,EG,Egypt,27,30,1,0,1
2020/02/29,EG,Egypt,27,30,1,0,1
2020/03/01,EG,Egypt,27,30,2,0,1
2020/03/02,EG,Egypt,27,30,2,0,1
2020/03/03,EG,Egypt,27,30,2,0,1
2020/03/04,EG,Egypt,27,30,2,0,1
2020/03/05,EG,Egypt,27,30,3,0,1
2020/03/06,EG,Egypt,27,30,15,0,1
2020/03/07,EG,Egypt,27,30,15,0,1
2020/03/08,EG,Egypt,27,30,49,1,1
2020/03/09,EG,Egypt,27,30,55,1,1
2020/03/10,EG,Egypt,27,30,59,1,1
2020/03/11,EG,Egypt,27,30,60,1,27
2020/03/12,EG,Egypt,27,30,67,1,27
2020/03/13,EG,Egypt,27,30,80,2,27
2020/03/14,EG,Egypt,27,30,109,2,27
2020/03/15,EG,Egypt,27,30,110,2,27
2020/03/16,EG,Egypt,27,30,150,2,27
2020/03/17,EG,Egypt,27,30,196,4,32
2020/03/18,EG,Egypt,27,30,196,6,32
2020/03/19,EG,Egypt,27,30,256,6,32
2020/03/20,EG,Egypt,27,30,285,8,39
2020/03/21,EG,Egypt,27,30,294,10,41
2020/03/22,EG,Egypt,27,30,327,14,56
2020/03/23,EG,Egypt,27,30,366,19,68
