day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,ES,Spain,Europe,40,-4,0,0,0
2020/01/23,ES,Spain,Europe,40,-4,0,0,0
2020/01/24,ES,Spain,Europe,40,-4,0,0,0
2020/01/25,ES,Spain,Europe,40,-4,0,0,0
2020/01/26,ES,Spain,Europe,40,-4,0,0,0
2020/01/27,ES,Spain,Europe,40,-4,0,0,0
2020/01/28,ES,Spain,Europe,40,-4,0,0,0
2020/01/29,ES,Spain,Europe,40,-4,0,0,0
2020/01/30,ES,Spain,Europe,40,-4,0,0,0
2020/01/31,ES,Spain,Europe,40,-4,0,0,0
2020/02/01,ES,Spain,Europe,40,-4,1,0,0
2020/02/02,ES,Spain,Europe,40,-4,1,0,0
2020/02/03,ES,Spain,Europe,40,-4,1,0,0
2020/02/04,ES,Spain,Europe,40,-4,1,0,0
2020/02/05,ES,Spain,Europe,40,-4,1,0,0
2020/02/06,ES,Spain,Europe,40,-4,1,0,0
2020/02/07,ES,Spain,Europe,40,-4,1,0,0
2020/02/08,ES,Spain,Europe,40,-4,1,0,0
2020/02/09,ES,Spain,Europe,40,-4,2,0,0
2020/02/10,ES,Spain,Europe,40,-4,2,0,0
2020/02/11,ES,Spain,Europe,40,-4,2,0,0
2020/02/12,ES,Spain,Europe,40,-4,2,0,0
2020/02/13,ES,Spain,Europe,40,-4,2,0,0
2020/02/14,ES,Spain,Europe,40,-4,2,0,0
2020/02/15,ES,Spain,Europe,40,-4,2,0,2
2020/02/16,ES,Spain,Europe,40,-4,2,0,2
2020/02/17,ES,Spain,Europe,40,-4,2,0,2
2020/02/18,ES,Spain,Europe,40,-4,2,0,2
2020/02/19,ES,Spain,Europe,40,-4,2,0,2
2020/02/20,ES,Spain,Europe,40,-4,2,0,2
2020/02/21,ES,Spain,Europe,40,-4,2,0,2
2020/02/22,ES,Spain,Europe,40,-4,2,0,2
2020/02/23,ES,Spain,Europe,40,-4,2,0,2
2020/02/24,ES,Spain,Europe,40,-4,2,0,2
2020/02/25,ES,Spain,Europe,40,-4,6,0,2
2020/02/26,ES,Spain,Europe,40,-4,13,0,2
2020/02/27,ES,Spain,Europe,40,-4,15,0,2
2020/02/28,ES,Spain,Europe,40,-4,32,0,2
2020/02/29,ES,Spain,Europe,40,-4,45,0,2
2020/03/01,ES,Spain,Europe,40,-4,84,0,2
2020/03/02,ES,Spain,Europe,40,-4,120,0,2
2020/03/03,ES,Spain,Europe,40,-4,165,1,2
2020/03/04,ES,Spain,Europe,40,-4,222,2,2
2020/03/05,ES,Spain,Europe,40,-4,259,3,2
2020/03/06,ES,Spain,Europe,40,-4,400,5,2
2020/03/07,ES,Spain,Europe,40,-4,500,10,30
2020/03/08,ES,Spain,Europe,40,-4,673,17,30
2020/03/09,ES,Spain,Europe,40,-4,1073,28,32
2020/03/10,ES,Spain,Europe,40,-4,1695,35,32
2020/03/11,ES,Spain,Europe,40,-4,2277,54,183
2020/03/12,ES,Spain,Europe,40,-4,2277,55,183
2020/03/13,ES,Spain,Europe,40,-4,5232,133,193
2020/03/14,ES,Spain,Europe,40,-4,6391,195,517
2020/03/15,ES,Spain,Europe,40,-4,7798,289,517
2020/03/16,ES,Spain,Europe,40,-4,9942,342,530
2020/03/17,ES,Spain,Europe,40,-4,11748,533,1028
2020/03/18,ES,Spain,Europe,40,-4,13910,623,1081
2020/03/19,ES,Spain,Europe,40,-4,17963,830,1107
2020/03/20,ES,Spain,Europe,40,-4,20410,1043,1588
2020/03/21,ES,Spain,Europe,40,-4,25374,1375,2125
2020/03/22,ES,Spain,Europe,40,-4,28768,1772,2575
2020/03/23,ES,Spain,Europe,40,-4,35136,2311,3355
