day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,ET,Ethiopia,8,38,0,0,0
2020/01/23,ET,Ethiopia,8,38,0,0,0
2020/01/24,ET,Ethiopia,8,38,0,0,0
2020/01/25,ET,Ethiopia,8,38,0,0,0
2020/01/26,ET,Ethiopia,8,38,0,0,0
2020/01/27,ET,Ethiopia,8,38,0,0,0
2020/01/28,ET,Ethiopia,8,38,0,0,0
2020/01/29,ET,Ethiopia,8,38,0,0,0
2020/01/30,ET,Ethiopia,8,38,0,0,0
2020/01/31,ET,Ethiopia,8,38,0,0,0
2020/02/01,ET,Ethiopia,8,38,0,0,0
2020/02/02,ET,Ethiopia,8,38,0,0,0
2020/02/03,ET,Ethiopia,8,38,0,0,0
2020/02/04,ET,Ethiopia,8,38,0,0,0
2020/02/05,ET,Ethiopia,8,38,0,0,0
2020/02/06,ET,Ethiopia,8,38,0,0,0
2020/02/07,ET,Ethiopia,8,38,0,0,0
2020/02/08,ET,Ethiopia,8,38,0,0,0
2020/02/09,ET,Ethiopia,8,38,0,0,0
2020/02/10,ET,Ethiopia,8,38,0,0,0
2020/02/11,ET,Ethiopia,8,38,0,0,0
2020/02/12,ET,Ethiopia,8,38,0,0,0
2020/02/13,ET,Ethiopia,8,38,0,0,0
2020/02/14,ET,Ethiopia,8,38,0,0,0
2020/02/15,ET,Ethiopia,8,38,0,0,0
2020/02/16,ET,Ethiopia,8,38,0,0,0
2020/02/17,ET,Ethiopia,8,38,0,0,0
2020/02/18,ET,Ethiopia,8,38,0,0,0
2020/02/19,ET,Ethiopia,8,38,0,0,0
2020/02/20,ET,Ethiopia,8,38,0,0,0
2020/02/21,ET,Ethiopia,8,38,0,0,0
2020/02/22,ET,Ethiopia,8,38,0,0,0
2020/02/23,ET,Ethiopia,8,38,0,0,0
2020/02/24,ET,Ethiopia,8,38,0,0,0
2020/02/25,ET,Ethiopia,8,38,0,0,0
2020/02/26,ET,Ethiopia,8,38,0,0,0
2020/02/27,ET,Ethiopia,8,38,0,0,0
2020/02/28,ET,Ethiopia,8,38,0,0,0
2020/02/29,ET,Ethiopia,8,38,0,0,0
2020/03/01,ET,Ethiopia,8,38,0,0,0
2020/03/02,ET,Ethiopia,8,38,0,0,0
2020/03/03,ET,Ethiopia,8,38,0,0,0
2020/03/04,ET,Ethiopia,8,38,0,0,0
2020/03/05,ET,Ethiopia,8,38,0,0,0
2020/03/06,ET,Ethiopia,8,38,0,0,0
2020/03/07,ET,Ethiopia,8,38,0,0,0
2020/03/08,ET,Ethiopia,8,38,0,0,0
2020/03/09,ET,Ethiopia,8,38,0,0,0
2020/03/10,ET,Ethiopia,8,38,0,0,0
2020/03/11,ET,Ethiopia,8,38,0,0,0
2020/03/12,ET,Ethiopia,8,38,0,0,0
2020/03/13,ET,Ethiopia,8,38,1,0,0
2020/03/14,ET,Ethiopia,8,38,1,0,0
2020/03/15,ET,Ethiopia,8,38,1,0,0
2020/03/16,ET,Ethiopia,8,38,5,0,0
2020/03/17,ET,Ethiopia,8,38,5,0,0
2020/03/18,ET,Ethiopia,8,38,6,0,0
2020/03/19,ET,Ethiopia,8,38,6,0,0
2020/03/20,ET,Ethiopia,8,38,9,0,0
2020/03/21,ET,Ethiopia,8,38,9,0,0
2020/03/22,ET,Ethiopia,8,38,11,0,0
2020/03/23,ET,Ethiopia,8,38,11,0,0
