day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,FR,France,Europe,46,2,0,0,0
2020/01/23,FR,France,Europe,46,2,0,0,0
2020/01/24,FR,France,Europe,46,2,2,0,0
2020/01/25,FR,France,Europe,46,2,3,0,0
2020/01/26,FR,France,Europe,46,2,3,0,0
2020/01/27,FR,France,Europe,46,2,3,0,0
2020/01/28,FR,France,Europe,46,2,4,0,0
2020/01/29,FR,France,Europe,46,2,5,0,0
2020/01/30,FR,France,Europe,46,2,5,0,0
2020/01/31,FR,France,Europe,46,2,5,0,0
2020/02/01,FR,France,Europe,46,2,6,0,0
2020/02/02,FR,France,Europe,46,2,6,0,0
2020/02/03,FR,France,Europe,46,2,6,0,0
2020/02/04,FR,France,Europe,46,2,6,0,0
2020/02/05,FR,France,Europe,46,2,6,0,0
2020/02/06,FR,France,Europe,46,2,6,0,0
2020/02/07,FR,France,Europe,46,2,6,0,0
2020/02/08,FR,France,Europe,46,2,11,0,0
2020/02/09,FR,France,Europe,46,2,11,0,0
2020/02/10,FR,France,Europe,46,2,11,0,0
2020/02/11,FR,France,Europe,46,2,11,0,0
2020/02/12,FR,France,Europe,46,2,11,0,2
2020/02/13,FR,France,Europe,46,2,11,0,2
2020/02/14,FR,France,Europe,46,2,11,0,2
2020/02/15,FR,France,Europe,46,2,12,1,4
2020/02/16,FR,France,Europe,46,2,12,1,4
2020/02/17,FR,France,Europe,46,2,12,1,4
2020/02/18,FR,France,Europe,46,2,12,1,4
2020/02/19,FR,France,Europe,46,2,12,1,4
2020/02/20,FR,France,Europe,46,2,12,1,4
2020/02/21,FR,France,Europe,46,2,12,1,4
2020/02/22,FR,France,Europe,46,2,12,1,4
2020/02/23,FR,France,Europe,46,2,12,1,4
2020/02/24,FR,France,Europe,46,2,12,1,4
2020/02/25,FR,France,Europe,46,2,14,1,11
2020/02/26,FR,France,Europe,46,2,18,2,11
2020/02/27,FR,France,Europe,46,2,38,2,11
2020/02/28,FR,France,Europe,46,2,57,2,11
2020/02/29,FR,France,Europe,46,2,100,2,12
2020/03/01,FR,France,Europe,46,2,130,2,12
2020/03/02,FR,France,Europe,46,2,191,3,12
2020/03/03,FR,France,Europe,46,2,204,4,12
2020/03/04,FR,France,Europe,46,2,285,4,12
2020/03/05,FR,France,Europe,46,2,377,6,12
2020/03/06,FR,France,Europe,46,2,653,9,12
2020/03/07,FR,France,Europe,46,2,949,11,12
2020/03/08,FR,France,Europe,46,2,1126,19,12
2020/03/09,FR,France,Europe,46,2,1209,19,12
2020/03/10,FR,France,Europe,46,2,1784,33,12
2020/03/11,FR,France,Europe,46,2,2281,48,12
2020/03/12,FR,France,Europe,46,2,2281,48,12
2020/03/13,FR,France,Europe,46,2,3661,79,12
2020/03/14,FR,France,Europe,46,2,4469,91,12
2020/03/15,FR,France,Europe,46,2,4499,91,12
2020/03/16,FR,France,Europe,46,2,6633,148,12
2020/03/17,FR,France,Europe,46,2,7652,148,12
2020/03/18,FR,France,Europe,46,2,9043,148,12
2020/03/19,FR,France,Europe,46,2,10871,243,12
2020/03/20,FR,France,Europe,46,2,12612,450,12
2020/03/21,FR,France,Europe,46,2,14282,562,12
2020/03/22,FR,France,Europe,46,2,16018,674,2200
2020/03/23,FR,France,Europe,46,2,19856,860,2200
