day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/23,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/24,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/25,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/26,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/27,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/28,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/29,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/30,GB,United Kingdom,Europe,54,-2,0,0,0
2020/01/31,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/01,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/02,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/03,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/04,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/05,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/06,GB,United Kingdom,Europe,54,-2,2,0,0
2020/02/07,GB,United Kingdom,Europe,54,-2,3,0,0
2020/02/08,GB,United Kingdom,Europe,54,-2,3,0,0
2020/02/09,GB,United Kingdom,Europe,54,-2,3,0,0
2020/02/10,GB,United Kingdom,Europe,54,-2,8,0,0
2020/02/11,GB,United Kingdom,Europe,54,-2,8,0,0
2020/02/12,GB,United Kingdom,Europe,54,-2,9,0,1
2020/02/13,GB,United Kingdom,Europe,54,-2,9,0,1
2020/02/14,GB,United Kingdom,Europe,54,-2,9,0,1
2020/02/15,GB,United Kingdom,Europe,54,-2,9,0,1
2020/02/16,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/17,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/18,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/19,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/20,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/21,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/22,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/23,GB,United Kingdom,Europe,54,-2,9,0,8
2020/02/24,GB,United Kingdom,Europe,54,-2,13,0,8
2020/02/25,GB,United Kingdom,Europe,54,-2,13,0,8
2020/02/26,GB,United Kingdom,Europe,54,-2,13,0,8
2020/02/27,GB,United Kingdom,Europe,54,-2,15,0,8
2020/02/28,GB,United Kingdom,Europe,54,-2,20,0,8
2020/02/29,GB,United Kingdom,Europe,54,-2,23,0,8
2020/03/01,GB,United Kingdom,Europe,54,-2,36,0,8
2020/03/02,GB,United Kingdom,Europe,54,-2,40,0,8
2020/03/03,GB,United Kingdom,Europe,54,-2,51,0,8
2020/03/04,GB,United Kingdom,Europe,54,-2,85,0,8
2020/03/05,GB,United Kingdom,Europe,54,-2,115,1,8
2020/03/06,GB,United Kingdom,Europe,54,-2,163,2,8
2020/03/07,GB,United Kingdom,Europe,54,-2,206,2,18
2020/03/08,GB,United Kingdom,Europe,54,-2,273,3,18
2020/03/09,GB,United Kingdom,Europe,54,-2,321,4,18
2020/03/10,GB,United Kingdom,Europe,54,-2,382,6,18
2020/03/11,GB,United Kingdom,Europe,54,-2,456,8,18
2020/03/12,GB,United Kingdom,Europe,54,-2,456,8,18
2020/03/13,GB,United Kingdom,Europe,54,-2,798,8,18
2020/03/14,GB,United Kingdom,Europe,54,-2,1140,21,18
2020/03/15,GB,United Kingdom,Europe,54,-2,1140,21,18
2020/03/16,GB,United Kingdom,Europe,54,-2,1543,55,20
2020/03/17,GB,United Kingdom,Europe,54,-2,1950,55,52
2020/03/18,GB,United Kingdom,Europe,54,-2,2626,71,65
2020/03/19,GB,United Kingdom,Europe,54,-2,2689,137,65
2020/03/20,GB,United Kingdom,Europe,54,-2,3983,177,65
2020/03/21,GB,United Kingdom,Europe,54,-2,5018,233,65
2020/03/22,GB,United Kingdom,Europe,54,-2,5683,281,65
2020/03/23,GB,United Kingdom,Europe,54,-2,6650,335,135
