day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,GE,Georgia,42,43.5,0,0,0
2020/01/23,GE,Georgia,42,43.5,0,0,0
2020/01/24,GE,Georgia,42,43.5,0,0,0
2020/01/25,GE,Georgia,42,43.5,0,0,0
2020/01/26,GE,Georgia,42,43.5,0,0,0
2020/01/27,GE,Georgia,42,43.5,0,0,0
2020/01/28,GE,Georgia,42,43.5,0,0,0
2020/01/29,GE,Georgia,42,43.5,0,0,0
2020/01/30,GE,Georgia,42,43.5,0,0,0
2020/01/31,GE,Georgia,42,43.5,0,0,0
2020/02/01,GE,Georgia,42,43.5,0,0,0
2020/02/02,GE,Georgia,42,43.5,0,0,0
2020/02/03,GE,Georgia,42,43.5,0,0,0
2020/02/04,GE,Georgia,42,43.5,0,0,0
2020/02/05,GE,Georgia,42,43.5,0,0,0
2020/02/06,GE,Georgia,42,43.5,0,0,0
2020/02/07,GE,Georgia,42,43.5,0,0,0
2020/02/08,GE,Georgia,42,43.5,0,0,0
2020/02/09,GE,Georgia,42,43.5,0,0,0
2020/02/10,GE,Georgia,42,43.5,0,0,0
2020/02/11,GE,Georgia,42,43.5,0,0,0
2020/02/12,GE,Georgia,42,43.5,0,0,0
2020/02/13,GE,Georgia,42,43.5,0,0,0
2020/02/14,GE,Georgia,42,43.5,0,0,0
2020/02/15,GE,Georgia,42,43.5,0,0,0
2020/02/16,GE,Georgia,42,43.5,0,0,0
2020/02/17,GE,Georgia,42,43.5,0,0,0
2020/02/18,GE,Georgia,42,43.5,0,0,0
2020/02/19,GE,Georgia,42,43.5,0,0,0
2020/02/20,GE,Georgia,42,43.5,0,0,0
2020/02/21,GE,Georgia,42,43.5,0,0,0
2020/02/22,GE,Georgia,42,43.5,0,0,0
2020/02/23,GE,Georgia,42,43.5,0,0,0
2020/02/24,GE,Georgia,42,43.5,0,0,0
2020/02/25,GE,Georgia,42,43.5,0,0,0
2020/02/26,GE,Georgia,42,43.5,1,0,0
2020/02/27,GE,Georgia,42,43.5,1,0,0
2020/02/28,GE,Georgia,42,43.5,1,0,0
2020/02/29,GE,Georgia,42,43.5,1,0,0
2020/03/01,GE,Georgia,42,43.5,3,0,0
2020/03/02,GE,Georgia,42,43.5,3,0,0
2020/03/03,GE,Georgia,42,43.5,3,0,0
2020/03/04,GE,Georgia,42,43.5,3,0,0
2020/03/05,GE,Georgia,42,43.5,4,0,0
2020/03/06,GE,Georgia,42,43.5,4,0,0
2020/03/07,GE,Georgia,42,43.5,4,0,0
2020/03/08,GE,Georgia,42,43.5,13,0,0
2020/03/09,GE,Georgia,42,43.5,15,0,0
2020/03/10,GE,Georgia,42,43.5,15,0,0
2020/03/11,GE,Georgia,42,43.5,24,0,0
2020/03/12,GE,Georgia,42,43.5,24,0,0
2020/03/13,GE,Georgia,42,43.5,25,0,0
2020/03/14,GE,Georgia,42,43.5,30,0,0
2020/03/15,GE,Georgia,42,43.5,33,0,0
2020/03/16,GE,Georgia,42,43.5,33,0,1
2020/03/17,GE,Georgia,42,43.5,34,0,1
2020/03/18,GE,Georgia,42,43.5,38,0,1
2020/03/19,GE,Georgia,42,43.5,40,0,1
2020/03/20,GE,Georgia,42,43.5,43,0,1
2020/03/21,GE,Georgia,42,43.5,49,0,1
2020/03/22,GE,Georgia,42,43.5,54,0,1
2020/03/23,GE,Georgia,42,43.5,61,0,8
