day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/23,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/24,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/25,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/26,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/27,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/28,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/29,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/30,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/01/31,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/01,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/02,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/03,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/04,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/05,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/06,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/07,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/08,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/09,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/10,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/11,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/12,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/13,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/14,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/15,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/16,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/17,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/18,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/19,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/20,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/21,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/22,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/23,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/24,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/25,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/26,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/27,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/28,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/02/29,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/01,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/02,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/03,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/04,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/05,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/06,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/07,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/08,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/09,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/10,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/11,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/12,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/13,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/14,GU,Guam,Oceania,13.46666666,144.78333333,0,0,0
2020/03/15,GU,Guam,Oceania,13.46666666,144.78333333,3,0,0
2020/03/16,GU,Guam,Oceania,13.46666666,144.78333333,3,0,0
2020/03/17,GU,Guam,Oceania,13.46666666,144.78333333,3,0,0
2020/03/18,GU,Guam,Oceania,13.46666666,144.78333333,5,0,0
2020/03/19,GU,Guam,Oceania,13.46666666,144.78333333,12,0,0
2020/03/20,GU,Guam,Oceania,13.46666666,144.78333333,14,0,0
2020/03/21,GU,Guam,Oceania,13.46666666,144.78333333,15,0,0
2020/03/22,GU,Guam,Oceania,13.46666666,144.78333333,27,0,1
2020/03/23,GU,Guam,Oceania,13.46666666,144.78333333,29,0,1
