day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,GY,Guyana,5,-59,0,0,0
2020/01/23,GY,Guyana,5,-59,0,0,0
2020/01/24,GY,Guyana,5,-59,0,0,0
2020/01/25,GY,Guyana,5,-59,0,0,0
2020/01/26,GY,Guyana,5,-59,0,0,0
2020/01/27,GY,Guyana,5,-59,0,0,0
2020/01/28,GY,Guyana,5,-59,0,0,0
2020/01/29,GY,Guyana,5,-59,0,0,0
2020/01/30,GY,Guyana,5,-59,0,0,0
2020/01/31,GY,Guyana,5,-59,0,0,0
2020/02/01,GY,Guyana,5,-59,0,0,0
2020/02/02,GY,Guyana,5,-59,0,0,0
2020/02/03,GY,Guyana,5,-59,0,0,0
2020/02/04,GY,Guyana,5,-59,0,0,0
2020/02/05,GY,Guyana,5,-59,0,0,0
2020/02/06,GY,Guyana,5,-59,0,0,0
2020/02/07,GY,Guyana,5,-59,0,0,0
2020/02/08,GY,Guyana,5,-59,0,0,0
2020/02/09,GY,Guyana,5,-59,0,0,0
2020/02/10,GY,Guyana,5,-59,0,0,0
2020/02/11,GY,Guyana,5,-59,0,0,0
2020/02/12,GY,Guyana,5,-59,0,0,0
2020/02/13,GY,Guyana,5,-59,0,0,0
2020/02/14,GY,Guyana,5,-59,0,0,0
2020/02/15,GY,Guyana,5,-59,0,0,0
2020/02/16,GY,Guyana,5,-59,0,0,0
2020/02/17,GY,Guyana,5,-59,0,0,0
2020/02/18,GY,Guyana,5,-59,0,0,0
2020/02/19,GY,Guyana,5,-59,0,0,0
2020/02/20,GY,Guyana,5,-59,0,0,0
2020/02/21,GY,Guyana,5,-59,0,0,0
2020/02/22,GY,Guyana,5,-59,0,0,0
2020/02/23,GY,Guyana,5,-59,0,0,0
2020/02/24,GY,Guyana,5,-59,0,0,0
2020/02/25,GY,Guyana,5,-59,0,0,0
2020/02/26,GY,Guyana,5,-59,0,0,0
2020/02/27,GY,Guyana,5,-59,0,0,0
2020/02/28,GY,Guyana,5,-59,0,0,0
2020/02/29,GY,Guyana,5,-59,0,0,0
2020/03/01,GY,Guyana,5,-59,0,0,0
2020/03/02,GY,Guyana,5,-59,0,0,0
2020/03/03,GY,Guyana,5,-59,0,0,0
2020/03/04,GY,Guyana,5,-59,0,0,0
2020/03/05,GY,Guyana,5,-59,0,0,0
2020/03/06,GY,Guyana,5,-59,0,0,0
2020/03/07,GY,Guyana,5,-59,0,0,0
2020/03/08,GY,Guyana,5,-59,0,0,0
2020/03/09,GY,Guyana,5,-59,0,0,0
2020/03/10,GY,Guyana,5,-59,0,0,0
2020/03/11,GY,Guyana,5,-59,0,0,0
2020/03/12,GY,Guyana,5,-59,1,1,0
2020/03/13,GY,Guyana,5,-59,1,1,0
2020/03/14,GY,Guyana,5,-59,1,1,0
2020/03/15,GY,Guyana,5,-59,4,1,0
2020/03/16,GY,Guyana,5,-59,4,1,0
2020/03/17,GY,Guyana,5,-59,7,1,0
2020/03/18,GY,Guyana,5,-59,7,1,0
2020/03/19,GY,Guyana,5,-59,7,1,0
2020/03/20,GY,Guyana,5,-59,7,1,0
2020/03/21,GY,Guyana,5,-59,7,1,0
2020/03/22,GY,Guyana,5,-59,7,1,0
2020/03/23,GY,Guyana,5,-59,20,1,0
