day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,HK,Hong Kong,22.267,114.188,0,0,0
2020/01/23,HK,Hong Kong,22.267,114.188,2,0,0
2020/01/24,HK,Hong Kong,22.267,114.188,2,0,0
2020/01/25,HK,Hong Kong,22.267,114.188,5,0,0
2020/01/26,HK,Hong Kong,22.267,114.188,8,0,0
2020/01/27,HK,Hong Kong,22.267,114.188,8,0,0
2020/01/28,HK,Hong Kong,22.267,114.188,8,0,0
2020/01/29,HK,Hong Kong,22.267,114.188,10,0,0
2020/01/30,HK,Hong Kong,22.267,114.188,10,0,0
2020/01/31,HK,Hong Kong,22.267,114.188,12,0,0
2020/02/01,HK,Hong Kong,22.267,114.188,13,0,0
2020/02/02,HK,Hong Kong,22.267,114.188,15,0,0
2020/02/03,HK,Hong Kong,22.267,114.188,15,0,0
2020/02/04,HK,Hong Kong,22.267,114.188,17,1,0
2020/02/05,HK,Hong Kong,22.267,114.188,21,1,0
2020/02/06,HK,Hong Kong,22.267,114.188,24,1,0
2020/02/07,HK,Hong Kong,22.267,114.188,25,1,0
2020/02/08,HK,Hong Kong,22.267,114.188,26,1,0
2020/02/09,HK,Hong Kong,22.267,114.188,29,1,0
2020/02/10,HK,Hong Kong,22.267,114.188,38,1,0
2020/02/11,HK,Hong Kong,22.267,114.188,49,1,0
2020/02/12,HK,Hong Kong,22.267,114.188,50,1,1
2020/02/13,HK,Hong Kong,22.267,114.188,53,1,1
2020/02/14,HK,Hong Kong,22.267,114.188,56,1,1
2020/02/15,HK,Hong Kong,22.267,114.188,56,1,1
2020/02/16,HK,Hong Kong,22.267,114.188,57,1,2
2020/02/17,HK,Hong Kong,22.267,114.188,60,1,2
2020/02/18,HK,Hong Kong,22.267,114.188,62,1,2
2020/02/19,HK,Hong Kong,22.267,114.188,63,2,5
2020/02/20,HK,Hong Kong,22.267,114.188,68,2,6
2020/02/21,HK,Hong Kong,22.267,114.188,68,2,6
2020/02/22,HK,Hong Kong,22.267,114.188,69,2,6
2020/02/23,HK,Hong Kong,22.267,114.188,74,2,11
2020/02/24,HK,Hong Kong,22.267,114.188,79,2,19
2020/02/25,HK,Hong Kong,22.267,114.188,84,2,19
2020/02/26,HK,Hong Kong,22.267,114.188,91,2,24
2020/02/27,HK,Hong Kong,22.267,114.188,92,2,24
2020/02/28,HK,Hong Kong,22.267,114.188,94,2,30
2020/02/29,HK,Hong Kong,22.267,114.188,95,2,33
2020/03/01,HK,Hong Kong,22.267,114.188,96,2,36
2020/03/02,HK,Hong Kong,22.267,114.188,100,2,36
2020/03/03,HK,Hong Kong,22.267,114.188,100,2,37
2020/03/04,HK,Hong Kong,22.267,114.188,105,2,37
2020/03/05,HK,Hong Kong,22.267,114.188,105,2,43
2020/03/06,HK,Hong Kong,22.267,114.188,107,2,46
2020/03/07,HK,Hong Kong,22.267,114.188,108,2,51
2020/03/08,HK,Hong Kong,22.267,114.188,114,3,58
2020/03/09,HK,Hong Kong,22.267,114.188,115,3,59
2020/03/10,HK,Hong Kong,22.267,114.188,120,3,65
2020/03/11,HK,Hong Kong,22.267,114.188,126,3,65
2020/03/12,HK,Hong Kong,22.267,114.188,129,3,67
2020/03/13,HK,Hong Kong,22.267,114.188,134,4,77
2020/03/14,HK,Hong Kong,22.267,114.188,140,4,78
2020/03/15,HK,Hong Kong,22.267,114.188,145,4,81
2020/03/16,HK,Hong Kong,22.267,114.188,155,4,84
2020/03/17,HK,Hong Kong,22.267,114.188,162,4,88
2020/03/18,HK,Hong Kong,22.267,114.188,181,4,92
2020/03/19,HK,Hong Kong,22.267,114.188,208,4,95
2020/03/20,HK,Hong Kong,22.267,114.188,256,4,98
2020/03/21,HK,Hong Kong,22.267,114.188,273,4,98
2020/03/22,HK,Hong Kong,22.267,114.188,317,4,100
2020/03/23,HK,Hong Kong,22.267,114.188,356,4,100
