day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,HT,Haiti,19,-72.41666666,0,0,0
2020/01/23,HT,Haiti,19,-72.41666666,0,0,0
2020/01/24,HT,Haiti,19,-72.41666666,0,0,0
2020/01/25,HT,Haiti,19,-72.41666666,0,0,0
2020/01/26,HT,Haiti,19,-72.41666666,0,0,0
2020/01/27,HT,Haiti,19,-72.41666666,0,0,0
2020/01/28,HT,Haiti,19,-72.41666666,0,0,0
2020/01/29,HT,Haiti,19,-72.41666666,0,0,0
2020/01/30,HT,Haiti,19,-72.41666666,0,0,0
2020/01/31,HT,Haiti,19,-72.41666666,0,0,0
2020/02/01,HT,Haiti,19,-72.41666666,0,0,0
2020/02/02,HT,Haiti,19,-72.41666666,0,0,0
2020/02/03,HT,Haiti,19,-72.41666666,0,0,0
2020/02/04,HT,Haiti,19,-72.41666666,0,0,0
2020/02/05,HT,Haiti,19,-72.41666666,0,0,0
2020/02/06,HT,Haiti,19,-72.41666666,0,0,0
2020/02/07,HT,Haiti,19,-72.41666666,0,0,0
2020/02/08,HT,Haiti,19,-72.41666666,0,0,0
2020/02/09,HT,Haiti,19,-72.41666666,0,0,0
2020/02/10,HT,Haiti,19,-72.41666666,0,0,0
2020/02/11,HT,Haiti,19,-72.41666666,0,0,0
2020/02/12,HT,Haiti,19,-72.41666666,0,0,0
2020/02/13,HT,Haiti,19,-72.41666666,0,0,0
2020/02/14,HT,Haiti,19,-72.41666666,0,0,0
2020/02/15,HT,Haiti,19,-72.41666666,0,0,0
2020/02/16,HT,Haiti,19,-72.41666666,0,0,0
2020/02/17,HT,Haiti,19,-72.41666666,0,0,0
2020/02/18,HT,Haiti,19,-72.41666666,0,0,0
2020/02/19,HT,Haiti,19,-72.41666666,0,0,0
2020/02/20,HT,Haiti,19,-72.41666666,0,0,0
2020/02/21,HT,Haiti,19,-72.41666666,0,0,0
2020/02/22,HT,Haiti,19,-72.41666666,0,0,0
2020/02/23,HT,Haiti,19,-72.41666666,0,0,0
2020/02/24,HT,Haiti,19,-72.41666666,0,0,0
2020/02/25,HT,Haiti,19,-72.41666666,0,0,0
2020/02/26,HT,Haiti,19,-72.41666666,0,0,0
2020/02/27,HT,Haiti,19,-72.41666666,0,0,0
2020/02/28,HT,Haiti,19,-72.41666666,0,0,0
2020/02/29,HT,Haiti,19,-72.41666666,0,0,0
2020/03/01,HT,Haiti,19,-72.41666666,0,0,0
2020/03/02,HT,Haiti,19,-72.41666666,0,0,0
2020/03/03,HT,Haiti,19,-72.41666666,0,0,0
2020/03/04,HT,Haiti,19,-72.41666666,0,0,0
2020/03/05,HT,Haiti,19,-72.41666666,0,0,0
2020/03/06,HT,Haiti,19,-72.41666666,0,0,0
2020/03/07,HT,Haiti,19,-72.41666666,0,0,0
2020/03/08,HT,Haiti,19,-72.41666666,0,0,0
2020/03/09,HT,Haiti,19,-72.41666666,0,0,0
2020/03/10,HT,Haiti,19,-72.41666666,0,0,0
2020/03/11,HT,Haiti,19,-72.41666666,0,0,0
2020/03/12,HT,Haiti,19,-72.41666666,0,0,0
2020/03/13,HT,Haiti,19,-72.41666666,0,0,0
2020/03/14,HT,Haiti,19,-72.41666666,0,0,0
2020/03/15,HT,Haiti,19,-72.41666666,0,0,0
2020/03/16,HT,Haiti,19,-72.41666666,0,0,0
2020/03/17,HT,Haiti,19,-72.41666666,0,0,0
2020/03/18,HT,Haiti,19,-72.41666666,0,0,0
2020/03/19,HT,Haiti,19,-72.41666666,0,0,0
2020/03/20,HT,Haiti,19,-72.41666666,2,0,0
2020/03/21,HT,Haiti,19,-72.41666666,2,0,0
2020/03/22,HT,Haiti,19,-72.41666666,2,0,0
2020/03/23,HT,Haiti,19,-72.41666666,6,0,0
