day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/23,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/24,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/25,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/26,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/27,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/28,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/29,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/30,ID,Indonesia,Asia,-5,120,0,0,0
2020/01/31,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/01,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/02,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/03,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/04,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/05,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/06,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/07,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/08,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/09,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/10,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/11,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/12,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/13,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/14,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/15,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/16,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/17,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/18,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/19,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/20,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/21,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/22,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/23,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/24,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/25,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/26,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/27,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/28,ID,Indonesia,Asia,-5,120,0,0,0
2020/02/29,ID,Indonesia,Asia,-5,120,0,0,0
2020/03/01,ID,Indonesia,Asia,-5,120,0,0,0
2020/03/02,ID,Indonesia,Asia,-5,120,2,0,0
2020/03/03,ID,Indonesia,Asia,-5,120,2,0,0
2020/03/04,ID,Indonesia,Asia,-5,120,2,0,0
2020/03/05,ID,Indonesia,Asia,-5,120,2,0,0
2020/03/06,ID,Indonesia,Asia,-5,120,4,0,0
2020/03/07,ID,Indonesia,Asia,-5,120,4,0,0
2020/03/08,ID,Indonesia,Asia,-5,120,6,0,0
2020/03/09,ID,Indonesia,Asia,-5,120,19,0,0
2020/03/10,ID,Indonesia,Asia,-5,120,27,0,2
2020/03/11,ID,Indonesia,Asia,-5,120,34,1,2
2020/03/12,ID,Indonesia,Asia,-5,120,34,1,2
2020/03/13,ID,Indonesia,Asia,-5,120,69,4,2
2020/03/14,ID,Indonesia,Asia,-5,120,96,5,8
2020/03/15,ID,Indonesia,Asia,-5,120,117,5,8
2020/03/16,ID,Indonesia,Asia,-5,120,134,5,8
2020/03/17,ID,Indonesia,Asia,-5,120,172,5,8
2020/03/18,ID,Indonesia,Asia,-5,120,227,19,11
2020/03/19,ID,Indonesia,Asia,-5,120,311,25,11
2020/03/20,ID,Indonesia,Asia,-5,120,369,32,15
2020/03/21,ID,Indonesia,Asia,-5,120,450,38,15
2020/03/22,ID,Indonesia,Asia,-5,120,514,48,29
2020/03/23,ID,Indonesia,Asia,-5,120,579,49,30
