day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,IE,Ireland,53,-8,0,0,0
2020/01/23,IE,Ireland,53,-8,0,0,0
2020/01/24,IE,Ireland,53,-8,0,0,0
2020/01/25,IE,Ireland,53,-8,0,0,0
2020/01/26,IE,Ireland,53,-8,0,0,0
2020/01/27,IE,Ireland,53,-8,0,0,0
2020/01/28,IE,Ireland,53,-8,0,0,0
2020/01/29,IE,Ireland,53,-8,0,0,0
2020/01/30,IE,Ireland,53,-8,0,0,0
2020/01/31,IE,Ireland,53,-8,0,0,0
2020/02/01,IE,Ireland,53,-8,0,0,0
2020/02/02,IE,Ireland,53,-8,0,0,0
2020/02/03,IE,Ireland,53,-8,0,0,0
2020/02/04,IE,Ireland,53,-8,0,0,0
2020/02/05,IE,Ireland,53,-8,0,0,0
2020/02/06,IE,Ireland,53,-8,0,0,0
2020/02/07,IE,Ireland,53,-8,0,0,0
2020/02/08,IE,Ireland,53,-8,0,0,0
2020/02/09,IE,Ireland,53,-8,0,0,0
2020/02/10,IE,Ireland,53,-8,0,0,0
2020/02/11,IE,Ireland,53,-8,0,0,0
2020/02/12,IE,Ireland,53,-8,0,0,0
2020/02/13,IE,Ireland,53,-8,0,0,0
2020/02/14,IE,Ireland,53,-8,0,0,0
2020/02/15,IE,Ireland,53,-8,0,0,0
2020/02/16,IE,Ireland,53,-8,0,0,0
2020/02/17,IE,Ireland,53,-8,0,0,0
2020/02/18,IE,Ireland,53,-8,0,0,0
2020/02/19,IE,Ireland,53,-8,0,0,0
2020/02/20,IE,Ireland,53,-8,0,0,0
2020/02/21,IE,Ireland,53,-8,0,0,0
2020/02/22,IE,Ireland,53,-8,0,0,0
2020/02/23,IE,Ireland,53,-8,0,0,0
2020/02/24,IE,Ireland,53,-8,0,0,0
2020/02/25,IE,Ireland,53,-8,0,0,0
2020/02/26,IE,Ireland,53,-8,0,0,0
2020/02/27,IE,Ireland,53,-8,0,0,0
2020/02/28,IE,Ireland,53,-8,0,0,0
2020/02/29,IE,Ireland,53,-8,1,0,0
2020/03/01,IE,Ireland,53,-8,1,0,0
2020/03/02,IE,Ireland,53,-8,1,0,0
2020/03/03,IE,Ireland,53,-8,2,0,0
2020/03/04,IE,Ireland,53,-8,6,0,0
2020/03/05,IE,Ireland,53,-8,6,0,0
2020/03/06,IE,Ireland,53,-8,18,0,0
2020/03/07,IE,Ireland,53,-8,18,0,0
2020/03/08,IE,Ireland,53,-8,19,0,0
2020/03/09,IE,Ireland,53,-8,21,0,0
2020/03/10,IE,Ireland,53,-8,34,0,0
2020/03/11,IE,Ireland,53,-8,43,1,0
2020/03/12,IE,Ireland,53,-8,43,1,0
2020/03/13,IE,Ireland,53,-8,90,1,0
2020/03/14,IE,Ireland,53,-8,129,2,0
2020/03/15,IE,Ireland,53,-8,129,2,0
2020/03/16,IE,Ireland,53,-8,169,2,0
2020/03/17,IE,Ireland,53,-8,223,2,5
2020/03/18,IE,Ireland,53,-8,292,2,5
2020/03/19,IE,Ireland,53,-8,557,3,5
2020/03/20,IE,Ireland,53,-8,683,3,5
2020/03/21,IE,Ireland,53,-8,785,3,5
2020/03/22,IE,Ireland,53,-8,906,4,5
2020/03/23,IE,Ireland,53,-8,1125,6,5
