day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,IN,India,Asia,20,77,0,0,0
2020/01/23,IN,India,Asia,20,77,0,0,0
2020/01/24,IN,India,Asia,20,77,0,0,0
2020/01/25,IN,India,Asia,20,77,0,0,0
2020/01/26,IN,India,Asia,20,77,0,0,0
2020/01/27,IN,India,Asia,20,77,0,0,0
2020/01/28,IN,India,Asia,20,77,0,0,0
2020/01/29,IN,India,Asia,20,77,0,0,0
2020/01/30,IN,India,Asia,20,77,1,0,0
2020/01/31,IN,India,Asia,20,77,1,0,0
2020/02/01,IN,India,Asia,20,77,1,0,0
2020/02/02,IN,India,Asia,20,77,2,0,0
2020/02/03,IN,India,Asia,20,77,3,0,0
2020/02/04,IN,India,Asia,20,77,3,0,0
2020/02/05,IN,India,Asia,20,77,3,0,0
2020/02/06,IN,India,Asia,20,77,3,0,0
2020/02/07,IN,India,Asia,20,77,3,0,0
2020/02/08,IN,India,Asia,20,77,3,0,0
2020/02/09,IN,India,Asia,20,77,3,0,0
2020/02/10,IN,India,Asia,20,77,3,0,0
2020/02/11,IN,India,Asia,20,77,3,0,0
2020/02/12,IN,India,Asia,20,77,3,0,0
2020/02/13,IN,India,Asia,20,77,3,0,0
2020/02/14,IN,India,Asia,20,77,3,0,0
2020/02/15,IN,India,Asia,20,77,3,0,0
2020/02/16,IN,India,Asia,20,77,3,0,3
2020/02/17,IN,India,Asia,20,77,3,0,3
2020/02/18,IN,India,Asia,20,77,3,0,3
2020/02/19,IN,India,Asia,20,77,3,0,3
2020/02/20,IN,India,Asia,20,77,3,0,3
2020/02/21,IN,India,Asia,20,77,3,0,3
2020/02/22,IN,India,Asia,20,77,3,0,3
2020/02/23,IN,India,Asia,20,77,3,0,3
2020/02/24,IN,India,Asia,20,77,3,0,3
2020/02/25,IN,India,Asia,20,77,3,0,3
2020/02/26,IN,India,Asia,20,77,3,0,3
2020/02/27,IN,India,Asia,20,77,3,0,3
2020/02/28,IN,India,Asia,20,77,3,0,3
2020/02/29,IN,India,Asia,20,77,3,0,3
2020/03/01,IN,India,Asia,20,77,3,0,3
2020/03/02,IN,India,Asia,20,77,5,0,3
2020/03/03,IN,India,Asia,20,77,5,0,3
2020/03/04,IN,India,Asia,20,77,28,0,3
2020/03/05,IN,India,Asia,20,77,30,0,3
2020/03/06,IN,India,Asia,20,77,31,0,3
2020/03/07,IN,India,Asia,20,77,34,0,3
2020/03/08,IN,India,Asia,20,77,39,0,3
2020/03/09,IN,India,Asia,20,77,43,0,3
2020/03/10,IN,India,Asia,20,77,56,0,4
2020/03/11,IN,India,Asia,20,77,62,1,4
2020/03/12,IN,India,Asia,20,77,73,1,4
2020/03/13,IN,India,Asia,20,77,82,2,4
2020/03/14,IN,India,Asia,20,77,102,2,4
2020/03/15,IN,India,Asia,20,77,113,2,13
2020/03/16,IN,India,Asia,20,77,119,2,13
2020/03/17,IN,India,Asia,20,77,142,3,14
2020/03/18,IN,India,Asia,20,77,156,3,14
2020/03/19,IN,India,Asia,20,77,194,4,15
2020/03/20,IN,India,Asia,20,77,244,5,20
2020/03/21,IN,India,Asia,20,77,330,5,23
2020/03/22,IN,India,Asia,20,77,396,7,24
2020/03/23,IN,India,Asia,20,77,499,10,34
