day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,IQ,Iraq,33,44,0,0,0
2020/01/23,IQ,Iraq,33,44,0,0,0
2020/01/24,IQ,Iraq,33,44,0,0,0
2020/01/25,IQ,Iraq,33,44,0,0,0
2020/01/26,IQ,Iraq,33,44,0,0,0
2020/01/27,IQ,Iraq,33,44,0,0,0
2020/01/28,IQ,Iraq,33,44,0,0,0
2020/01/29,IQ,Iraq,33,44,0,0,0
2020/01/30,IQ,Iraq,33,44,0,0,0
2020/01/31,IQ,Iraq,33,44,0,0,0
2020/02/01,IQ,Iraq,33,44,0,0,0
2020/02/02,IQ,Iraq,33,44,0,0,0
2020/02/03,IQ,Iraq,33,44,0,0,0
2020/02/04,IQ,Iraq,33,44,0,0,0
2020/02/05,IQ,Iraq,33,44,0,0,0
2020/02/06,IQ,Iraq,33,44,0,0,0
2020/02/07,IQ,Iraq,33,44,0,0,0
2020/02/08,IQ,Iraq,33,44,0,0,0
2020/02/09,IQ,Iraq,33,44,0,0,0
2020/02/10,IQ,Iraq,33,44,0,0,0
2020/02/11,IQ,Iraq,33,44,0,0,0
2020/02/12,IQ,Iraq,33,44,0,0,0
2020/02/13,IQ,Iraq,33,44,0,0,0
2020/02/14,IQ,Iraq,33,44,0,0,0
2020/02/15,IQ,Iraq,33,44,0,0,0
2020/02/16,IQ,Iraq,33,44,0,0,0
2020/02/17,IQ,Iraq,33,44,0,0,0
2020/02/18,IQ,Iraq,33,44,0,0,0
2020/02/19,IQ,Iraq,33,44,0,0,0
2020/02/20,IQ,Iraq,33,44,0,0,0
2020/02/21,IQ,Iraq,33,44,0,0,0
2020/02/22,IQ,Iraq,33,44,0,0,0
2020/02/23,IQ,Iraq,33,44,0,0,0
2020/02/24,IQ,Iraq,33,44,1,0,0
2020/02/25,IQ,Iraq,33,44,1,0,0
2020/02/26,IQ,Iraq,33,44,5,0,0
2020/02/27,IQ,Iraq,33,44,7,0,0
2020/02/28,IQ,Iraq,33,44,7,0,0
2020/02/29,IQ,Iraq,33,44,13,0,0
2020/03/01,IQ,Iraq,33,44,19,0,0
2020/03/02,IQ,Iraq,33,44,26,0,0
2020/03/03,IQ,Iraq,33,44,32,0,0
2020/03/04,IQ,Iraq,33,44,35,2,0
2020/03/05,IQ,Iraq,33,44,35,2,0
2020/03/06,IQ,Iraq,33,44,40,3,0
2020/03/07,IQ,Iraq,33,44,54,4,0
2020/03/08,IQ,Iraq,33,44,60,6,0
2020/03/09,IQ,Iraq,33,44,60,6,3
2020/03/10,IQ,Iraq,33,44,71,7,3
2020/03/11,IQ,Iraq,33,44,71,7,15
2020/03/12,IQ,Iraq,33,44,71,8,15
2020/03/13,IQ,Iraq,33,44,101,9,24
2020/03/14,IQ,Iraq,33,44,110,10,26
2020/03/15,IQ,Iraq,33,44,116,10,26
2020/03/16,IQ,Iraq,33,44,124,10,26
2020/03/17,IQ,Iraq,33,44,154,11,32
2020/03/18,IQ,Iraq,33,44,164,12,43
2020/03/19,IQ,Iraq,33,44,192,13,43
2020/03/20,IQ,Iraq,33,44,208,17,49
2020/03/21,IQ,Iraq,33,44,214,17,51
2020/03/22,IQ,Iraq,33,44,233,20,57
2020/03/23,IQ,Iraq,33,44,266,23,62
