day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/23,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/24,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/25,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/26,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/27,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/28,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/29,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/30,JM,Jamaica,18.25,-77.5,0,0,0
2020/01/31,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/01,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/02,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/03,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/04,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/05,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/06,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/07,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/08,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/09,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/10,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/11,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/12,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/13,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/14,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/15,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/16,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/17,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/18,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/19,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/20,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/21,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/22,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/23,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/24,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/25,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/26,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/27,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/28,JM,Jamaica,18.25,-77.5,0,0,0
2020/02/29,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/01,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/02,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/03,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/04,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/05,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/06,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/07,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/08,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/09,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/10,JM,Jamaica,18.25,-77.5,0,0,0
2020/03/11,JM,Jamaica,18.25,-77.5,1,0,0
2020/03/12,JM,Jamaica,18.25,-77.5,2,0,0
2020/03/13,JM,Jamaica,18.25,-77.5,8,0,0
2020/03/14,JM,Jamaica,18.25,-77.5,8,0,0
2020/03/15,JM,Jamaica,18.25,-77.5,10,0,0
2020/03/16,JM,Jamaica,18.25,-77.5,10,0,2
2020/03/17,JM,Jamaica,18.25,-77.5,12,0,2
2020/03/18,JM,Jamaica,18.25,-77.5,13,0,2
2020/03/19,JM,Jamaica,18.25,-77.5,15,1,2
2020/03/20,JM,Jamaica,18.25,-77.5,16,1,2
2020/03/21,JM,Jamaica,18.25,-77.5,16,1,2
2020/03/22,JM,Jamaica,18.25,-77.5,16,1,2
2020/03/23,JM,Jamaica,18.25,-77.5,19,1,2
