day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,JP,Japan,Asia,36,138,2,0,0
2020/01/23,JP,Japan,Asia,36,138,2,0,0
2020/01/24,JP,Japan,Asia,36,138,2,0,0
2020/01/25,JP,Japan,Asia,36,138,2,0,0
2020/01/26,JP,Japan,Asia,36,138,4,0,1
2020/01/27,JP,Japan,Asia,36,138,4,0,1
2020/01/28,JP,Japan,Asia,36,138,7,0,1
2020/01/29,JP,Japan,Asia,36,138,7,0,1
2020/01/30,JP,Japan,Asia,36,138,11,0,1
2020/01/31,JP,Japan,Asia,36,138,15,0,1
2020/02/01,JP,Japan,Asia,36,138,20,0,1
2020/02/02,JP,Japan,Asia,36,138,20,0,1
2020/02/03,JP,Japan,Asia,36,138,20,0,1
2020/02/04,JP,Japan,Asia,36,138,22,0,1
2020/02/05,JP,Japan,Asia,36,138,22,0,1
2020/02/06,JP,Japan,Asia,36,138,25,0,1
2020/02/07,JP,Japan,Asia,36,138,25,0,1
2020/02/08,JP,Japan,Asia,36,138,25,0,1
2020/02/09,JP,Japan,Asia,36,138,26,0,1
2020/02/10,JP,Japan,Asia,36,138,26,0,4
2020/02/11,JP,Japan,Asia,36,138,26,0,9
2020/02/12,JP,Japan,Asia,36,138,28,0,9
2020/02/13,JP,Japan,Asia,36,138,28,1,9
2020/02/14,JP,Japan,Asia,36,138,29,1,9
2020/02/15,JP,Japan,Asia,36,138,43,1,12
2020/02/16,JP,Japan,Asia,36,138,59,1,12
2020/02/17,JP,Japan,Asia,36,138,66,1,12
2020/02/18,JP,Japan,Asia,36,138,74,1,13
2020/02/19,JP,Japan,Asia,36,138,84,1,18
2020/02/20,JP,Japan,Asia,36,138,94,1,18
2020/02/21,JP,Japan,Asia,36,138,105,1,22
2020/02/22,JP,Japan,Asia,36,138,122,1,22
2020/02/23,JP,Japan,Asia,36,138,147,1,22
2020/02/24,JP,Japan,Asia,36,138,159,1,22
2020/02/25,JP,Japan,Asia,36,138,170,1,22
2020/02/26,JP,Japan,Asia,36,138,189,2,22
2020/02/27,JP,Japan,Asia,36,138,214,4,22
2020/02/28,JP,Japan,Asia,36,138,228,4,22
2020/02/29,JP,Japan,Asia,36,138,241,5,32
2020/03/01,JP,Japan,Asia,36,138,256,6,32
2020/03/02,JP,Japan,Asia,36,138,274,6,32
2020/03/03,JP,Japan,Asia,36,138,293,6,43
2020/03/04,JP,Japan,Asia,36,138,331,6,43
2020/03/05,JP,Japan,Asia,36,138,360,6,43
2020/03/06,JP,Japan,Asia,36,138,420,6,46
2020/03/07,JP,Japan,Asia,36,138,461,6,76
2020/03/08,JP,Japan,Asia,36,138,502,6,76
2020/03/09,JP,Japan,Asia,36,138,511,10,76
2020/03/10,JP,Japan,Asia,36,138,581,10,101
2020/03/11,JP,Japan,Asia,36,138,639,15,118
2020/03/12,JP,Japan,Asia,36,138,639,16,118
2020/03/13,JP,Japan,Asia,36,138,701,19,118
2020/03/14,JP,Japan,Asia,36,138,773,22,118
2020/03/15,JP,Japan,Asia,36,138,839,22,118
2020/03/16,JP,Japan,Asia,36,138,839,27,144
2020/03/17,JP,Japan,Asia,36,138,878,29,144
2020/03/18,JP,Japan,Asia,36,138,889,29,144
2020/03/19,JP,Japan,Asia,36,138,924,29,150
2020/03/20,JP,Japan,Asia,36,138,963,33,191
2020/03/21,JP,Japan,Asia,36,138,1007,35,232
2020/03/22,JP,Japan,Asia,36,138,1086,36,235
2020/03/23,JP,Japan,Asia,36,138,1128,42,235
