day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,LT,Lithuania,56,24,0,0,0
2020/01/23,LT,Lithuania,56,24,0,0,0
2020/01/24,LT,Lithuania,56,24,0,0,0
2020/01/25,LT,Lithuania,56,24,0,0,0
2020/01/26,LT,Lithuania,56,24,0,0,0
2020/01/27,LT,Lithuania,56,24,0,0,0
2020/01/28,LT,Lithuania,56,24,0,0,0
2020/01/29,LT,Lithuania,56,24,0,0,0
2020/01/30,LT,Lithuania,56,24,0,0,0
2020/01/31,LT,Lithuania,56,24,0,0,0
2020/02/01,LT,Lithuania,56,24,0,0,0
2020/02/02,LT,Lithuania,56,24,0,0,0
2020/02/03,LT,Lithuania,56,24,0,0,0
2020/02/04,LT,Lithuania,56,24,0,0,0
2020/02/05,LT,Lithuania,56,24,0,0,0
2020/02/06,LT,Lithuania,56,24,0,0,0
2020/02/07,LT,Lithuania,56,24,0,0,0
2020/02/08,LT,Lithuania,56,24,0,0,0
2020/02/09,LT,Lithuania,56,24,0,0,0
2020/02/10,LT,Lithuania,56,24,0,0,0
2020/02/11,LT,Lithuania,56,24,0,0,0
2020/02/12,LT,Lithuania,56,24,0,0,0
2020/02/13,LT,Lithuania,56,24,0,0,0
2020/02/14,LT,Lithuania,56,24,0,0,0
2020/02/15,LT,Lithuania,56,24,0,0,0
2020/02/16,LT,Lithuania,56,24,0,0,0
2020/02/17,LT,Lithuania,56,24,0,0,0
2020/02/18,LT,Lithuania,56,24,0,0,0
2020/02/19,LT,Lithuania,56,24,0,0,0
2020/02/20,LT,Lithuania,56,24,0,0,0
2020/02/21,LT,Lithuania,56,24,0,0,0
2020/02/22,LT,Lithuania,56,24,0,0,0
2020/02/23,LT,Lithuania,56,24,0,0,0
2020/02/24,LT,Lithuania,56,24,0,0,0
2020/02/25,LT,Lithuania,56,24,0,0,0
2020/02/26,LT,Lithuania,56,24,0,0,0
2020/02/27,LT,Lithuania,56,24,0,0,0
2020/02/28,LT,Lithuania,56,24,1,0,0
2020/02/29,LT,Lithuania,56,24,1,0,0
2020/03/01,LT,Lithuania,56,24,1,0,0
2020/03/02,LT,Lithuania,56,24,1,0,0
2020/03/03,LT,Lithuania,56,24,1,0,0
2020/03/04,LT,Lithuania,56,24,1,0,0
2020/03/05,LT,Lithuania,56,24,1,0,0
2020/03/06,LT,Lithuania,56,24,1,0,0
2020/03/07,LT,Lithuania,56,24,1,0,0
2020/03/08,LT,Lithuania,56,24,1,0,0
2020/03/09,LT,Lithuania,56,24,1,0,0
2020/03/10,LT,Lithuania,56,24,1,0,0
2020/03/11,LT,Lithuania,56,24,3,0,0
2020/03/12,LT,Lithuania,56,24,3,0,0
2020/03/13,LT,Lithuania,56,24,6,0,0
2020/03/14,LT,Lithuania,56,24,8,0,0
2020/03/15,LT,Lithuania,56,24,12,0,1
2020/03/16,LT,Lithuania,56,24,17,0,1
2020/03/17,LT,Lithuania,56,24,25,0,1
2020/03/18,LT,Lithuania,56,24,27,0,1
2020/03/19,LT,Lithuania,56,24,36,0,1
2020/03/20,LT,Lithuania,56,24,49,0,1
2020/03/21,LT,Lithuania,56,24,83,1,1
2020/03/22,LT,Lithuania,56,24,131,1,1
2020/03/23,LT,Lithuania,56,24,179,1,1
