day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/23,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/24,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/25,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/26,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/27,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/28,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/29,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/30,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/01/31,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/01,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/02,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/03,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/04,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/05,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/06,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/07,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/08,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/09,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/10,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/11,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/12,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/13,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/14,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/15,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/16,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/17,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/18,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/19,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/20,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/21,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/22,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/23,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/24,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/25,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/26,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/27,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/28,LU,Luxembourg,49.75,6.16666666,0,0,0
2020/02/29,LU,Luxembourg,49.75,6.16666666,1,0,0
2020/03/01,LU,Luxembourg,49.75,6.16666666,1,0,0
2020/03/02,LU,Luxembourg,49.75,6.16666666,1,0,0
2020/03/03,LU,Luxembourg,49.75,6.16666666,1,0,0
2020/03/04,LU,Luxembourg,49.75,6.16666666,1,0,0
2020/03/05,LU,Luxembourg,49.75,6.16666666,1,0,0
2020/03/06,LU,Luxembourg,49.75,6.16666666,2,0,0
2020/03/07,LU,Luxembourg,49.75,6.16666666,2,0,0
2020/03/08,LU,Luxembourg,49.75,6.16666666,3,0,0
2020/03/09,LU,Luxembourg,49.75,6.16666666,3,0,0
2020/03/10,LU,Luxembourg,49.75,6.16666666,5,0,0
2020/03/11,LU,Luxembourg,49.75,6.16666666,7,0,0
2020/03/12,LU,Luxembourg,49.75,6.16666666,19,0,0
2020/03/13,LU,Luxembourg,49.75,6.16666666,34,0,0
2020/03/14,LU,Luxembourg,49.75,6.16666666,51,1,0
2020/03/15,LU,Luxembourg,49.75,6.16666666,59,1,0
2020/03/16,LU,Luxembourg,49.75,6.16666666,77,1,0
2020/03/17,LU,Luxembourg,49.75,6.16666666,140,1,0
2020/03/18,LU,Luxembourg,49.75,6.16666666,203,2,0
2020/03/19,LU,Luxembourg,49.75,6.16666666,335,4,0
2020/03/20,LU,Luxembourg,49.75,6.16666666,484,4,0
2020/03/21,LU,Luxembourg,49.75,6.16666666,670,8,0
2020/03/22,LU,Luxembourg,49.75,6.16666666,798,8,6
2020/03/23,LU,Luxembourg,49.75,6.16666666,875,8,6
