day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,MA,Morocco,Africa,32,-5,0,0,0
2020/01/23,MA,Morocco,Africa,32,-5,0,0,0
2020/01/24,MA,Morocco,Africa,32,-5,0,0,0
2020/01/25,MA,Morocco,Africa,32,-5,0,0,0
2020/01/26,MA,Morocco,Africa,32,-5,0,0,0
2020/01/27,MA,Morocco,Africa,32,-5,0,0,0
2020/01/28,MA,Morocco,Africa,32,-5,0,0,0
2020/01/29,MA,Morocco,Africa,32,-5,0,0,0
2020/01/30,MA,Morocco,Africa,32,-5,0,0,0
2020/01/31,MA,Morocco,Africa,32,-5,0,0,0
2020/02/01,MA,Morocco,Africa,32,-5,0,0,0
2020/02/02,MA,Morocco,Africa,32,-5,0,0,0
2020/02/03,MA,Morocco,Africa,32,-5,0,0,0
2020/02/04,MA,Morocco,Africa,32,-5,0,0,0
2020/02/05,MA,Morocco,Africa,32,-5,0,0,0
2020/02/06,MA,Morocco,Africa,32,-5,0,0,0
2020/02/07,MA,Morocco,Africa,32,-5,0,0,0
2020/02/08,MA,Morocco,Africa,32,-5,0,0,0
2020/02/09,MA,Morocco,Africa,32,-5,0,0,0
2020/02/10,MA,Morocco,Africa,32,-5,0,0,0
2020/02/11,MA,Morocco,Africa,32,-5,0,0,0
2020/02/12,MA,Morocco,Africa,32,-5,0,0,0
2020/02/13,MA,Morocco,Africa,32,-5,0,0,0
2020/02/14,MA,Morocco,Africa,32,-5,0,0,0
2020/02/15,MA,Morocco,Africa,32,-5,0,0,0
2020/02/16,MA,Morocco,Africa,32,-5,0,0,0
2020/02/17,MA,Morocco,Africa,32,-5,0,0,0
2020/02/18,MA,Morocco,Africa,32,-5,0,0,0
2020/02/19,MA,Morocco,Africa,32,-5,0,0,0
2020/02/20,MA,Morocco,Africa,32,-5,0,0,0
2020/02/21,MA,Morocco,Africa,32,-5,0,0,0
2020/02/22,MA,Morocco,Africa,32,-5,0,0,0
2020/02/23,MA,Morocco,Africa,32,-5,0,0,0
2020/02/24,MA,Morocco,Africa,32,-5,0,0,0
2020/02/25,MA,Morocco,Africa,32,-5,0,0,0
2020/02/26,MA,Morocco,Africa,32,-5,0,0,0
2020/02/27,MA,Morocco,Africa,32,-5,0,0,0
2020/02/28,MA,Morocco,Africa,32,-5,0,0,0
2020/02/29,MA,Morocco,Africa,32,-5,0,0,0
2020/03/01,MA,Morocco,Africa,32,-5,0,0,0
2020/03/02,MA,Morocco,Africa,32,-5,1,0,0
2020/03/03,MA,Morocco,Africa,32,-5,1,0,0
2020/03/04,MA,Morocco,Africa,32,-5,1,0,0
2020/03/05,MA,Morocco,Africa,32,-5,2,0,0
2020/03/06,MA,Morocco,Africa,32,-5,2,0,0
2020/03/07,MA,Morocco,Africa,32,-5,2,0,0
2020/03/08,MA,Morocco,Africa,32,-5,2,0,0
2020/03/09,MA,Morocco,Africa,32,-5,2,0,0
2020/03/10,MA,Morocco,Africa,32,-5,3,1,0
2020/03/11,MA,Morocco,Africa,32,-5,5,1,0
2020/03/12,MA,Morocco,Africa,32,-5,6,1,0
2020/03/13,MA,Morocco,Africa,32,-5,7,1,1
2020/03/14,MA,Morocco,Africa,32,-5,17,1,1
2020/03/15,MA,Morocco,Africa,32,-5,28,1,1
2020/03/16,MA,Morocco,Africa,32,-5,29,1,1
2020/03/17,MA,Morocco,Africa,32,-5,38,2,1
2020/03/18,MA,Morocco,Africa,32,-5,49,2,1
2020/03/19,MA,Morocco,Africa,32,-5,63,2,1
2020/03/20,MA,Morocco,Africa,32,-5,77,3,1
2020/03/21,MA,Morocco,Africa,32,-5,96,3,3
2020/03/22,MA,Morocco,Africa,32,-5,115,4,3
2020/03/23,MA,Morocco,Africa,32,-5,143,4,5
