day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/23,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/24,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/25,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/26,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/27,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/28,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/29,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/30,MK,North Macedonia,41.83333333,22,0,0,0
2020/01/31,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/01,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/02,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/03,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/04,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/05,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/06,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/07,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/08,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/09,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/10,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/11,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/12,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/13,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/14,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/15,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/16,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/17,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/18,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/19,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/20,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/21,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/22,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/23,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/24,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/25,MK,North Macedonia,41.83333333,22,0,0,0
2020/02/26,MK,North Macedonia,41.83333333,22,1,0,0
2020/02/27,MK,North Macedonia,41.83333333,22,1,0,0
2020/02/28,MK,North Macedonia,41.83333333,22,1,0,0
2020/02/29,MK,North Macedonia,41.83333333,22,1,0,0
2020/03/01,MK,North Macedonia,41.83333333,22,1,0,0
2020/03/02,MK,North Macedonia,41.83333333,22,1,0,0
2020/03/03,MK,North Macedonia,41.83333333,22,1,0,0
2020/03/04,MK,North Macedonia,41.83333333,22,1,0,0
2020/03/05,MK,North Macedonia,41.83333333,22,1,0,0
2020/03/06,MK,North Macedonia,41.83333333,22,3,0,0
2020/03/07,MK,North Macedonia,41.83333333,22,3,0,0
2020/03/08,MK,North Macedonia,41.83333333,22,3,0,0
2020/03/09,MK,North Macedonia,41.83333333,22,3,0,0
2020/03/10,MK,North Macedonia,41.83333333,22,7,0,0
2020/03/11,MK,North Macedonia,41.83333333,22,7,0,0
2020/03/12,MK,North Macedonia,41.83333333,22,7,0,0
2020/03/13,MK,North Macedonia,41.83333333,22,14,0,1
2020/03/14,MK,North Macedonia,41.83333333,22,14,0,1
2020/03/15,MK,North Macedonia,41.83333333,22,14,0,1
2020/03/16,MK,North Macedonia,41.83333333,22,18,0,1
2020/03/17,MK,North Macedonia,41.83333333,22,26,0,1
2020/03/18,MK,North Macedonia,41.83333333,22,35,0,1
2020/03/19,MK,North Macedonia,41.83333333,22,48,0,1
2020/03/20,MK,North Macedonia,41.83333333,22,67,0,1
2020/03/21,MK,North Macedonia,41.83333333,22,85,0,1
2020/03/22,MK,North Macedonia,41.83333333,22,114,1,1
2020/03/23,MK,North Macedonia,41.83333333,22,136,2,1
