day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,MM,Myanmar,22,98,0,0,0
2020/01/23,MM,Myanmar,22,98,0,0,0
2020/01/24,MM,Myanmar,22,98,0,0,0
2020/01/25,MM,Myanmar,22,98,0,0,0
2020/01/26,MM,Myanmar,22,98,0,0,0
2020/01/27,MM,Myanmar,22,98,0,0,0
2020/01/28,MM,Myanmar,22,98,0,0,0
2020/01/29,MM,Myanmar,22,98,0,0,0
2020/01/30,MM,Myanmar,22,98,0,0,0
2020/01/31,MM,Myanmar,22,98,0,0,0
2020/02/01,MM,Myanmar,22,98,0,0,0
2020/02/02,MM,Myanmar,22,98,0,0,0
2020/02/03,MM,Myanmar,22,98,0,0,0
2020/02/04,MM,Myanmar,22,98,0,0,0
2020/02/05,MM,Myanmar,22,98,0,0,0
2020/02/06,MM,Myanmar,22,98,0,0,0
2020/02/07,MM,Myanmar,22,98,0,0,0
2020/02/08,MM,Myanmar,22,98,0,0,0
2020/02/09,MM,Myanmar,22,98,0,0,0
2020/02/10,MM,Myanmar,22,98,0,0,0
2020/02/11,MM,Myanmar,22,98,0,0,0
2020/02/12,MM,Myanmar,22,98,0,0,0
2020/02/13,MM,Myanmar,22,98,0,0,0
2020/02/14,MM,Myanmar,22,98,0,0,0
2020/02/15,MM,Myanmar,22,98,0,0,0
2020/02/16,MM,Myanmar,22,98,0,0,0
2020/02/17,MM,Myanmar,22,98,0,0,0
2020/02/18,MM,Myanmar,22,98,0,0,0
2020/02/19,MM,Myanmar,22,98,0,0,0
2020/02/20,MM,Myanmar,22,98,0,0,0
2020/02/21,MM,Myanmar,22,98,0,0,0
2020/02/22,MM,Myanmar,22,98,0,0,0
2020/02/23,MM,Myanmar,22,98,0,0,0
2020/02/24,MM,Myanmar,22,98,0,0,0
2020/02/25,MM,Myanmar,22,98,0,0,0
2020/02/26,MM,Myanmar,22,98,0,0,0
2020/02/27,MM,Myanmar,22,98,0,0,0
2020/02/28,MM,Myanmar,22,98,0,0,0
2020/02/29,MM,Myanmar,22,98,0,0,0
2020/03/01,MM,Myanmar,22,98,0,0,0
2020/03/02,MM,Myanmar,22,98,0,0,0
2020/03/03,MM,Myanmar,22,98,0,0,0
2020/03/04,MM,Myanmar,22,98,0,0,0
2020/03/05,MM,Myanmar,22,98,0,0,0
2020/03/06,MM,Myanmar,22,98,0,0,0
2020/03/07,MM,Myanmar,22,98,0,0,0
2020/03/08,MM,Myanmar,22,98,0,0,0
2020/03/09,MM,Myanmar,22,98,0,0,0
2020/03/10,MM,Myanmar,22,98,0,0,0
2020/03/11,MM,Myanmar,22,98,0,0,0
2020/03/12,MM,Myanmar,22,98,0,0,0
2020/03/13,MM,Myanmar,22,98,0,0,0
2020/03/14,MM,Myanmar,22,98,0,0,0
2020/03/15,MM,Myanmar,22,98,0,0,0
2020/03/16,MM,Myanmar,22,98,0,0,0
2020/03/17,MM,Myanmar,22,98,0,0,0
2020/03/18,MM,Myanmar,22,98,0,0,0
2020/03/19,MM,Myanmar,22,98,0,0,0
2020/03/20,MM,Myanmar,22,98,0,0,0
2020/03/21,MM,Myanmar,22,98,0,0,0
2020/03/22,MM,Myanmar,22,98,0,0,0
2020/03/23,MM,Myanmar,22,98,2,0,0
