day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,MO,Macau,22.16666666,113.55,1,0,0
2020/01/23,MO,Macau,22.16666666,113.55,2,0,0
2020/01/24,MO,Macau,22.16666666,113.55,2,0,0
2020/01/25,MO,Macau,22.16666666,113.55,2,0,0
2020/01/26,MO,Macau,22.16666666,113.55,5,0,0
2020/01/27,MO,Macau,22.16666666,113.55,6,0,0
2020/01/28,MO,Macau,22.16666666,113.55,7,0,0
2020/01/29,MO,Macau,22.16666666,113.55,7,0,0
2020/01/30,MO,Macau,22.16666666,113.55,7,0,0
2020/01/31,MO,Macau,22.16666666,113.55,7,0,0
2020/02/01,MO,Macau,22.16666666,113.55,7,0,0
2020/02/02,MO,Macau,22.16666666,113.55,8,0,0
2020/02/03,MO,Macau,22.16666666,113.55,8,0,0
2020/02/04,MO,Macau,22.16666666,113.55,10,0,0
2020/02/05,MO,Macau,22.16666666,113.55,10,0,0
2020/02/06,MO,Macau,22.16666666,113.55,10,0,1
2020/02/07,MO,Macau,22.16666666,113.55,10,0,1
2020/02/08,MO,Macau,22.16666666,113.55,10,0,1
2020/02/09,MO,Macau,22.16666666,113.55,10,0,1
2020/02/10,MO,Macau,22.16666666,113.55,10,0,1
2020/02/11,MO,Macau,22.16666666,113.55,10,0,1
2020/02/12,MO,Macau,22.16666666,113.55,10,0,2
2020/02/13,MO,Macau,22.16666666,113.55,10,0,3
2020/02/14,MO,Macau,22.16666666,113.55,10,0,3
2020/02/15,MO,Macau,22.16666666,113.55,10,0,3
2020/02/16,MO,Macau,22.16666666,113.55,10,0,5
2020/02/17,MO,Macau,22.16666666,113.55,10,0,5
2020/02/18,MO,Macau,22.16666666,113.55,10,0,5
2020/02/19,MO,Macau,22.16666666,113.55,10,0,5
2020/02/20,MO,Macau,22.16666666,113.55,10,0,6
2020/02/21,MO,Macau,22.16666666,113.55,10,0,6
2020/02/22,MO,Macau,22.16666666,113.55,10,0,6
2020/02/23,MO,Macau,22.16666666,113.55,10,0,6
2020/02/24,MO,Macau,22.16666666,113.55,10,0,6
2020/02/25,MO,Macau,22.16666666,113.55,10,0,7
2020/02/26,MO,Macau,22.16666666,113.55,10,0,7
2020/02/27,MO,Macau,22.16666666,113.55,10,0,8
2020/02/28,MO,Macau,22.16666666,113.55,10,0,8
2020/02/29,MO,Macau,22.16666666,113.55,10,0,8
2020/03/01,MO,Macau,22.16666666,113.55,10,0,8
2020/03/02,MO,Macau,22.16666666,113.55,10,0,8
2020/03/03,MO,Macau,22.16666666,113.55,10,0,9
2020/03/04,MO,Macau,22.16666666,113.55,10,0,9
2020/03/05,MO,Macau,22.16666666,113.55,10,0,9
2020/03/06,MO,Macau,22.16666666,113.55,10,0,10
2020/03/07,MO,Macau,22.16666666,113.55,10,0,10
2020/03/08,MO,Macau,22.16666666,113.55,10,0,10
2020/03/09,MO,Macau,22.16666666,113.55,10,0,10
2020/03/10,MO,Macau,22.16666666,113.55,10,0,10
2020/03/11,MO,Macau,22.16666666,113.55,10,0,10
2020/03/12,MO,Macau,22.16666666,113.55,10,0,10
2020/03/13,MO,Macau,22.16666666,113.55,10,0,10
2020/03/14,MO,Macau,22.16666666,113.55,10,0,10
2020/03/15,MO,Macau,22.16666666,113.55,10,0,10
2020/03/16,MO,Macau,22.16666666,113.55,11,0,10
2020/03/17,MO,Macau,22.16666666,113.55,12,0,10
2020/03/18,MO,Macau,22.16666666,113.55,15,0,10
2020/03/19,MO,Macau,22.16666666,113.55,17,0,10
2020/03/20,MO,Macau,22.16666666,113.55,17,0,10
2020/03/21,MO,Macau,22.16666666,113.55,18,0,10
2020/03/22,MO,Macau,22.16666666,113.55,20,0,10
2020/03/23,MO,Macau,22.16666666,113.55,25,0,10
