day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,MY,Malaysia,2.5,112.5,0,0,0
2020/01/23,MY,Malaysia,2.5,112.5,0,0,0
2020/01/24,MY,Malaysia,2.5,112.5,0,0,0
2020/01/25,MY,Malaysia,2.5,112.5,3,0,0
2020/01/26,MY,Malaysia,2.5,112.5,4,0,0
2020/01/27,MY,Malaysia,2.5,112.5,4,0,0
2020/01/28,MY,Malaysia,2.5,112.5,4,0,0
2020/01/29,MY,Malaysia,2.5,112.5,7,0,0
2020/01/30,MY,Malaysia,2.5,112.5,8,0,0
2020/01/31,MY,Malaysia,2.5,112.5,8,0,0
2020/02/01,MY,Malaysia,2.5,112.5,8,0,0
2020/02/02,MY,Malaysia,2.5,112.5,8,0,0
2020/02/03,MY,Malaysia,2.5,112.5,8,0,0
2020/02/04,MY,Malaysia,2.5,112.5,10,0,0
2020/02/05,MY,Malaysia,2.5,112.5,12,0,0
2020/02/06,MY,Malaysia,2.5,112.5,12,0,0
2020/02/07,MY,Malaysia,2.5,112.5,12,0,1
2020/02/08,MY,Malaysia,2.5,112.5,16,0,1
2020/02/09,MY,Malaysia,2.5,112.5,16,0,1
2020/02/10,MY,Malaysia,2.5,112.5,18,0,1
2020/02/11,MY,Malaysia,2.5,112.5,18,0,3
2020/02/12,MY,Malaysia,2.5,112.5,18,0,3
2020/02/13,MY,Malaysia,2.5,112.5,19,0,3
2020/02/14,MY,Malaysia,2.5,112.5,19,0,3
2020/02/15,MY,Malaysia,2.5,112.5,22,0,7
2020/02/16,MY,Malaysia,2.5,112.5,22,0,7
2020/02/17,MY,Malaysia,2.5,112.5,22,0,7
2020/02/18,MY,Malaysia,2.5,112.5,22,0,13
2020/02/19,MY,Malaysia,2.5,112.5,22,0,15
2020/02/20,MY,Malaysia,2.5,112.5,22,0,15
2020/02/21,MY,Malaysia,2.5,112.5,22,0,15
2020/02/22,MY,Malaysia,2.5,112.5,22,0,15
2020/02/23,MY,Malaysia,2.5,112.5,22,0,15
2020/02/24,MY,Malaysia,2.5,112.5,22,0,18
2020/02/25,MY,Malaysia,2.5,112.5,22,0,18
2020/02/26,MY,Malaysia,2.5,112.5,22,0,18
2020/02/27,MY,Malaysia,2.5,112.5,23,0,18
2020/02/28,MY,Malaysia,2.5,112.5,23,0,18
2020/02/29,MY,Malaysia,2.5,112.5,25,0,18
2020/03/01,MY,Malaysia,2.5,112.5,29,0,18
2020/03/02,MY,Malaysia,2.5,112.5,29,0,18
2020/03/03,MY,Malaysia,2.5,112.5,36,0,22
2020/03/04,MY,Malaysia,2.5,112.5,50,0,22
2020/03/05,MY,Malaysia,2.5,112.5,50,0,22
2020/03/06,MY,Malaysia,2.5,112.5,83,0,22
2020/03/07,MY,Malaysia,2.5,112.5,93,0,23
2020/03/08,MY,Malaysia,2.5,112.5,99,0,24
2020/03/09,MY,Malaysia,2.5,112.5,117,0,24
2020/03/10,MY,Malaysia,2.5,112.5,129,0,24
2020/03/11,MY,Malaysia,2.5,112.5,149,0,26
2020/03/12,MY,Malaysia,2.5,112.5,149,0,26
2020/03/13,MY,Malaysia,2.5,112.5,197,0,26
2020/03/14,MY,Malaysia,2.5,112.5,238,0,35
2020/03/15,MY,Malaysia,2.5,112.5,428,0,42
2020/03/16,MY,Malaysia,2.5,112.5,566,0,42
2020/03/17,MY,Malaysia,2.5,112.5,673,2,49
2020/03/18,MY,Malaysia,2.5,112.5,790,2,60
2020/03/19,MY,Malaysia,2.5,112.5,900,2,75
2020/03/20,MY,Malaysia,2.5,112.5,1030,3,87
2020/03/21,MY,Malaysia,2.5,112.5,1183,4,114
2020/03/22,MY,Malaysia,2.5,112.5,1306,10,139
2020/03/23,MY,Malaysia,2.5,112.5,1518,14,159
