day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/23,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/24,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/25,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/26,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/27,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/28,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/29,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/30,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/01/31,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/01,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/02,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/03,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/04,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/05,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/06,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/07,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/08,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/09,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/10,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/11,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/12,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/13,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/14,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/15,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/16,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/17,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/18,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/19,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/20,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/21,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/22,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/23,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/24,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/25,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/26,NL,Netherlands,Europe,52.5,5.75,0,0,0
2020/02/27,NL,Netherlands,Europe,52.5,5.75,1,0,0
2020/02/28,NL,Netherlands,Europe,52.5,5.75,1,0,0
2020/02/29,NL,Netherlands,Europe,52.5,5.75,6,0,0
2020/03/01,NL,Netherlands,Europe,52.5,5.75,10,0,0
2020/03/02,NL,Netherlands,Europe,52.5,5.75,18,0,0
2020/03/03,NL,Netherlands,Europe,52.5,5.75,24,0,0
2020/03/04,NL,Netherlands,Europe,52.5,5.75,38,0,0
2020/03/05,NL,Netherlands,Europe,52.5,5.75,82,0,0
2020/03/06,NL,Netherlands,Europe,52.5,5.75,128,1,0
2020/03/07,NL,Netherlands,Europe,52.5,5.75,188,1,0
2020/03/08,NL,Netherlands,Europe,52.5,5.75,265,3,0
2020/03/09,NL,Netherlands,Europe,52.5,5.75,321,3,0
2020/03/10,NL,Netherlands,Europe,52.5,5.75,382,4,0
2020/03/11,NL,Netherlands,Europe,52.5,5.75,503,5,0
2020/03/12,NL,Netherlands,Europe,52.5,5.75,503,5,0
2020/03/13,NL,Netherlands,Europe,52.5,5.75,804,10,0
2020/03/14,NL,Netherlands,Europe,52.5,5.75,959,12,2
2020/03/15,NL,Netherlands,Europe,52.5,5.75,1135,20,2
2020/03/16,NL,Netherlands,Europe,52.5,5.75,1413,24,2
2020/03/17,NL,Netherlands,Europe,52.5,5.75,1705,43,2
2020/03/18,NL,Netherlands,Europe,52.5,5.75,2051,58,2
2020/03/19,NL,Netherlands,Europe,52.5,5.75,2460,76,2
2020/03/20,NL,Netherlands,Europe,52.5,5.75,2994,106,2
2020/03/21,NL,Netherlands,Europe,52.5,5.75,3631,136,2
2020/03/22,NL,Netherlands,Europe,52.5,5.75,4204,179,2
2020/03/23,NL,Netherlands,Europe,52.5,5.75,4749,213,2
