day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,NP,Nepal,28,84,0,0,0
2020/01/23,NP,Nepal,28,84,0,0,0
2020/01/24,NP,Nepal,28,84,0,0,0
2020/01/25,NP,Nepal,28,84,1,0,0
2020/01/26,NP,Nepal,28,84,1,0,0
2020/01/27,NP,Nepal,28,84,1,0,0
2020/01/28,NP,Nepal,28,84,1,0,0
2020/01/29,NP,Nepal,28,84,1,0,0
2020/01/30,NP,Nepal,28,84,1,0,0
2020/01/31,NP,Nepal,28,84,1,0,0
2020/02/01,NP,Nepal,28,84,1,0,0
2020/02/02,NP,Nepal,28,84,1,0,0
2020/02/03,NP,Nepal,28,84,1,0,0
2020/02/04,NP,Nepal,28,84,1,0,0
2020/02/05,NP,Nepal,28,84,1,0,0
2020/02/06,NP,Nepal,28,84,1,0,0
2020/02/07,NP,Nepal,28,84,1,0,0
2020/02/08,NP,Nepal,28,84,1,0,0
2020/02/09,NP,Nepal,28,84,1,0,0
2020/02/10,NP,Nepal,28,84,1,0,0
2020/02/11,NP,Nepal,28,84,1,0,0
2020/02/12,NP,Nepal,28,84,1,0,1
2020/02/13,NP,Nepal,28,84,1,0,1
2020/02/14,NP,Nepal,28,84,1,0,1
2020/02/15,NP,Nepal,28,84,1,0,1
2020/02/16,NP,Nepal,28,84,1,0,1
2020/02/17,NP,Nepal,28,84,1,0,1
2020/02/18,NP,Nepal,28,84,1,0,1
2020/02/19,NP,Nepal,28,84,1,0,1
2020/02/20,NP,Nepal,28,84,1,0,1
2020/02/21,NP,Nepal,28,84,1,0,1
2020/02/22,NP,Nepal,28,84,1,0,1
2020/02/23,NP,Nepal,28,84,1,0,1
2020/02/24,NP,Nepal,28,84,1,0,1
2020/02/25,NP,Nepal,28,84,1,0,1
2020/02/26,NP,Nepal,28,84,1,0,1
2020/02/27,NP,Nepal,28,84,1,0,1
2020/02/28,NP,Nepal,28,84,1,0,1
2020/02/29,NP,Nepal,28,84,1,0,1
2020/03/01,NP,Nepal,28,84,1,0,1
2020/03/02,NP,Nepal,28,84,1,0,1
2020/03/03,NP,Nepal,28,84,1,0,1
2020/03/04,NP,Nepal,28,84,1,0,1
2020/03/05,NP,Nepal,28,84,1,0,1
2020/03/06,NP,Nepal,28,84,1,0,1
2020/03/07,NP,Nepal,28,84,1,0,1
2020/03/08,NP,Nepal,28,84,1,0,1
2020/03/09,NP,Nepal,28,84,1,0,1
2020/03/10,NP,Nepal,28,84,1,0,1
2020/03/11,NP,Nepal,28,84,1,0,1
2020/03/12,NP,Nepal,28,84,1,0,1
2020/03/13,NP,Nepal,28,84,1,0,1
2020/03/14,NP,Nepal,28,84,1,0,1
2020/03/15,NP,Nepal,28,84,1,0,1
2020/03/16,NP,Nepal,28,84,1,0,1
2020/03/17,NP,Nepal,28,84,1,0,1
2020/03/18,NP,Nepal,28,84,1,0,1
2020/03/19,NP,Nepal,28,84,1,0,1
2020/03/20,NP,Nepal,28,84,1,0,1
2020/03/21,NP,Nepal,28,84,1,0,1
2020/03/22,NP,Nepal,28,84,1,0,1
2020/03/23,NP,Nepal,28,84,2,0,1
