day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,PH,Philippines,13,122,0,0,0
2020/01/23,PH,Philippines,13,122,0,0,0
2020/01/24,PH,Philippines,13,122,0,0,0
2020/01/25,PH,Philippines,13,122,0,0,0
2020/01/26,PH,Philippines,13,122,0,0,0
2020/01/27,PH,Philippines,13,122,0,0,0
2020/01/28,PH,Philippines,13,122,0,0,0
2020/01/29,PH,Philippines,13,122,0,0,0
2020/01/30,PH,Philippines,13,122,1,0,0
2020/01/31,PH,Philippines,13,122,1,0,0
2020/02/01,PH,Philippines,13,122,1,0,0
2020/02/02,PH,Philippines,13,122,2,1,0
2020/02/03,PH,Philippines,13,122,2,1,0
2020/02/04,PH,Philippines,13,122,2,1,0
2020/02/05,PH,Philippines,13,122,2,1,0
2020/02/06,PH,Philippines,13,122,2,1,0
2020/02/07,PH,Philippines,13,122,3,1,0
2020/02/08,PH,Philippines,13,122,3,1,0
2020/02/09,PH,Philippines,13,122,3,1,0
2020/02/10,PH,Philippines,13,122,3,1,0
2020/02/11,PH,Philippines,13,122,3,1,0
2020/02/12,PH,Philippines,13,122,3,1,1
2020/02/13,PH,Philippines,13,122,3,1,1
2020/02/14,PH,Philippines,13,122,3,1,1
2020/02/15,PH,Philippines,13,122,3,1,1
2020/02/16,PH,Philippines,13,122,3,1,1
2020/02/17,PH,Philippines,13,122,3,1,1
2020/02/18,PH,Philippines,13,122,3,1,1
2020/02/19,PH,Philippines,13,122,3,1,1
2020/02/20,PH,Philippines,13,122,3,1,1
2020/02/21,PH,Philippines,13,122,3,1,1
2020/02/22,PH,Philippines,13,122,3,1,1
2020/02/23,PH,Philippines,13,122,3,1,1
2020/02/24,PH,Philippines,13,122,3,1,1
2020/02/25,PH,Philippines,13,122,3,1,1
2020/02/26,PH,Philippines,13,122,3,1,1
2020/02/27,PH,Philippines,13,122,3,1,1
2020/02/28,PH,Philippines,13,122,3,1,1
2020/02/29,PH,Philippines,13,122,3,1,1
2020/03/01,PH,Philippines,13,122,3,1,1
2020/03/02,PH,Philippines,13,122,3,1,1
2020/03/03,PH,Philippines,13,122,3,1,1
2020/03/04,PH,Philippines,13,122,3,1,1
2020/03/05,PH,Philippines,13,122,3,1,1
2020/03/06,PH,Philippines,13,122,5,1,1
2020/03/07,PH,Philippines,13,122,6,1,1
2020/03/08,PH,Philippines,13,122,10,1,1
2020/03/09,PH,Philippines,13,122,20,1,1
2020/03/10,PH,Philippines,13,122,33,1,2
2020/03/11,PH,Philippines,13,122,49,1,2
2020/03/12,PH,Philippines,13,122,52,2,2
2020/03/13,PH,Philippines,13,122,64,5,2
2020/03/14,PH,Philippines,13,122,111,8,2
2020/03/15,PH,Philippines,13,122,140,11,2
2020/03/16,PH,Philippines,13,122,142,12,2
2020/03/17,PH,Philippines,13,122,187,12,5
2020/03/18,PH,Philippines,13,122,202,19,5
2020/03/19,PH,Philippines,13,122,217,19,8
2020/03/20,PH,Philippines,13,122,230,19,8
2020/03/21,PH,Philippines,13,122,307,19,13
2020/03/22,PH,Philippines,13,122,380,25,15
2020/03/23,PH,Philippines,13,122,462,33,18
