day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,PL,Poland,Europe,52,20,0,0,0
2020/01/23,PL,Poland,Europe,52,20,0,0,0
2020/01/24,PL,Poland,Europe,52,20,0,0,0
2020/01/25,PL,Poland,Europe,52,20,0,0,0
2020/01/26,PL,Poland,Europe,52,20,0,0,0
2020/01/27,PL,Poland,Europe,52,20,0,0,0
2020/01/28,PL,Poland,Europe,52,20,0,0,0
2020/01/29,PL,Poland,Europe,52,20,0,0,0
2020/01/30,PL,Poland,Europe,52,20,0,0,0
2020/01/31,PL,Poland,Europe,52,20,0,0,0
2020/02/01,PL,Poland,Europe,52,20,0,0,0
2020/02/02,PL,Poland,Europe,52,20,0,0,0
2020/02/03,PL,Poland,Europe,52,20,0,0,0
2020/02/04,PL,Poland,Europe,52,20,0,0,0
2020/02/05,PL,Poland,Europe,52,20,0,0,0
2020/02/06,PL,Poland,Europe,52,20,0,0,0
2020/02/07,PL,Poland,Europe,52,20,0,0,0
2020/02/08,PL,Poland,Europe,52,20,0,0,0
2020/02/09,PL,Poland,Europe,52,20,0,0,0
2020/02/10,PL,Poland,Europe,52,20,0,0,0
2020/02/11,PL,Poland,Europe,52,20,0,0,0
2020/02/12,PL,Poland,Europe,52,20,0,0,0
2020/02/13,PL,Poland,Europe,52,20,0,0,0
2020/02/14,PL,Poland,Europe,52,20,0,0,0
2020/02/15,PL,Poland,Europe,52,20,0,0,0
2020/02/16,PL,Poland,Europe,52,20,0,0,0
2020/02/17,PL,Poland,Europe,52,20,0,0,0
2020/02/18,PL,Poland,Europe,52,20,0,0,0
2020/02/19,PL,Poland,Europe,52,20,0,0,0
2020/02/20,PL,Poland,Europe,52,20,0,0,0
2020/02/21,PL,Poland,Europe,52,20,0,0,0
2020/02/22,PL,Poland,Europe,52,20,0,0,0
2020/02/23,PL,Poland,Europe,52,20,0,0,0
2020/02/24,PL,Poland,Europe,52,20,0,0,0
2020/02/25,PL,Poland,Europe,52,20,0,0,0
2020/02/26,PL,Poland,Europe,52,20,0,0,0
2020/02/27,PL,Poland,Europe,52,20,0,0,0
2020/02/28,PL,Poland,Europe,52,20,0,0,0
2020/02/29,PL,Poland,Europe,52,20,0,0,0
2020/03/01,PL,Poland,Europe,52,20,0,0,0
2020/03/02,PL,Poland,Europe,52,20,0,0,0
2020/03/03,PL,Poland,Europe,52,20,0,0,0
2020/03/04,PL,Poland,Europe,52,20,1,0,0
2020/03/05,PL,Poland,Europe,52,20,1,0,0
2020/03/06,PL,Poland,Europe,52,20,5,0,0
2020/03/07,PL,Poland,Europe,52,20,5,0,0
2020/03/08,PL,Poland,Europe,52,20,11,0,0
2020/03/09,PL,Poland,Europe,52,20,16,0,0
2020/03/10,PL,Poland,Europe,52,20,22,0,0
2020/03/11,PL,Poland,Europe,52,20,31,0,0
2020/03/12,PL,Poland,Europe,52,20,49,1,0
2020/03/13,PL,Poland,Europe,52,20,68,2,0
2020/03/14,PL,Poland,Europe,52,20,103,3,0
2020/03/15,PL,Poland,Europe,52,20,119,3,0
2020/03/16,PL,Poland,Europe,52,20,177,4,13
2020/03/17,PL,Poland,Europe,52,20,238,5,13
2020/03/18,PL,Poland,Europe,52,20,251,5,13
2020/03/19,PL,Poland,Europe,52,20,355,5,13
2020/03/20,PL,Poland,Europe,52,20,425,5,13
2020/03/21,PL,Poland,Europe,52,20,536,5,13
2020/03/22,PL,Poland,Europe,52,20,634,7,13
2020/03/23,PL,Poland,Europe,52,20,749,8,13
