day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/23,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/24,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/25,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/26,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/27,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/28,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/29,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/30,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/01/31,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/01,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/02,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/03,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/04,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/05,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/06,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/07,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/08,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/09,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/10,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/11,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/12,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/13,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/14,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/15,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/16,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/17,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/18,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/19,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/20,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/21,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/22,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/23,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/24,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/25,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/26,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/27,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/28,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/02/29,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/01,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/02,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/03,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/04,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/05,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/06,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/07,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/08,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/09,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/10,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/11,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/12,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/13,PR,Puerto Rico,Americas,18.25,-66.5,0,0,0
2020/03/14,PR,Puerto Rico,Americas,18.25,-66.5,3,0,0
2020/03/15,PR,Puerto Rico,Americas,18.25,-66.5,5,0,0
2020/03/16,PR,Puerto Rico,Americas,18.25,-66.5,5,0,0
2020/03/17,PR,Puerto Rico,Americas,18.25,-66.5,5,0,0
2020/03/18,PR,Puerto Rico,Americas,18.25,-66.5,5,0,0
2020/03/19,PR,Puerto Rico,Americas,18.25,-66.5,5,0,0
2020/03/20,PR,Puerto Rico,Americas,18.25,-66.5,14,0,0
2020/03/21,PR,Puerto Rico,Americas,18.25,-66.5,21,1,0
2020/03/22,PR,Puerto Rico,Americas,18.25,-66.5,23,1,0
2020/03/23,PR,Puerto Rico,Americas,18.25,-66.5,31,2,1
