day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/23,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/24,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/25,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/26,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/27,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/28,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/29,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/30,PY,Paraguay,Americas,-23,-58,0,0,0
2020/01/31,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/01,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/02,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/03,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/04,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/05,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/06,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/07,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/08,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/09,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/10,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/11,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/12,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/13,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/14,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/15,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/16,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/17,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/18,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/19,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/20,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/21,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/22,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/23,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/24,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/25,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/26,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/27,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/28,PY,Paraguay,Americas,-23,-58,0,0,0
2020/02/29,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/01,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/02,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/03,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/04,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/05,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/06,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/07,PY,Paraguay,Americas,-23,-58,0,0,0
2020/03/08,PY,Paraguay,Americas,-23,-58,1,0,0
2020/03/09,PY,Paraguay,Americas,-23,-58,1,0,0
2020/03/10,PY,Paraguay,Americas,-23,-58,1,0,0
2020/03/11,PY,Paraguay,Americas,-23,-58,5,0,0
2020/03/12,PY,Paraguay,Americas,-23,-58,5,0,0
2020/03/13,PY,Paraguay,Americas,-23,-58,6,0,0
2020/03/14,PY,Paraguay,Americas,-23,-58,6,0,0
2020/03/15,PY,Paraguay,Americas,-23,-58,6,0,0
2020/03/16,PY,Paraguay,Americas,-23,-58,8,0,0
2020/03/17,PY,Paraguay,Americas,-23,-58,9,0,0
2020/03/18,PY,Paraguay,Americas,-23,-58,11,0,0
2020/03/19,PY,Paraguay,Americas,-23,-58,11,0,0
2020/03/20,PY,Paraguay,Americas,-23,-58,13,0,0
2020/03/21,PY,Paraguay,Americas,-23,-58,18,1,0
2020/03/22,PY,Paraguay,Americas,-23,-58,22,1,0
2020/03/23,PY,Paraguay,Americas,-23,-58,22,1,0
